😀	osinekile, ubuso obusinekile
💱	ibhange, imali, izinga lokushintshanisa imali, uhlobo lwemali, ukushintsha
💲	idola, imali, uhlobo lwemali, uphawu olukhulu lwedola
✉️	i-imeyli, imvalaphu
📧	i-imeyli, incwadi
📨	i-imeyli, imvalaphu, imvilaphu engenayo, incwadi, okungenayo, ukwamukela
📩	i-imeyli, imvalaphu, imvalaphu enomcibisholo, incwadi, okuphumayo, okuthunyelwe, phansi, umcibisholo
📤️	ibhokisi, ibhokisi lokuphumayo, incwadi, ithreyi, okuphumayo, okuthunyelwe
📥️	ibhokisi, ibhokisi lokungenayo, incwadi, ithreyi, okuphumayo, okuthunyelwe
📦️	ibhokisi, iphasela
📫️	ibhokisi leposi, ibhokisi leposi elivaliwe elinefulegi eliphakanyisiwe, iposi, okuvaliwe
📪️	ibhokisi leposi, ibhokisi leposi elivaliwe elinefulegi elehlisiwe, iposi, okuvaliwe, okwehlisiwe
📬️	ibhokisi leposi, ibhokisi leposi elivuliwe elinefulgi eliphakanyisiwe, iposi, okuvuliwe, okwehlisiwe
📭️	ibhokisi leposi, iposi, iposi elivuliwe elinefulegi elehlisiwe, okuvuliwe, okwehlisiwe
📮	ibhokisi leposi, iposi
🗳️	ibhalothi, ibhokisi, ibhokisi lebhalothi elinebhalothi
✏️	ipenseli
✒️	omnyama, umsizi, umsizi omnyama
🖋️	fountain, ifountain pen, ipeni
🖊️	ipeni, ipeni elicijile, ukucija
🖌️	ibhulashi lokupeda, ukupenda
🖍️	ikhrayoni
📝	imemo, ipenseli
💼	ibhrifukhesi
📁	ifayela, ifolda, ifolda yefayela
📂	ifayela, ifolda, ukuvula, vula ifolda yefayela
🗂️	ikhadi, okwahlukanisa amakhadi, okwahlukanisayo
📅	ikhalenda, usuku
📆	ikhalenda, ikhalenda elidabulekayo
🗒️	izipringi, okokubhala, okokubhala okunezipringi
🗓️	ikhalenda, ikhalenda lezipringi, izipringi
📇	ikhadi, irolodeksi, okokuhlela amakhadi, ukuhlela
📈	igrafu, ishadi, ishadi elikhuphukayo, okuya phezulu, ukukhula
📉	igrafu, ishadi, ishadi elehlayo, okuya phansi
📊	ibha, igrafu, ishadi, ishadi eliyibha
📋️	ibhodi lokunamathelisa
📌	uphini, uphini wokuphusha
📍	uphini, uphini wokuphusha, uphini wokuphusha oyindingilizi
📎	okokubamba amaphepha
🖇️	okokubamba amaphepha okuhlangene, okokuhlanganisa amaphepha okuhlangene
📏	irula, irula eliqondile, okuqondile
📐	irula, irula eliwunxantathu, isethi, unxantathu
✂️	isikelo, ithuluzi
🗃️	ibhodi lokugcina amakhadi, ibhokisi, ifayela, ikhadi
🗄️	fayela, ikhabethe, ikhabethei lamafayela
🗑️	ubhasikidi wezibi
🔒️	ingidi, kuvaliwe
🔓️	ingidi, ingidi evuliwe, qaqa, vula
🔏	ingidi enepeni, ipeni, khiya, uvumfihlo, uyinki
🔐	ingidi, ingidi evaliwe enokhiye, kuphephile, kuvaliwe, ukhiye
🔑	iphasiwedi, khiya, ukhiye
🗝️	khiya, okudala, okukukhanyiselayo, ukhiye, ukhiye omdala
🔨	isando, ithuluzi
🪓	i-hatchet, imbazo, kapa, ukhuni, ukuhlukanisa
⛏️	imayini, ipiki, ithuluzi
⚒️	ipiki, isando, isando ipiki, ithuluzi
🛠️	ipiki, isando, isando nespanelo, ispanelo
🗡️	isikhali, ummese
⚔️	imikhonto, imikhonto ephambene, izikhali, okuphambene
🔫	irivolva, isibhamu, isibhamu esincane, isikhali, ithuluzi, ivolovolo
🏹	inkanyezi, isikhali, ithuluzi, sagittarius, umcibisholo, umcibisholo nesihlangu
🛡️	ihawu, isikhali
🔧	isipanelo, ithuluzi
🔩	ibholidi, ithuluzi
⚙️	igiya, ithuluzi
🗜️	isicindezeli, ithuluzi, uvaysi
⚖️	inkanyezi, isisindo, ithuluzi, iziklali, libra, okokulinganisa, ubulungiswa, ukulingana
🦯	ikheni yokusiza, ukufinyelela, ukuphophala
🔗	ukuxhumanisa
⛓️	amaketango
🧰	chest, ibhokisi lamathuluzi, mechanic, tool
🧲	attraction, horseshoe, magnetic, umayibuthe
⚗️	i-alambic, ithuluzi, khemistri
🧪	chemist, chemistry, experiment, ishubhu lokuhlola, lab, science
🧫	bacteria, biologist, biology, culture, lab, petri dish
🧬	biologist, evolution, gene, genetics, life, ulibofuzo
🔬	imicroscope, ithuluzi
🔭	itelescope, ithuluzi
📡	indishi, isethelaythi, u-eriyeli, u-eriyeli wesethelaythi
💉	imithi, inaliti, ithuluzi, udokotela, ukugula, ukujova, umjovo
🩸	imithi, itonsi lokudla, ukopha, ukuphisana ngegazi
💊	imithi, iphilisi, udokotela, ukugula
🩹	ibhandishi, ibhandishi yokubopha
🩺	i-slethoscope, inhliziyo imithi, udokotela
🚪	isicabha
🛏️	ihhotela, ukulala, umbhede
🛋️	ihhotela, ilambu, usofa, usofa ilambu
🪑	hlala, isihlalo, isitulo
🚽	indlu yangasese
🚿	amanzi, ishawa
🛁	ubhavu wokugezela, ukugeza
🪒	cija, i-razor, shefa
🧴	lotion, lotion bottle, moisturizer, shampoo, sunscreen
🧷	diaper, isipeletu, punk rock
🧹	cleaning, sweeping, umshanelo, witch
🧺	farming, laundry, picnic, ubhasikidi
🧻	paper towels, roll of paper, toilet paper
🧼	bar, bathing, cleaning, insipho, lather, soapdish
🧽	absorbing, cleaning, isipontshi, porous
🧯	extinguish, fire, isicishamlilo, quench
🛒	ikalishi, inqola, inqola yokuthenga, ukuthenga
🚬	ukubhema, ukushunqa
⚰️	ibhokisi lomngcwabo, ukufa
⚱️	isitsha somgcwabo, isitsha somngcwabo, ukufa, umngcwabo
🗿	i-moai, isichuthe, moyai, ubuso
🏧	i-atm, ibhange, okuzenzakalelayo, uphawu lwe-ATM, uthela
🚮	ibhokisi lezibi, izibi, uphawu lomgqomo wezibi
🚰	amanzi, amanzi asempompini, ukuphuza, umpompi
♿️	isihlalo esinamasondo sabantu abaphila nokukhubazeka, ukungena
🚹️	indlu yangasese, indlu yangasese yamadoda, indoda
🚺️	abesimame, indlu yangasese, indlu yangasese yabesimame
🚻	indlu encane, indlu yangasese
🚼️	ingane, ukushintsha, uphawu lwengane
🚾	amanzi, indawo yamanzi, indlu yangasese
🛂	iphasiphothi, ukulawula, ukulawula iphasiphothi
🛃	customs
🛄	isikhwama, landa, ukulanda isikhwama
🛅	impahla, impahla esele, indawo ekhiywayo, umthwalo
⚠️	isexwayiso
🚸	ingane, ithrafikhi, izingane eziwelayo, ukuwela, umuntu ohamba ngezinyawo
⛔️	akungenwa, cha, ithrafikhi, kunqatshelwe, okuvinjiwe, ukungena
🚫	cha, okunqatshelwe, okuvinjiwe, ukungena
🚳	akuvumelekile, amabhayisikili akavunyelwe, cha, ibhayisikili, isithuthi, isithuthuthu, kunqatshelwe
🚭️	akubhenywa, akuvunyelwe, cha, kunqatshelwe, ukubhema
🚯	akulahlwa, akuvunyelwe, cha, izibi, kunqatshelwe
🚱	akuvunyelwe, amanzi, amanzi angaphatheke, cha, ukuphuza, umpompi
🚷	abahamba ngezinyawo, abavunyelwe abahamba ngezinyawo, akuvunyelwe, cha, kunqatshelwe
📵	akavumelekile amaselula, akuvunyelwe, cha, inqatshelwe, iselula, ucingo, uthelefoni
🔞	18, abavumelekile abangaphansi kweminyaka eyi-18, cha, kuvinjiwe, okungavunyelwe, ongaphansi kweminyaka, ukunqatshelwa ngokweminyaka
☢️	kusebenza ngowaya, uphawu
☣️	okungaba nobungozi kumvelo, uphawu
⬆️	enyakatho, inkomba, inkomba phezulu, umcibisholo
↗️	Inkomba phezulu-kwesokudla, enyakathompumalanga, inkomba, inkombakuhlanganisa, umcibisholo
➡️	Inkomba kwesokudla, empumalanga, inkomba, umcibisholo
↘️	eningizimunempumalanga, inkomba, inkombakuhlanganisa, inkombaphansi ngqo, umcibisholo
⬇️	inkomba, ningizimu, phansi, umcibisholo, umcibisholo opheke phansi
↙️	inkomba, ningizimuntshonalanga, umcibisholo, umcibisholo obheke phansi kwesokunxele
⬅️	inkomba, inkombasinxele, ntshonalanga
↖️	inkomba, inkombakuhlanganisa, inyakathontshonalanga, umcibisholo, umcibisholo obheke phezulu kwesokunxele
↕️	umcibisholo, umcibisholo ophansi phezulu
↔️	umcibisholo, umcibisholo okwesokunxele nesokudla
↩️	umcibisholo, umcibisholo okhombe kwesokudla ogobe kwesokunxele
↪️	umcibisholo, umcibisholo okhombe kwesokunxele ogobe kwesokudla
⤴️	umcibisholo, umcibisholo wakwesokudla ogobele phezulu
⤵️	phansi, umcibisholo, umcibisholo wakwesokudla ogobele phansi
🔃	faka kabusha, imicibisholo ejikelezela ngakwesokudla, jikelezela ngakwesokudla, umcisholo
🔄	izinkinobho zemicibisholo ejikelezela kwesokunxele, okujikelezela ngakwesokunxele, okuphambana nokuya ngakwesokudla, umcibisholo
🔙	emuva, umcibisholo, umcibisholo oya emuva
🔚	isiphetho, umcibisholo, umcibisholo wesiphetho
🔛	kuvuliwe, kuvuliwe! umcibisholo, umcibisholo, uphawu
🔜	ngokushesha, umcibisholo, umcibisholo wokushesha
🔝	phezulu, umcibisholo, umcibisholo waphezulu
🛐	indawo yokukhonza, inkolo, ukukhonza
⚛️	ongakholwa, ukungakhonzi, uphawu lokungakhonzi
🕉️	hindu, inkolo, om
✡️	inkanyezi, inkanyezi kadavide, inkolo, udavide, umjuda
☸️	dharma, inkolo, isondo, isondo likadharma, umbhuda
☯️	inkolo, tao, yang, yin yang, ying
✝️	inkolo, isiphambano, isiphambano sobulatini, ubukristu
☦️	inkolo, isiphambano, isiphambano senkolo, ubukristu
☪️	inkanyezi nocezu lwenyanga, inkolo, isulumane, ubusulumane
☮️	ukuthula, uphawu lokuthula
🕎	i-candelabrum, imenora, induku yekhandlela, inkolo
🔯	inhlanhla, inkanyezi, intanyezi enechashazi ekhombe kasithupha
♈️	aries, inkanyezi, isiklabhu
♉️	inkanyezi, inkunzi, taurus
♊️	amawele, gemini, inkanyezi
♋️	cancer, inkalankala, inkanyezi
♌️	ibhubesi, inkanyezi, leo
♍️	inkanyezi, intombi, virgo
♎️	inkanyezi, iziklali, libra, ubulungiswa, ukulingana
♏️	inkanyezi, scorpius, ufezela
♐️	inkanyezi, insika, sagittarius
♑️	capricorn, imbuzi, inkanyezi
♒️	amanzi, aquarius, inkanyezi, isithiyi
♓️	inhlanzi, inkanyezi, pisces
⛎	inkanyezi, inyoka, isithiyi, ophiuchus
🔀	inkinobho yokuxuba, ophambene, umcibisholo
🔁	inkinobho yokuphinda, oya ngakwesokudla, ukuphinda, umcibisholo
🔂	inkinobho yokuphinda kube kanye, kanye, umcibisholo, umdlalo
▶	dlala, inkinobho yokudlala, kwesokudla, umcibisholo, unxantathu
⏩	inkinobho yokuya phambili ngokushesha, okubhanqene, phambili, ukushesha, umcibisholo
⏭	inkinobho yokudlala okulandelayo, okulandelayo, umcibisholo, unxantathu
⏯	dlala, inkinobho yokudlala noma ukumisa, okwesokudla, phumuza, umcibisholo, unxantathu
◀	inkinobho yokubuyela emuva, kwesokunxele, ukuhlehla, umcibisholo, umxantathu
⏪	inkinobho yokuhlehla ngokushesha, ukuhlehla, ukuphinda, umcibisholo
⏮	iculo ebelidlala, inkinobho yeculo lokugcina, obekudlala, umcibisholo, unxantathu
🔼	ebomvu, inkinobho, inkinobho ebheke phezulu, umcibisholo
⏫	inkinobho yokushesha phambili, ukuphinda, umcibisholo
🔽	bomvu, inkinobho eya phansi, inkinobo, phansi, umcibisholo
⏬	inkinobho eshesha phansi, phansi, ukuphinda, umcibisholo
⏸️	ibha, inkinobho yokuphumuza, okuqondile, ukuphinda, ukuphumuza
⏹️	inkinobho yokumisa, isikwele, misa
⏺️	indingilizi, inkinobho yokuqopha, ukuqopha
⏏️	inkinobho yokukhipha, ukukhipha
🎦	ifilimu, ikhamera, imuvi, isinema
🔅	inkinobho kadimu, phansi, udimu, ukukhanya
🔆	inkinobho yokukhanya, ukukhanya
📶	ibha, iselula, u-eriyeli, ucingo, ukudonsa
📳	iselula, isimo, isimo sokushukuma, ithelefoni, ukushukuma
📴	cisha, iselula, iselula icishiwe, ithelefoni
♀️	owesifazane, uphawu lowesifazane
♂️	indoda, upahwu lwendoda
⚕️	abasebenzi, umuthi, uphawu losizo lwezempilo
♾️	forever, ingunaphakade, unbounded, universal
♻️	uphawu lokuvuselela, vuselela
⚜	i-fleur-de-lis
🔱	insika, ithuluzi, umkhumbi, uphawu, uphawu lwensika
📛	ibheji, ibheji legama, igama
🔰	chevroni, iqabunga, ithuluzi, japanese, luhlaza satshani, qanda, umqali, uphawu lamajapanese lomuntu oqalayo
⭕️	ebomvu, enkulu, indingilizi, indingilizi enkulu oluwugqinsi ebomvu, o
✅	inkinobho, ukuhlola, uphawo, uphawu lokuhlola okukhulu, ✓
☑️	ibhalothi, ibhokisi, ibhokisi lebhalothi elinokuhlola, ukuhlola
✔️	ukuhlola, uphawu, uphawu lokuhlola oluwugqinsi
✖️	ukukhansela, ukuphindaphinda, uphawu lokuphindaphinda oluwugqinsi
❌	khansela, ukuphindaphinda, uphawu, uphawu lwesiphambano
❎	inkinobho yophawu lwesiphambano, iskwele, umaka
➕	ukubala, ukuhlanganisa, uphawu lokuhlanganisa oluwugqinsi
➖	ukuhlanganisa, ukususa, uphawu lokususa oluwugqinsi
➗	ukuhlanganisa, ukwahlukanisa, uphawu lokwahlukanisa oluwugqinsi
➰	iluphu, iluphu egobile, ukugoba
➿	iluphu, iluphu eligobile eliyimpinda, impinda, ukugoba
〽️	ingxenye, upahwu lokulungisa ingxenye, uphawu
✳️	inkanyezi, inkanyezi enemigxa eyisishiyagalombili
✴️	inkanyezi, inkanyezi ecije kayisishayagalombili
❇️	ukubhanyaza
‼️	isibabazi, uphawu, uphawu lwesibabazi oluphindekile
⁉️	isibabazi, umbuzo, uphawu, uphawu lombuzo oluyisibabazi
❓️	umbuzo, uphaqu, uphawu lombuzo
❔	okudwetshiwe, umbuzo, upahu, uphawu lombuzo olumhlophe
❕	isibabazi, okudwetshiwe, uphawu, uphawu lwesibabazi olumhlophe
❗️	isibabazi, uphawu, uphawu lwesibabazi
〰️	okusagagasi, udeshi, udeshi osagagasi
©️	ilungelo lokukopisha
®️	okubhalisiwe
™️	uphawu, uphawu lokuhweba
#⃣	i-keycap, i-keycap: #
*⃣	i-keycap, i-keycap: *
0⃣	i-keycap, i-keycap: 0
1⃣	i-keycap, i-keycap: 1
2⃣	i-keycap, i-keycap: 2
3⃣	i-keycap, i-keycap: 3
4⃣	i-keycap, i-keycap: 4
5⃣	i-keycap, i-keycap: 5
6⃣	i-keycap, i-keycap: 6
7⃣	i-keycap, i-keycap: 7
8⃣	i-keycap, i-keycap: 8
9⃣	i-keycap, i-keycap: 9
🔟	i-keycap, i-keycap: 10
🔠	isilatini, izinhlamvu, okufakiwe, uhlamvu olukhulu, ukufaka uhlamvu olukhulu lwesilatini
🔡	isilatini, izinhlamvu, okufakiwe, uhlamvu oluncane, ukufaka uhlamvu oluncane lwesilatini
🔢	1234, izinombolo, izinombolo ezifakiwe, okufakiwe
🔣	izimpawu ezifakiwe, okufakiwe
🔤	abc, alfabhethi, isilatini, izinhlamvu, okufakiwe, ukufaka izinhlamvu zesilatini
🅰️	a, igazi, inkinobho ka-a
🆎	ab, igazi, inkinobho ka-ab
🅱️	b, inkinobho ka-b, uhlobo lwegazi
🆑	cl, inkinobho ka-CL
🆒	kupholile okusikwele, lungile
🆓	inkinobho loku-FREE, mahhala
ℹ️	i, ulwazi, umthombo wolwazi
🆔	id, inkinobho ye-ID, umazisi
Ⓜ️	indingilizi, m, uhlamvu m olusendingilizini
🆕	inkinobho ENTSHA, okusha
🆖	inkinobho ka-NG, ng
🅾️	igazi, inkinobho o, o
🆗	OK oyisikwele, ok
🅿️	inkinobho yokupaka, ukupaka
🆘	sos, sos oyisikwele, usizo
🆙	u-up! inkinobho, up, uphawu
🆚	u-vs oyisikwele, verses, vs
🈁	lapha, uphawu lokuthi lapha oluyiskwele
🈂️	mahhala, uphawu lokumahhala oluyiskwele
🈷	inyanga, uphawu lwenyanga oluyiskwele
🈶	ukungabibikho, uphawu lokungabibikho oluyiskwele
🈯	ukukhomba ngomunwe, uphawu lokukhomba ngomunwe oluyiskwele
🉐	umtitilizo, uphawu lomtitilizo oluyindingilizi
🈹	ukuncishiswa kwentengo, uphawu lokuncishiswa kwentengo eliyiskwele
🈚	ukuphela komkhiqizo, uphawu lokuphela komkhiqizo eliyiskwele
🈲	ukwenqaba, uphawu lokwenqatshelwa oluyiskwele
🉑	indingilizi ezungeziwe yokwamukela, ukwamukela
🈸	ukufaka, uphawu lokufakiwe oluyiskwele
🈴	ukuhlanganisa, uphawu lokuhlanganiwe kwaba isikwele ndawonye
🈳	ukungabi nalutho, uphawu lokungabi nalutho oluyiskwele
㊗️	ama-chinese, halalisa, uphawu lokuzungeleziwe kokuhalalisa
㊙️	ama-chinese, imfihlo, uphawu lobumfihlo ezungeziwe
🈺	okokusebenza, uphawu okokusebenza okuyisikwele
🈵	ukugcwala, uphawu lokugcwala okufakwe kuskwele
🔴	bomvu, indingilizi, indingilizi ebomvu, jiyometrikhi
🟠	isikokela, isikokela esi-orintshi
🟡	isikokela esiphuzi
🟢	isikokela esihlaza
🔵	indingiliza, indingilizi eluhlaza sasibhakabhaka, jiyometrikhi, luhlaza sasibhakabhaka
🟣	isikokela esibukhwebezane
⚫️	indingilizi, indingilizi emnyama, jiyometrikhi
⚪️	indingilizi, indingilizi emhlophe, jiyometrikhi
🟩	isikwele esiluhlaza satshani
🟦	isikwele esiluhlaza
⬛️	iskwele, iskwele esikhulu esimnyama, jiyometrikhi
⬜️	iskwele, iskwele esimhlophe esikhulu, jiyometrikhi
◼️	iskwele, iskwele esimnyama esimaphakathi, jiyometrikhi
◻️	isikwele esimhlophe esimaphakathi, iskwele, jiyometrikhi
◾️	iskwele, iskwele esimnyama esimaphakathi esincane, jiyometrikhi
◽️	iskwele, iskwele esimhlophe esimaphakathi esincane, jiyometrikhi
▪️	iskwele, iskwele esincane esimnyama, jiyometrikhi
▫️	isikwele esimhlophe esincane, iskwele, jiyometrikhi
🔶	idayimande, idayimande elukhulu eliphuzu, jiyometrikhi, phuzi
🔷	idayimande elikhulu eliphuzu sasibhakabhaka, jiyometrikhi, luhlaza sasibhakabhaka, phuzi
🔸	idayimande, idayimande eliphuzi elincane, jiyometrikhi, phuzi
🔹	idayimande eliluhlaza sasibhakabhaka elincane, indingiliza, jiyometrikhi, luhlaza sasibhakabhaka
🔺	bomvu, jiyometrikhi, unxantathu obomvu obheke phezulu
🔻	bomvu, jiyometrikhi, phansi, unxantathu obomvu obheke phansi
💠	idayimande, idayimande elingenachashashi, jiyometrikhi, ngaphakathi, okuhlekisayo
🔘	inkinobho, inkinobho yomsakazo, jiyometrikhi, umsakazo
🔳	inkobho, inkonobho eyiskwele emhlophe, iskwele, jiyometrikhi, okugqanyisiwe
🔲	inkinobho, inkinobho eyiskwele esimnyama, iskwele, jiyometrikhi
🏁	ifulegi eliyisikotshi, isikotshi, ukuqhudelana
🚩	ifulegi eliwunxantathu, posa
🎌	amafulegi aphambanayo, okwaseJapan, ukubungaza, ukuphambanisa
🏴	ukundizisa, ukundizisa ifulegi elimnyama
🏳️	ukundizisa, ukundizisa ifulegi elimhlophe
🏳‍🌈	Ifulegi elimibalabala, ifulegi, okumbalabala
🏴‍☠	Jolly Roger, pirate, pirate flag, plunder, treasure
🇦🇨	ifulegi, ifulegi: i-Ascension Island
🇦🇩	ifulegi, ifulegi: i-Andorra
🇦🇪	ifulegi, ifulegi: i-United Arab Emirates
🇦🇫	ifulegi, ifulegi: i-Afghanistan
🇦🇬	ifulegi, ifulegi: i-Antigua ne-Barbuda
🇦🇮	ifulegi, ifulegi: i-Anguilla
🇦🇱	ifulegi, ifulegi: i-Albania
🇦🇲	ifulegi, ifulegi: i-Armenia
🇦🇴	ifulegi, ifulegi: i-Angola
🇦🇶	ifulegi, ifulegi: i-Antarctica
🇦🇷	ifulegi, ifulegi: i-Argentina
🇦🇸	ifulegi, ifulegi: i-American Samoa
🇦🇹	ifulegi, ifulegi: i-Austria
🇦🇺	ifulegi, ifulegi: i-Australia
🇦🇼	ifulegi, ifulegi: i-Aruba
🇦🇽	ifulegi, ifulegi: i-Åland Islands
🇦🇿	ifulegi, ifulegi: i-Azerbaijan
🇧🇦	ifulegi, ifulegi: i-Bosnia ne-Herzegovina
🇧🇧	ifulegi, ifulegi: i-Barbados
🇧🇩	ifulegi, ifulegi: i-Bangladesh
🇧🇪	ifulegi, ifulegi: i-Belgium
🇧🇫	ifulegi, ifulegi: i-Burkina Faso
🇧🇬	ifulegi, ifulegi: i-Bulgaria
🇧🇭	ifulegi, ifulegi: i-Bahrain
🇧🇮	ifulegi, ifulegi: i-Burundi
🇧🇯	ifulegi, ifulegi: i-Benin
🇧🇱	ifulegi, ifulegi: i-Saint Barthélemy
🇧🇲	ifulegi, ifulegi: i-Bermuda
🇧🇳	ifulegi, ifulegi: i-Brunei
🇧🇴	ifulegi, ifulegi: i-Bolivia
🇧🇶	ifulegi, ifulegi: i-Caribbean Netherlands
🇧🇷	ifulegi, ifulegi: i-Brazil
🇧🇸	ifulegi, ifulegi: i-Bahamas
🇧🇹	ifulegi, ifulegi: i-Bhutan
🇧🇻	ifulegi, ifulegi: i-Bouvet Island
🇧🇼	ifulegi, ifulegi: iBotswana
🇧🇾	ifulegi, ifulegi: i-Belarus
🇧🇿	ifulegi, ifulegi: i-Belize
🇨🇦	ifulegi, ifulegi: i-Canada
🇨🇨	ifulegi, ifulegi: i-Cocos (Keeling) Islands
🇨🇩	ifulegi, ifulegi: i-Congo - Kinshasa
🇨🇫	ifulegi, ifulegi: i-Central African Republic
🇨🇬	ifulegi, ifulegi: i-Congo - Brazzaville
🇨🇭	ifulegi, ifulegi: i-Switzerland
🇨🇮	ifulegi, ifulegi: i-Côte d’Ivoire
🇨🇰	ifulegi, ifulegi: i-Cook Islands
🇨🇱	ifulegi, ifulegi: i-Chile
🇨🇲	ifulegi, ifulegi: i-Cameroon
🇨🇳	ifulegi, ifulegi: i-China
🇨🇴	ifulegi, ifulegi: i-Colombia
🇨🇵	ifulegi, ifulegi: i-Clipperton Island
🇨🇷	ifulegi, ifulegi: i-Costa Rica
🇨🇺	ifulegi, ifulegi: i-Cuba
🇨🇻	ifulegi, ifulegi: i-Cape Verde
🇨🇼	ifulegi, ifulegi: i-Curaçao
🇨🇽	ifulegi, ifulegi: i-Christmas Island
🇨🇾	ifulegi, ifulegi: i-Cyprus
🇨🇿	ifulegi, ifulegi: i-Czechia
🇩🇪	ifulegi, ifulegi: i-Germany
🇩🇬	ifulegi, ifulegi: i-Diego Garcia
🇩🇯	ifulegi, ifulegi: i-Djibouti
🇩🇰	ifulegi, ifulegi: i-Denmark
🇩🇲	ifulegi, ifulegi: i-Dominica
🇩🇴	ifulegi, ifulegi: i-Dominican Republic
🇩🇿	ifulegi, ifulegi: i-Algeria
🇪🇦	ifulegi, ifulegi: i-Cueta ne-Melilla
🇪🇨	ifulegi, ifulegi: i-Ecuador
🇪🇪	ifulegi, ifulegi: i-Estonia
🇪🇬	ifulegi, ifulegi: i-Egypt
🇪🇭	ifulegi, ifulegi: i-Western Sahara
🇪🇷	ifulegi, ifulegi: i-Eritrea
🇪🇸	ifulegi, ifulegi: i-Spain
🇪🇹	ifulegi, ifulegi: i-Ethiopia
🇪🇺	ifulegi, ifulegi: i-European Union
🇫🇮	ifulegi, ifulegi: i-Finland
🇫🇯	ifulegi, ifulegi: i-Fiji
🇫🇰	ifulegi, ifulegi: i-Falkland Islands
🇫🇲	ifulegi, ifulegi: i-Micronesia
🇫🇴	ifulegi, ifulegi: i-Faroe Islands
🇫🇷	ifulegi, ifulegi: i-France
🇬🇦	ifulegi, ifulegi: i-Gabon
🇬🇧	ifulegi, ifulegi: i-United Kingdom
🇬🇩	ifulegi, ifulegi: i-Grenada
🇬🇪	ifulegi, ifulegi: i-Georgia
🇬🇫	ifulegi, ifulegi: i-French Guiana
🇬🇬	ifulegi, ifulegi: i-Guernsey
🇬🇭	ifulegi, ifulegi: i-Ghana
🇬🇮	ifulegi, ifulegi: i-Gibraltar
🇬🇱	ifulegi, ifulegi: i-Greenland
🇬🇲	ifulegi, ifulegi: i-Gambia
🇬🇳	ifulegi, ifulegi: i-Guinea
🇬🇵	ifulegi, ifulegi: i-Guadeloupe
🇬🇶	ifulegi, ifulegi: i-Equatorial Guinea
🇬🇷	ifulegi, ifulegi: i-Greece
🇬🇸	ifulegi, ifulegi: i-South Georgia ne-South Sandwich Islands
🇬🇹	ifulegi, ifulegi: i-Guatemala
🇬🇺	ifulegi, ifulegi: i-Guam
🇬🇼	ifulegi, ifulegi: i-Guinea-Bissau
🇬🇾	ifulegi, ifulegi: i-Guyana
🇭🇰	ifulegi, ifulegi: i-Hong Kong SAR China
🇭🇲	ifulegi, ifulegi: i-Heard Island ne-McDonald Islands
🇭🇳	ifulegi, ifulegi: i-Honduras
🇭🇷	ifulegi, ifulegi: i-Croatia
🇭🇹	ifulegi, ifulegi: i-Haiti
🇭🇺	ifulegi, ifulegi: i-Hungary
🇮🇨	ifulegi, ifulegi: i-Canary Islands
🇮🇩	ifulegi, ifulegi: i-Indonesia
🇮🇪	ifulegi, ifulegi: i-Ireland
🇮🇱	ifulegi, ifulegi: kwa-Israel
🇮🇲	ifulegi, ifulegi: i-Isle of Man
🇮🇳	ifulegi, ifulegi: i-India
🇮🇴	ifulegi, ifulegi: i-British Indian Ocean Territory
🇮🇶	ifulegi, ifulegi: i-Iraq
🇮🇷	ifulegi, ifulegi: i-Iran
🇮🇸	ifulegi, ifulegi: i-Iceland
🇮🇹	ifulegi, ifulegi: i-Italy
🇯🇪	ifulegi, ifulegi: i-Jersey
🇯🇲	ifulegi, ifulegi: i-Jamaica
🇯🇴	ifulegi, ifulegi: i-Jordan
🇯🇵	ifulegi, ifulegi: i-Japan
🇰🇪	ifulegi, ifulegi: i-Kenya
🇰🇬	ifulegi, ifulegi: i-Kyrgyzstan
