😀	gülmək, gülən üz, üz
💧	damcı, hava, komik, soyuq, tər
🌊	dalğa, hava, okean, su, su dalğası
🎃	Hellouin balqabağı, bayram, cek, fənər, hellouin
🎄	ağac, bayram, milad, milad ağacı
🎆	bayram, fişənglər
🎇	bayram, fişəng, qığılclm, qığılcım
🧨	dinamit, feyerverk, partlama
✨	qığılcım, qığılcımlar, ulduz
🎈	bayram, şar
🎉	bayram, qonaqlıq, qonaqlıq stimullaşdırıcısı, stimullaşdırıcı, tada
🎊	bayram, konfetti, konfetti topu, top
🎋	ağac, banner, bayram, tanabata ağacı, yapon
🎍	bambuk, bayram, bitki, yapon, şam, şam ağacı bəzəyi
🎎	bayram, festival, gəlincik, yapon, yapon gəlincikləri
🎏	bayram, karp, karp-uçurtma, uçurtma
🎐	bayram, külək, külək zəngi, zəng, zəng səsi
🎑	ay, ay mərasimi, bayram, mərasim
🧧	bəxt, honbao, hədiyyə, pul, qırmızı zərf
🎀	bayram, lent
🎁	bayram, bükülmüş, bükülmüş hədiyyə, hədiyyə, hədiyyə etmək, qutu
🎗️	bayram, lent, xatırlatma, xatırlatma lenti
🎟️	bilet, giriş biletləri, giriş haqqı
🎫	bilet, giriş haqqı
🎖️	bayram, hərbi, hərbi medal, medal
🏆️	kubok, mükafat
🏅	idman medalı, medal
🥇	1-ci yer, qalib, qızıl medal, yarışma
🥈	2-ci yer, gümüş medal, qalib, yarışma
🥉	2-cü yer, bürünc medal, qalib, yarışm3
⚽️	futbol, futbol topu, top
⚾️	beysbol, top
🥎	qoltuqaltı, softbol, top, əlçək
🏀	basketbol, halqa, top
🏐	oyun, top, voleybol
🏈	amerika, amerikan futbolu, futbol, top
🏉	futbol, reqbi, top
🎾	tennis, top
🥏	sonuncu, uçan disk
🎳	boulinq, oyun, top
🏏	dəyənək, kriket, oyun, top
🏑	oyun, sahə, sahə xokkeyi, top, xokkey, çubuq
🏒	buz, buz xokkeyi çubuğu və şaybası, oyun, xokkey, çubuq, şayba
🥍	lakross, qol, top, çubuq
🏓	dəyənək, oyun, pinq ponq, raketka, stolüstü tennis, top
🏸	badminton, bödi, oyun, tennis
🥊	boks, boks əlcəyi, döyüş, əlcək
🥋	cüdo, döyüş, döyüş idmanı geyimi, idman, karate
🥅	darvaza, futbol, idman, qapı, top
⛳️	dəlik, dəlikdə bayraq, qolf
⛸️	buz, buz konkisi, konki
🎣	balıq, balıq tilovu, tilov
🤿	akvalanq, dalğıc, dalğıc maskası
🎽	atlet köynəyi, köynək, kəmər, qaçış
🎿	qar, xizək
🛷	kirşə, sanka, xizək
🥌	oyun, qaya, qıvrım daş
🎯	birbaşa atış, göz, hədəf, nişan, ox, oyun, vur
🪀	dalğalanma, oyuncaq, yo-yo
🪁	havada üzmə, uçuş, çərpələng
🎱	8, bilyard, oyun, səkkiz, top
🔮	alət, fantastika, kristal, kristal kürə, nağıl, top, var-dövlət
🧿	gözdəymə, gözmuncuğu, gözmüncuğu, muncuq, talisman
🎮️	kontroller, oyun, video oyun
🕹️	coystik, oyun, video oyun
🎰	avtomat, avtomat maşın, oyun
🎲	oyun, oyun zəri, zər
🧩	başsındırma, ipucu, parça, pazl
🧸	oyuncaq, plüş, plüş ayı, yumşaq
♠️	dəst, kart, oyun, qaratoxmaq, qaratoxmaq dəsti
♥️	dəst, kart, oyun, ürək, ürək dəsti, ürəklər
♦️	dəst, kart, oyun, romb, romb dəsti, romblar
♣️	dəst, kart, klub, klub dəsti, klublar, oyun
♟️	genişlənən, şahmat, şahmat piyadası, əfəl
🃏	joker, kart, oynamaq, oyun
🀄️	maconq, maconq qırmızı əjdaha, oyun, qırmızı
🎴	gül, gül oyun kartları, kart, oynamaq, oyun, yapon
🎭️	icra etmək, incəsənət, maska, teatr, teatr incəsənəti
🖼️	incəsənət, muzey, çəkmək, çərçivə, şəkil, şəkilli çərçivə
🎨	incəsənət, muzey, palitra, rəssam palitrası, çəkmək
🧵	iynə, kələfçə, sap, tikiş
🧶	iplik, top, toxuma
👓️	eynək, geyim, göz, gün eynəyi
🕶️	eynək, göz, gün eynəyi, tünd
🥽	göz müdafiyəsi, qaynaq, su eynəyi, üzmək
🥼	həkim, laboratoriya geyimi, qaynaq, təcrübə
🦺	güvənlik, güvənlik jaketi, jaket, təcililik
👔	geyim, qalstuk
👕	futbolka, geyim, köynək
👖	cins, geyim, şalvar
🧣	boyun, şərf
🧤	əl, əlcəklər
🧥	palto, pencək
🧦	corablar, stoker
👗	don, geyim
👘	geyim, kimono
🥻	geyim, paltar, sari
🩱	bir hissəli üzgüçülük geyimi, hamam geyimi
🩲	alt paltar, hamam geyimi, trusik, üzgüçülük geyimi
🩳	alt paltar, hamam geyimi, şalvar, şort
👙	bikini, geyim, üzmək
👚	geyim, qadın, qadın paltarı
👛	geyim, pul kisəsi, qəpik
👜	geyim, çanta, əl çantası
👝	geyim, torba, çanta
🛍️	alış-veriş çantaları, otel, çanta, şoppinq
🎒	bel çantası, məktəb, məktəbli bel çantası, çanta
👞	ayaqqabı, geyim, kişi, kişi ayaqqabısı
👟	atletik, ayaqqabı, geyim, krossovka, qaçış ayaqqabısı
🥾	botinka, gəzinti, gəzinti botinkası, kempinq, əşyaları yığmaq
🥿	botinka, gəzinti, kempinq, yastı ayaqqabı, əşyaları yığmaq
👠	ayaqqabı, daban, geyim, hündür daban ayaqqabı, qadın
👡	ayaqqabı, geyim, qadın, qadın səndəli, səndəl
🩰	balet, balet ayaqqabıları, rəqs
👢	ayaqqabı, geyim, qadın, qadın çəkməsi, çəkmə
👑	geyim, kral, kraliça, tac
👒	geyim, papaq, qadın, qadın şlyapası
🎩	baş, geyim, papaq, silindir papaq, silindir şlayapa
🎓️	bayram, geyim, kepka, məzuniyyət, məzuniyyət papağı, papaq
🧢	beysbol kepkası, kepka
⛑️	ağ xaçlı dəbilqə, dəbilqə, kömək, papaq, xaç, üz
📿	abid, boyunbağı, din, geyim, muncuq, təsbeh
💄	dodaq boyası, kosmetika, makiyaj
💍	brilyant, romantika, üzük
💎	brilyant, daş-qaş, qiymətli daş, romantika
🔇	sakit, səs, səssiz, səsucaldan, səsucaldan sönülüdür
🔈️	səs, səsucaldan
🔉	aşağı, dalğa, səs, səsucaldan, səsucaldan aktivdir
🔊	3, səs, səsucaldan, səsucaldan yüksəkdir, uca, yüksək, üç
📢	ictimai ünvan, səsucaldıcı, uca
📣	meqafon, salamlama
📯	poçt, poçt şeypuru, şeypur
🔔	zəng
🔕	qadağa, qadağan olunmuş, sakit, səssiz, üstündən xətt çəkilmiş zəng
🎼	musiqi, musiqi partiturası, partitura
🎵	musiqi, musiqi notu, not
🎶	musiqi, musiqi notları, not, notlar
🎙️	mik, mikrofon, musiqi, studio, studiya mikrafonu
🎚️	musiqi, slayder, səviyyə, səviyyə slayderi
🎛️	düymə, idarə, idarə düymələri, musiqi
🎤	karaoke, mik, mikrofon
🎧️	qulaqlıq
📻️	radio, video
🎷	alət, musiqi, saks, saksofon
🎸	alət, gitara, musiqi
🎹	alət, klaviatura, musiqi, musiqi klaviaturası, piano
🎺	alət, musiqi, şeypur
🎻	alət, musiqi, skripka
🪕	banco, musiqi, simli alət
🥁	davul, dəf, nağara
📱	mobil, mobil telefon, telefon
📲	mobil, ox, oxlu mobil telefon, qəbul etmək, telefon, zəng
☎️	telefon
📞	qəbuledən, telefon, telefon dəstəyi
📟️	peycer
📠	faks, faks aparatı
🔋	batareya
🔌	elektrik, elektrik ştepseli, ştepsel
💻️	kompüter, pk, şəxsi
🖥️	kompüter, masaüstü, masaüstü kompüter
🖨️	kompüter, printer
⌨️	klaviatura, kompüter
🖱️	3, düymə, kompüter, kompüter siçanı, siçan, üç
🖲️	kompüter, kürəşəkilli manipulyator
💽	disk, kompüter, mini disk, minidisk, optik
💾	disk, kompüter, çevik, çevik disk
💿️	blu-rey, cd, disk, dvd, kompüter, optik, optik disk
📀	blu-rey, cd, disk, dvd, kompüter, optik
🧮	hesablama, çötkə
🎥	film, kamera, kino, kino kamerası
🎞️	film, film kadrları, kadr, kino
📽️	film, kino, kino projektoru, kinofilm, projector, video
🎬️	film, numerator
📺️	televizor, tv, video
📷️	kamera, video
📸	işıq, işıqlı kamera, kamera, video
📹️	kamera, video, video kamera
📼	kasset, vhs, video, video kaset
🔍	alət, axtarmaq, böyüdücü, sola yönəlmiş böyüdücü şüşə, şüşə
🔎	alət, axtarmaq, böyüdücü, sağa yönəlmiş böyüdücü şüşə, şüşə
🕯️	işıq, şam
💡	elektrik, ideya, işıq, işıq lampası, komik, lampa
🔦	alət, elektrik, fənər, işıq
🏮	bar, fənər, işıq, qırmızı, qırmızı kağız fənər, yapon
🪔	lampa, yağ, yağ lampası
📔	bəzəkli cildli dəftər, bəzənmiş, cild, dəftər, kitab
📕	bağlı, bağlı kitab, kitab
📖	açıq, açıq kitab, kitab
📗	kitab, yaşıl, yaşıl kitab
📘	kitab, mavi, mavi kitab
📙	kitab, narıncı, narıncı kitab
📚️	kitab, kitablar
📓	bloknot
📒	dəftər, mühasibatlıq kitabı
📃	qatlanmış səhifə, spiral, səhifə, sənəd
📜	kağız, lülə halında bükülmüş kağız
📄	səhifə, sənəd, üzüyuxarı səhifə
📰	kağız, qəzet, xəbər
🗞	burulmuş, bükülmüş qəzet, kağız, qəzet, xəbər
📑	işarə, marker, tablar, əlfəcin, əlfəcin tabları
🔖	işarə, əlfəcin
🏷️	etiket
💰️	dollar, kisə, pul, pul torbası, çanta
💴	bank, banknot, hesab, iena, iena banknotu, yen banknotu
💵	bank, banknot, dollar, dollar əskinazı
💶	avro, avro əskinazı, bank, banknot
💷	bank, funt, funt əskinazı, əskinaz
💸	bank, dollar, hesab, not, qanadlı pullar, əskinaz
💳️	bank, kart, kredit, kredit kartı, pul
🧾	buxhalteriya, dəlil, mühasibat, qəbz, sübut
💹	artmaq, artım, bank, bazar, cədvəl, ien ilə qalxan qrafik
💱	bank, mübadilə, pul, valyuta, valyuta mübadiləsi
💲	dollar, pul, qalın dollar işarəsi, valyuta
✉️	e-poçt, elektron poçt, zərf
📧	e-poçt, məktub, poçt
📨	e-poçt, elektron poçt, gələn, gələn zərf, məktub, poçt, qəbul etmək, zərf
📩	aşağı, e-poçt, gedən, göndərmək, məktub, oxlu zərf
📤️	gedən, gedənlər qutusu, göndərmək, məktub, poçt, qutu
📥️	gələn, gələnlər qutusu, məktub, poçt, qutu, qəbul etmək
📦️	bağlama, qutu
📫️	bağlı, poçt, poçt qutusu, qaldırılmış bayraqlı bağlı poçt qutusu
📪️	aşağı, bağlı, endirilmiş bayraqlı bağlı poçt qutusu, poçt, poçt qutusu
📬️	açıq, poçt, poçt qutusu, qaldırılmış bayraqlı açıq poçt qutusu
📭️	açıq, aşağı, endirilmiş bayraqlı açıq poçt qutusu, poçt, poçt qutusu
📮	poçt, poçt qutusu
🗳️	qutu, seçki, səsvermə kağızı olan seçki qutusu
✏️	karandaş
✒️	qara qələm, qələm, qələm ucu
🖋️	avto, avto qələm, qələm
🖊️	diyircəkli qələm, qələm
🖌️	fırça, çəkmək
🖍️	karandaş, yağlı karandaş
📝	karandaş, yaddaş qeydi
💼	çemodan
📁	fayl, fayl qovluğu, qovluq
📂	açıq, açıq fayl qovluğu, fayl, qovluq
🗂️	arakəsmə, işarə, kart, kart indeksi arakəsmələri
📅	tarix, təqvim
📆	təqvim, təqvimi cırmaq
🗒️	bloknot, qeyd, spiral, spiral dəftər
🗓️	bloknot, spiral, spiral təqvim, təqvim
📇	işarə, kart, kart indeksi, rolodeks
📈	artım, cədvəl, qalxan qrafik, qrafik, trend, yuxarı
📉	aşağı, cədvəl, düşən qrafik, qrafik, trend
📊	bar, cədvəl, diaqram, qrafik
📋️	lövhə
📌	löhvə düyməsi, sancaq
📍	basmadüymə, dairəvi sancaq, sancaq
📎	skrepka
🖇️	birləşmiş sancaqlar, sancaq, əlaqə
📏	düz kənarlı, düz xətkeş, xətkeş
📐	dəst, xətkeş, ücbucaq xətkeş, üçbucaq
✂️	alət, qayçı
🗃️	fayl, kart, kart faylı qutusu, qutu
🗄️	fayl, fayl şkafı, kabinet
🗑️	zibilqabı
🔒️	bağlı, kilid
🔓️	açıq, açıq kilid, kilid, kilidi açmaq
🔏	kilid, mürəkkəb, məxfi, qələm, qələm ucu, qələmli kilid
🔐	açar, açarla bağlanmış kilid, bağlı, kilid, secure
🔑	açar, kilid, parol
🗝️	açar, kilid, köhnə, köhnə açar
🔨	alət, çəkic
🪓	balta, bölmək, doğramaq, kəsmək, taxta
⛏️	alət, külüng, mədən
⚒️	alət, külüng, çəkic, çəkic və külüng
🛠️	alət, açar, çəkic, çəkic və açar
🗡️	bıçaq, silah, xəncər
⚔️	kəsişən, kəsişən qılınclar, qılınclar, silah
🔫	alət, revolver, silah, tapança
🏹	alət, ox, ox və kaman, oxatan, silah, tənzim etmək, zodiak
🛡️	qalxan, silah
🔧	alət, təmir açarı
🔩	alət, bolt, bolt və qayka, qayka
⚙️	alət, mexanizm
🗜️	alət, kəlbətin, sıxma
⚖️	balans, libra, tarazlıq tərəzisi, çəki, ədalət
🦯	kor, zond, əlverişlilik
🔗	zəncir
⛓️	zəncir, zəncirlər
🧰	alət, alətlər qutusu, mexanik, çanta
🧲	cazibə, maqnit, nal
⚗️	alət, distillə qazanı, kimya
🧪	eksperiment, elm, kimya, kimyaçı, laboratoriya, sınaq şüşəsi
🧫	Petri qabı, bakteriya, biologiya, bioloq, kultura, laboratoriya
🧬	bioloq, dnt, gen, genetika, təkamül, yaşam
🔬	alət, mikroskop
🔭	alət, teleskop
📡	antena, peyk, peyk antenası, çanaq antenası
💉	alət, həkim, iynə, naxoş, tibb, çəkmək, şpris
🩸	aybaşı, qan damlası, qan donoru, tibb
💊	həb, həkim, naxoş, tibb
🩹	bandaj, yapışan bandaj
🩺	doktor, stetoskop, tibb, ürək
🚪	qapı
🛏️	otel, yataq, yatmaq
🛋️	divan, divan və lampa, lampa, otel
🪑	oturacaq, oturmaq, stul
🚽	tualet
🚿	duş, su
🛁	hamam, vanna
🪒	iti, kəsici, ülgüc
🧴	gün kremi, losyon, losyon şüşəsi, nəmləndirici, şampun
🧷	pank rok, ped, sancaq
🧹	cadugər, süpürgə, süpürmə, təmizləmə
🧺	paltar səbəti, piknik, səbət
🧻	kağız rulonu, tualet kağızı
🧼	sabun, sabunqabı, təmizlənmək, çimmək
🧽	hopdurmaq, məsaməli, süngər, təmizləmək
🧯	alov, alov söndürən, ocaq, söndürmək
🛒	alış-veriş, alış-veriş arabası, araba, kisə
🚬	siqaret
⚰️	tabut, ölüm
⚱️	cənazə, cənazə urnası, urna, ölüm
🗿	heykəl, moai, üz
🏧	Bankomat işarəsi, avtomat, bank, bankomat, kassir
🚮	zibil, zibil qutusu, zibili qutuya atın işarəsi
🚰	içmək, içməli, içməli su, su
♿️	giriş, əlil arabası
🚹️	ayaqyolu, kişi, kişi tualeti, tualet, wc
🚺️	ayaqyolu, qadın, qadın tualeti, tualet, wc
🚻	ayaqyolu, wc
🚼️	dəyişiklik, körpə, körpə simvolu
🚾	ayaqyolu, su, tualet, wc
🛂	idarə, pasport, pasport yoxlaması
🛃	gömrük
🛄	baqaj, baqaj tələbi, tələb
🛅	baqaj, saxlama kamerası, yük, şkaf
⚠️	həyəcan, xəbərdarlıq
🚸	keçmək, nəqliyyat, piyada, uşaq, uşaqlar yol keçir
⛔️	giriş, giriş yoxdur, nəqliyyat, qadağa, qadağan olunmuş, xeyr, yox
🚫	giriş, qadağan olunmuş, qadağandır, xeyr, yox
🚳	bayk, nəqliyyat, qadağa, qadağan olunmuş, velosiped, velosiped sürmək olmaz
🚭️	qadağa, qadağan olunmuş, siqaret, siqaret çəkmək olmaz, xeyr, yox
🚯	qadağa, qadağan olunmuş, xeyr, yox, zibil, zibil atmaq olmaz
🚱	içmək, içməli, qadağa, qadağan olunmuş, su içməli deyil
🚷	piyada, piyadalara keçmək olmaz, qadağa, qadağan olunmuş, xeyr, yox
📵	mobil, mobil telefondan istifadə etmək olmaz, qadağa, qadağan olunmuş, telefon, xeyr, yox
🔞	18 yaşından aşağı olanlara olmaz, on səkkiz, qadağa
☢️	işarə, radioaktiv
☣️	biotəhlükəli, işarə
⬆️	istiqamət, kardinal, ox, üzüyuxarı ox, şimal
↗️	interkardinal, istiqamət, ox, üzüyuxarı sağa yönəlmiş ox, şimal şərq
➡️	istiqamət, kardinal, ox, sağa ox, şərq
↘️	cənub şərq, interkardinal, istiqamət, ox, üzüaşağı sağa yönəlmiş ox
⬇️	aşağı, cənub, istiqamət, kardinal, ox, üzüaşağı ox
↙️	cənub qərb, interkardinal, istiqamət, ox, üzüaşağı sola yönəlmiş ox
⬅️	istiqamət, kardinal, ox, qərb, sola ox
↖️	interkardinal, istiqamət, ox, üzüyuxarı sola yönəlmiş ox, şimal qərb
↕️	ox, üzü aşağı-yuxarı ox
↔️	ox, sola-sağa ox
↩️	ox, sola dönən sağ ox
↪️	ox, sağa dönən sol ox
⤴️	ox, yuxarı dönən sağ ox
⤵️	aşağı, aşağı dönən sağ ox, ox
🔃	ox, saat istiqaməti, saat istiqamətində yönəlmiş şaquli ox, yenidən yüklə
🔄	ox, saat istiqaməti əksinə, saat istiqamətinin əksinə yönəlmiş oxlar düyməsi
🔙	arxa, geriyə yönəlmiş ox, ox
🔚	ox, son, sona yönəlmiş ox
🔛	aktivdir! oxu, işarə, ox, üstündə
🔜	ox, tezliklə, tezliklə oxu
🔝	ox, yuxarı, yuxarı yönəlmiş ox, üst
🛐	din, tapınaq, tapınmaq
⚛️	ateist, atom, atom simvolu
🕉️	din, hindu, om
✡️	davud, davud ulduzu, din, ulduz, yəhudi
☸️	buddist, dharma, dharma çarxı, din, çarx
☯️	dao, daoist, din, in, in yan, yan
✝️	din, latın xaçı, xaç, xristian
☦️	din, ortodoks xaçı, xaç, xristian
☪️	din, islam, müsəlman, ulduz və aypara
☮️	sülh, sülh simvolu
🕎	din, hanukiya, kandelyabr, şamdan
🔯	nöqtəli altıguşəli ulduz, ulduz, var-dövlət
♈️	qoç, qoç bürcü, zodiak
♉️	buğa, ox, zodiak, öküz
♊️	zodiak, əkizlər
♋️	xərçəng, zodiak
♌️	aslan, zodiak, şir
♍️	bakirə, qız, zodiak
♎️	balans, tərəzi, zodiak, ədalət
♏️	zodiak, əqrəb, əqrəb bürcü
♐️	oxatan, zodiak
♑️	keçi, oğlaq, zodiak
♒️	daşıyan, dolça, su, zodiak
♓️	balıq, balıqlar, zodiak
⛎	daşıyan, ilan, ilandaşıyan, zodiak
🔀	kəsişən, ox, trekləri qarışdır düyməsi
🔁	ox, saat istiqaməti, təkrarla, təkrarla düyməsi
🔂	bir, bir dəfə təkrarla düyməsi, ox, saat istiqaməti
▶	işə sal, işə sal düyməsi, ox, sağ, üçbucaq
⏩	ikiqat, irəli, ox, sürətli, sürətli irəliyə çək düyməsi
⏭	növbəti səhnə, növbəti trek, növbəti trek düyməsi, ox, üçbucaq
⏯	fasilə, işə sal, işə sal və ya fasilə et düyməsi, ox, sağ, üçbucaq
◀	geriyə düyməsi, ox, sol, üçbucaq, əks
⏪	ikiqat, ox, rekülək, sürətlə geriyə çək düyməsi
⏮	ox, sonuncu trek düyməsi, üçbucaq, əvvəlki səhnə, əvvəlki trek
🔼	düymə, ox, qırmızı, yuxarı düyməsi
⏫	ikiqat, ox, sürətlə yuxarı keç düyməsi
🔽	aşağı, aşağı düyməsi, düymə, ox, qırmızı
⏬	aşağı, ikiqat, ox, sürətlə aşağı keç düyməsi
⏸️	fasilə, fasilə et düyməsi, ikiqat, şaquli, şkala
⏹️	dayan, dayandır düyməsi, kvadrat
⏺️	dairə, yaz, yaz düyməsi
⏏️	çıxart, çıxart düyməsi
🎦	film, kamera, kino
🔅	aşağı, parlaqlıq, tutqun, tutqunluq düyməsi
🔆	parlaq, parlaqlıq, parlaqlıq düyməsi
📶	antena, antena siqnalları, mobil telefon, mobile, siqnal, telefon, şkala
📳	mobil, rejim, telefon, vibrasiya, vibrasiya rejimi
📴	mobil, mobil telefonu söndürün, sönülü, telefon
♀️	qadın, qadın işarəsi
♂️	kişi, kişi işarəsi
⚕️	eskulap, heyət, tibb, tibb işarəsi
♾️	həmişəlik, limitsiz, sonsuzluq, universal
♻️	təkrar istifadə, təkrar istifadə simvolu
⚜	zanbaq
🔱	alət, emblem, gəmi, lövbər, üçdiş, üçdiş emblem
📛	ad, ad nişanı, nişan
🔰	alət, başlayan, sarı, yapon, yaponların başlayan üçün simvolu, şevron
⭕️	dairə, o, qalın böyük dairə
✅	ağ qalın təsdiq işarəsi, işarə, işarələ
☑️	işarələ, qutu, seçki, təsdiqlənmiş seçki qutusu
✔️	işarə, işarələ, qalın təsdiq işarəsi
✖️	ləğv et, qalın vurma x, vurma, vurmaq, x
❌	işarə, ləğv et, vurma, vurmaq, x, çarpazlamaq işarəsi
❎	işarə, kvadrat, çarpazlamaq düyməsi
➕	plus, qalın plus işarəsi, riyaziyyat
➖	minus, qalın minus işarəsi, riyaziyyat
➗	bölmə, qalın bölmə işarəsi, riyaziyyat
➰	ilmə, spiral, spiral ilmə
➿	ikiqat, ikiqat spiral ilmə, ilmə, spiral
〽️	hissə, hissələri bir-birindən ayırmaq işarəsi, işarə
✳️	səkkiz tərəfli ulduz, ulduz
✴️	səkkiz guşəli ulduz, ulduz
❇️	qığılcım
‼️	durğu işarəsi, işarə, nida, qoşa nida, qoşa nida işarəsi
⁉️	durğu işarəsi, işarə, nida, nida və sual işarələrinin liqaturası, nida və sual işarəsi, sual
❓️	durğu işarəsi, işarə, sual, sual işarəsi
❔	ağ sual işarəsi, durğu işarəsi, işarə, qeyd edilmiş, sual
❕	ağ nida işarəsi, durğu işarəsi, işarə, nida, qeyd edilmiş
❗️	durğu işarəsi, işarə, nida, nida işarəsi
〰️	dalğalı tire, dalğavari, durğu işarəsi, tire
©️	müəllif hüququ
®️	qeydiyyata alınmış, qeydiyyatlı
™️	işarə, ticarət nişanı, tn
#⃣	klaviatura qapağı, klaviatura qapağı: #
*⃣	klaviatura qapağı, klaviatura qapağı: *
0⃣	klaviatura qapağı, klaviatura qapağı: 0
1⃣	klaviatura qapağı, klaviatura qapağı: 1
2⃣	klaviatura qapağı, klaviatura qapağı: 2
3⃣	klaviatura qapağı, klaviatura qapağı: 3
4⃣	klaviatura qapağı, klaviatura qapağı: 4
5⃣	klaviatura qapağı, klaviatura qapağı: 5
6⃣	klaviatura qapağı, klaviatura qapağı: 6
7⃣	klaviatura qapağı, klaviatura qapağı: 7
8⃣	klaviatura qapağı, klaviatura qapağı: 8
9⃣	klaviatura qapağı, klaviatura qapağı: 9
🔟	klaviatura qapağı, klaviatura qapağı: 10
🔠	böyük hərf, böyük hərflərlə latın daxiletməsi, daxiletmə, hərflər, latın
🔡	abcd, daxiletmə, hərflər, kiçik hərf, kiçik hərflərlə latın daxiletməsi, latın
