😀	инээсэн царай, инээх, царай
🔄	товчлуур, цагийн зүү, цагийн зүүний эсрэг товчлуур, эсрэг
🔙	буцах, буцах сум, сум
🔚	сум, төгсөх, төгсөх сум
🔛	дээр, дээр гэсэн сум, сум
🔜	сум, удахгүй, удахгүй гэсэн сум
🔝	дээш, дээшээ гэсэн сум, сум
🛐	газар, мөргөл, мөргөлийн газар, шашин
⚛️	атом, атомын тэмдэг, тэмдэг, шашингүй үзэлтэн
🕉️	маань, шашин
✡️	давид, давидийн од, од, шашин
☸️	будда, хүрд, шашин
☯️	арга, арга билэг, билэг
✝️	загалмай, латин, латин загалмай
☦️	загалмай, ортодокс, ортодокс загалмай
☪️	од, од ба хавирган сар, хавирган сар
☮️	бэлэг тэмдэг, энх тайван, энх тайвны бэлэг тэмдэг
🕎	лааны суурь, шүтлэг
🔯	6, 6 хошуутай од, од, хошуу
♈️	орд, хонины орд, хонь
♉️	орд, үхрийн орд, үхэр
♊️	ихрийн орд, ихэр, орд
♋️	мэлхий, мэлхийн орд, орд
♌️	арслан, арслангийн орд, орд
♍️	орд, охин, охины орд
♎️	жинлүүр, жинлүүрийн орд, орд
♏️	орд, хилэнц, хилэнцийн орд
♐️	нум, нумын орд, орд
♑️	матар, матрын орд, орд
♒️	бумба, бумбын орд, орд
♓️	загас, загасны орд, орд
⛎	од, одны орд, орд
🔀	дуу, дууг солилцох товчлуур, солилцох, товчлуур
🔁	давтах, давтах товчлуур, сум, товчлуур, цагийн зүү
🔂	дахин 1 удаа давтах товчлуур, дахин нэг удаа давтах товчлуур, нэг удаа, сум, цагийн зүү
▶	сум, товчлуур, тоглуулах, тоглуулах товчлуур
⏩	сум, хурдан
⏭	дараагийн дууны товчлуур, дараагийнх, дуу, сум, товчлуур
⏯	сум, товчлуур, тоглуулах, тоглуулах, түр зогсоох товчлуур, түр зогсоох
◀	буцаах, буцаах товчлуур, сум, товчлуур
⏪	буцаах, сум, товчлуур, хурдан, хурдан буцаах товчлуур
⏮	дуу, сум, сүүлийн дууны товчлуур, товчлуур
🔼	нэмэх, нэмэх товчлуур, сум, товчлуур
⏫	нэмэх, сум, товчлуур, хурдан, хурдан нэмэх товчлуур
🔽	буулгах, буулгах товчлуур, сум, товчлуур
⏬	буулгах, сум, товчлуур, хурдан, хурдан буулгах товчлуур
⏸️	товчлуур, түр зогсоох, түр зогсоох товчлуур
⏹️	зогсоох, зогсоох товчлур, товчлур
⏺️	бичих, бичих товчлуур, товчлуур
⏏️	товчлуур, цуцлах, цуцлах товчлуур
🎦	кино, кино театр, театр
🔅	бүдгэрүүлэх, бүдгэрүүлэх товчлуур, товчлуур
🔆	товчлуур, цайруулах, цайруулах товчлуур
📶	антен, антенын багана, гар утас, мобайл, сүлжээний багана, утас
📳	горим, чичрэх, чичрэх горим
📴	гар, гар утас унтраалттай, унтраалттай, утас
♀️	эмэгтэй, эмэгтэй тэмдэг, эмэгтэй хүн
♂️	эрэгтэй, эрэгтэй тэмдэг, эрэгтэй хүн
⚕️	ажилтан, эм, эмнэлгийн тэмдэг, эскулап
♾️	мөнхийн, универсал, хязгааргүй
♻️	дахин боловсруулах, дахин боловсруулах тэмдэг, тэмдэг
⚜	сараана, сараана цэцэг, цэцэг
🔱	лус, лусын хааны сэрээ, сэрээ, хаан
📛	нэр, нэрийн тэмдэг, тэмдэг
🔰	тэмдэг, шат, япон, японы анхан шатныхны тэмдэг
⭕️	бөөрөнхий, том, том бөөрөнхий
✅	зөвлөх, тэмдэг, цагаан, цагаан зөвлөх тэмдэг
☑️	дөрвөлжин, дөрвөлжинд байгаа зөвлөх тэмдэг, зөвлөх, тэмдэг
✔️	зөвлөх, зөвлөх тэмдэг, тэмдэг
✖️	x, ×, тэмдэг, хэрээс, цуцлах, үржвэр, үржих, үржүүлэх тод тэмдэг
❌	x, ×, тэмдэг, хэрээс, хэрээсэн тэмдэг, цуцлах, үржвэр, үржих
❎	x, ×, дөрвөлжин, тэмдэг, хэрээс тэмдэгт товч, хэрээсэн товч
➕	+, математик, нэмэх, нэмэх тэмдэг, тэмдэг
➖	-, маткематик, тэмдэг, хасах, хасах тэмдэг, −
➗	÷, математик, тэмдэг, хуваах, хуваах тэмдэг
➰	буржгар, буржгар хүрд, хүрд
➿	буржгар, хоёр, хоёр буржгартай хүрд, хүрд
〽️	тэмдэг, хэсэг, хэсэг нь ээлжилсэн тэмдэг, ээлжлэх
✳️	*, найман зовхист од, од
✴️	*, найман хошуутай од, од
❇️	*, гялбаа, оч
‼️	анхааруулга, тэмдэг, хоёр, хоёр анхааруулгын тэмдэг
⁉️	анхааруулга, анхааруулгын, асуултын тэмдэг, асуулт, тэмдэг
❓️	?, асуулт, асуултын тэмдэг, цэг тэмдэг
❔	асуулт, тэмдэг, цагаан, цагаан асуултын тэмдэг
❕	анхааруулга, тэмдэг, цагаан, цагаан анхааруулгын тэмдэг
❗️	анхааруулга, анхааруулгын тэмдэг, тэмдэг
〰️	долгион, долгионтой зураас, зураас
©️	c, зохиогчийн эрх
®️	r, бүртгэлтэй
™️	бараа, барааны тэмдэг, тэмдэг
#⃣	түлхүүрийн гэр, түлхүүрийн гэр: #
*⃣	түлхүүрийн гэр, түлхүүрийн гэр: *
0⃣	түлхүүрийн гэр, түлхүүрийн гэр: 0
1⃣	түлхүүрийн гэр, түлхүүрийн гэр: 1
2⃣	түлхүүрийн гэр, түлхүүрийн гэр: 2
3⃣	түлхүүрийн гэр, түлхүүрийн гэр: 3
4⃣	түлхүүрийн гэр, түлхүүрийн гэр: 4
5⃣	түлхүүрийн гэр, түлхүүрийн гэр: 5
6⃣	түлхүүрийн гэр, түлхүүрийн гэр: 6
7⃣	түлхүүрийн гэр, түлхүүрийн гэр: 7
8⃣	түлхүүрийн гэр, түлхүүрийн гэр: 8
9⃣	түлхүүрийн гэр, түлхүүрийн гэр: 9
🔟	түлхүүрийн гэр, түлхүүрийн гэр: 10
🔠	латин, латин том үсгийн оролт, оролт, том, үсэг
🔡	жижиг, латин, латин жижиг үсгийн оролт, оролт, үсэг
🔢	оролт, тоо, тоон оролт
🔣	дүрс, дүрс тэмдгийн оролт, оролт, тэмдэг
🔤	латин, латин үсгийн оролт, оролт, үсэг
🅰️	а, а товчлуур, товчлуур
🆎	AB товчлуур (цусны бүлэг), ab, цусны бүлэг
🅱️	B товчлуур (цусны бүлэг), b, цусны бүлэг
🆑	CL товчлуур, cl
🆒	COOL товчлуур, cool
🆓	FREE товчлуур, free
ℹ️	мэдээллийн эх сурвалж, мэдээлэл, эх сурвалж
🆔	ID товчлуур, id, биеийн байцаалт
Ⓜ️	m, бөөрөнхий, бөөрөнхий доторх m
🆕	NEW товчлуур, шинэ
🆖	NG товчлуур, ng
🅾️	тэмдэг, цус, цусны бүлгийн тэмдэг
🆗	ок, ок гэсэн тэмдэг
🅿️	p товчлуур, зогсоол
🆘	дөрвөлжин сос тэмдэг, тусламж
🆙	дээшээ, тэмдэглэгээ
🆚	дөрвөлжин эсрэг тэмдэг, эсрэг
🈁	катакана коко, япон
🈂️	катакана са, япон
🈷	сар гэсэн ханз, япон
🈶	"үнэгүй биш" гэсэн ханз, япон
🈯	хуруу гэсэн ханз, япон
🉐	давуу талын ханз, япон
🈹	хуваах гэсэн ханз, япон
🈚	няцаалт гэсэн ханз, япон
🈲	хориглох ханз, япон
🉑	зөвшөөрөх ханз, хятад
🈸	оруулах ханз, хятад
🈴	хамтдаа гэсэн ханз, хятад
🈳	хоосон гэсэн ханз, хятад
㊗️	баяр хүргэх, баяр хүргэх ханз, ханз, хятад
㊙️	нууц, нууц гэсэн ханз, ханз, хятад
🈺	дөрвөлжин ханз, ханз, хятад
🈵	хятад, хятад үсэг, үсэг
🔴	геометр, тойрог, улаан, улаан тойрог
🟠	тойрог, улбар шар, улбар шар тойрог
🟡	тойрог, шар, шар тойрог
🟢	ногоон, ногоон тойрог, тойрог
🔵	геометр, тойрог, цэнхэр, цэнхэр тойрог
🟣	нил ягаан, нил ягаан тойрог, тойрог
