😀	dareenka wajiga, gariir, wajiga
🛂	baasaboor, xakamaynta baasaboorka, xukun
🛃	canshuurta
🛄	boorso, boorso sheegasho, sheegasho
🛅	boorso, cafash, ka tagid cafash, sanduuq
⚠️	digniin
🚸	caruurta oo gudbaya, cunug, dadka lugaynaya, gudbinta, taraafik
⛔️	Ma jirto gelitaan, gelitaan, ma jirto, mamnuuc, maya, reebban, taraafik
🚫	gelitaan, ma jirto, mamnuuc, maya, reebban
🚳	baaskiil, baaskiil maya, baaskiil wadista, mamnuuc, maya, reebban
🚭️	ma jirto, mamnuuc, maya, reebban, sigaar cabidda, sigaar cabidda maya
🚯	ma jirto, mamnuuc, maya, qashinka, qashinka maya, reebban
🚱	aan la cabi karin, aan la isticmaali karin, biyaha aan la isticmaali karin, biyo
🚷	dadka lugaynaya, dadka lugaynaya maya, ma jirto, mamnuuc, maya, reebban
📵	ma jiraan taleefoonada gacanta, mamnuuc, maya, moobeel, taleefan
🔞	18, da’ hoose, lama oggola qof ka yar siddeed iyo tobban, reebban, siddeed iyo tobban, xaddidaadda da’da
☢️	calaamad, kaah fale
☣️	calaamad, halis ku ah noolaha, halista noolaha
⬆️	afarta jihooyin, falaarta kor, fallaar, fallaarta kor, jihada, waqooyi
↗️	fallaar, fallaarta kor ee midig, isdhaafsiga jihooyinka, jihada, waqooyi bari
➡️	afarta jihooyin, bari, fallarta midig, falllaar, jihooyinka
↘️	fallaar, fallaarta hoose ee midig, isdhaafsiga jihooyinka, jihada, koonfur bari
⬇️	afarta jihooyin, fallaar, fallaarta hoose, hoos, jihada, koonfur
↙️	fallaar, fallaarta hoose ee bidix, isdhaafsiga jihooyinka, jihada, koonfur galbeed
⬅️	afarta jihooyin, fallaar, fallaarta bidix, fallarta bidix, galbeed, jihada
↖️	fallaar, fallaarta kor ee bidix, isdhaafsiga jihooyinka, jihada, waqooyi galbeed
↕️	fallaar, fallaarta kor-hoose
↔️	fallaar, fallaarta bidix-midig
↩️	fallaar, fallaarta midig u qalloocsan bidix
↪️	fallaar, fallaarta bidix u qalloocsan midig
⤴️	fallaar, fallaarta midig u qalloocsan kor
⤵️	fallaar, fallaarta midig u qalloocsan hoos
🔃	dib -usoo kicinta, fallaar, fallaarada taaggan ee saacad-wareegga, saacad-wareeg
🔄	badhanka fallaarada ee lid saacad-wareegga, fallaar, lid saacad-wareegga, saacad-wareegga gacan bidix ah
🔙	falaar, fallaarta GADAAL, gadaal
🔚	Fallaarta DHAMMAADKA, dhammaad, fallaar
🔛	calaamad, dusha, fallaar, fallaarta DUSHA!
🔜	dhakhsasho, falaar, falaarta DHAKHSASHADA
🔝	falaarta SARE, fallaar, kor, sare
🛐	caabudid, diin, goobta cibaadada
⚛️	atam, calaamadda atam, diin laawe
🕉️	Hindi ah, Xuruuf diini ee Hindida, diin
✡️	Da’uud, Yuhuud, Yuhuudi, diin, xiddig, xiddigga Da’uud
☸️	diin, diinta Hindida ee dharma, qof caabuda budhcada
☯️	diin, diinta Shiinaha ee yin yang, diinta tao, diinta taoist, diinta yang, diinta yin
✝️	diin, mactab, mactabka latin, qof masiixi
☦️	diin, mactab, mactabka diinta asal-raaca, mactabka diinta asal-raacnimada, qof masiixi
☪️	Muslim, bil iyo xiddig, diin, islaam
☮️	calaamadda nabadda, nabad
🕎	caabudidaa shumaca ee Yuhuudda, diin, shumac caabudaan Yuhuudda, shumac weyn, ulaha shumaca
🔯	maal, xidddig lix geesood oo dhibic leh, xiddig, xiddig lix geeslood oo dhibic leh
♈️	laxo, mactabka meecaad, wan
♉️	baqay, dibbi, dibigga Taurus, mactabka meecaad
♊️	mactabka meecaad, mataan, mataanaha
♋️	carsaanyo, mactab meecaad, naaf
♌️	boqorka libaaxa, libaax, mactab meecaad
♍️	afaggaal, mactab meecaad
♎️	caddaalad, cutubka meecaad, cutubka miisaanka, isku dheelitirka, miisaan
♏️	cutubka meecaad, daba-aleele, dib-qallooc
♐️	cutubka meecaad, dameerajoogeen, qaanso toog
♑️	cutubka meecaad, ri, riyaha
♒️	biyo, cutubka meecaad, cutubka xiddigga biyaha, sidaha
♓️	cutubka meecaad, cutubka xiddiga ee kalluunka, kalluun
⛎	abeeso, cutubka meecaad, mas, sidaha
🔀	badhanka muusik daarista, fallaar, iskutallaaban
🔁	badhanka ku celinta, fallaar, ku celi, saacad-wareegga
🔂	fallaar, ku celinta halka badhan, mar, saacad-wareegga
▶	badhanka cayaar, cayaar, fallaar, midig, saddex xaggale
⏩	badhanka mootinta, degdegg, fallaar, hore, laban-laab
⏭	badhanka daarista xigga, badhanka muusik daarista xigga, daarista xigta, fallaar, muuqaalka xigga, saddex xaggal
⏯	bdhanka cayaar ama jooji ah, cayaar, fallaar, jooji, midig, saddex xaggal
◀	badhanka dib u celinta, bidix, dib u celi, fallaar, saddex xaggal
⏪	badhanka dib u celinta degdegga, dib u noqoshada, fallaar, laban-laab
⏮	badhanka daarista ugu dambeeya, daaristii hore, fallaar, muuqaalkii hore, saddex xaggal
🔼	badhan, badhanka xagga sare, cas, fallaar
⏫	badhanka degdegga sare, badhanka degdegga sare ah, fallaar, laban-laab
🔽	badhan, badhanka xagga hoose, cas, fallaar, hoose, xagga hoose
⏬	badhanka degdegga hoose, fallaar, hoose, laban-laab
⏸️	badhanka hakinta, hakin, jiitin, laban-laab, taaggan
⏹️	afar jibbaar, badhanka joojinta, jooji
⏺️	badhanka duubista, duub, goobo
⏏️	badhanka ka soo saarista, soo saar
🎦	aflaan, filin, kamarad, shaleemo
🔅	badhanka daciifka, daciif, dhalaalka, hoos
🔆	badhanka dhalaalka, dhalaal, dhalaalka
📶	anteena, moobeel, taleefan, taleefoonka, xariiq, xariiqaha anteenada
📳	gariirka, habka, habka gariirka, moobeel, taleefan, taleefoonka
📴	dami, dami taleefoonka gacanta, mobeel, taleefan, taleefoonka
♀️	calaamad dheddig, haweeney
♂️	calaamad lab, nin
⚕️	calaamad caafimaad, daawo, dawo diineed hore ee Giriigga, shaqaale
♾️	aan xad lahayn, abid, guud ahaan, xad la’aan
♻️	calaamadda dib-u-warshadaynta, dib-u-warshadee
⚜	saddex midnimada quduuska
🔱	astaan, astaanta garab, baroosiin, garab, markab, qalab
📛	calaamad, calaamadda magaca, magac
🔰	calaamadda Jabbaaka ee dadka bilowga ah, caleen, darajada, qof bilow ah
⭕️	cas, goobo, goobo cas dalool leh, o, weyn
✅	badhan, badhanka calaamadda sax, calaamad, calaamadee, ✓
☑️	calaamadee, ku calaamadee sanduuqa sax, sanduuq, ✓
✔️	calaamad, calaamadee, ku calaamadee calaamad, ✓
✖️	calaamad, calaamadda isku dhufasho, isku dhufasho, isku dhufo, isu jar, x, ×
❌	calaamad, calaamadda iskutallaabta, isku dhufasho, isku dhufo, iskutallaabta, isu jar, x, ×
❎	afar jibaar, badhanka calaamadda iskutallaabta, calaamad, x, ×
➕	+, calaamad, calaamadda isugeynta, isugee, xisaab
➖	-, calaamad, calaamadda ka jar, ka jar, xisaab, −
➗	calaamad, calaamadda isu qaybinta, isu qaybin, xisaab, ÷
➰	laab, laaban, laaban oo sargo’an
➿	laab, laban-laab, maroogsin sargo’an oo laban-laab, maroogsin sargo’an oo laban-laab ah, sargo’an
〽️	calaamad, qayb, qaybta calaamadda talantaalliga ah
✳️	*, calaamad, siddeed geesood oo isku nooc u taaggan
✴️	* xiddig siddeed geeslood oo tilmaama, xiddig, xiddig siddeed geeslood oo tilmaama
❇️	*, dhalaal
‼️	!, !!, cajiib, calaamad, dhawaaq, laba calaamadood cajiib ah
⁉️	!, !?, ?, cajiib, calaamad, calaamad cajiib su’aal ah, su’aal, xarakayn
❓️	?, calaamad, calaamad su’aal, su’aal, xarakayn
❔	?, calaamad, ccalaamad su’aal cad, kormaris, su’aal, xarakayn
❕	!, cajiib, calaamad, calaamad cajiib cad, kormaris, xarakayn
❗️	!, cajiib, calaamad, calaamad cajiib, xarakayn
〰️	calaamadda qulqulka hirka oo kale, qaab hir oo kale, qulqulka hirka, xarakayn
©️	c, xuquuqda daabacaadda
®️	diiwaan gashan, r
™️	sumadda, sumadda ganacsiga, sumaddaganacsiga, tm
#⃣	daboolka furaha, daboolka furaha: #
*⃣	daboolka furaha, daboolka furaha: *
0⃣	daboolka furaha, daboolka furaha: 0
1⃣	daboolka furaha, daboolka furaha: 1
2⃣	daboolka furaha, daboolka furaha: 2
3⃣	daboolka furaha, daboolka furaha: 3
4⃣	daboolka furaha, daboolka furaha: 4
5⃣	daboolka furaha, daboolka furaha: 5
6⃣	daboolka furaha, daboolka furaha: 6
7⃣	daboolka furaha, daboolka furaha: 7
8⃣	daboolka furaha, daboolka furaha: 8
9⃣	daboolka furaha, daboolka furaha: 9
🔟	daboolka furaha, daboolka furaha: 10
🔠	ABCD, geli, geli xarfa weyn oo latin ah, latin, weyn, xuruuf
🔡	abcd, geli, geli xarfo latin oo yar yar, latin, xuruuf, yar yar
🔢	1234, geli, geli tirooyin, tirooyin
🔣	geli, geli calaamado, 〒♪&%
🔤	abc, alifbeeta, geli, geli xuruuf latin ah, latin, xuruuf
🅰️	a, badhan (nooca dhiigga), nooca dhiigga
🆎	AB badhan (nooca dhiigga), ab, nooca dhiigga
🅱️	B badhan (nooca dhiigga), b, nooca dhiigga
🆑	badhan CL, cl
🆒	badhanka QABOW, qabow
🆓	badhanka BILAASH AH, bilaash
ℹ️	i, macluumaad
🆔	aqoonsi, badhanka ID-ga, id
Ⓜ️	M goobaysan, goobee, m
🆕	badhanka CUSUB, cusub
🆖	badhanka NG, ng
🅾️	badhanka O (nooca dhiigga), nooca dhiigga, o
🆗	OK, badhanka OK
🅿️	badhanka P, gaari dhigasho
🆘	SOS, badhanka SOS, caawi
🆙	badhanka KOR!, calaamad, kor
🆚	badhanka VS, kasoo horjeeda, vs
🈁	Jabbaanka, badhanka Jabbaanka “halkan”, “halkan”
🈂️	Jabbaanka, badhanka ‘‘lacagta adeegga’‘ ee Jabbaanka, katakana, ‘‘lacagta adeegga’‘
🈷	Jabbaanka, badhanka “qaddarka billaha ah” ee Jabbaanka, fikrad-garafeed, “qaddarka billaha ah”
🈶	Jabbaanka, badhanka “ma aha bilaash” ee Jabbaanka, badhanka “qaddarka billaha ah” ee Jabbaanka, fikrad-garafeed, “qaddarka billaha ah”
🈯	Jabbaanka, badhanka “kaydsan” ee Jabbaanka, fikir-garafeed, “kaydsan”
🉐	Jabbaanka, badhanka ‘‘gorgortan’‘ ee Jabbaanka, fikir-garafeed, ‘‘gorgortan’‘
🈹	Jabbaanka, badhanka ‘‘sicir-dhimis’‘ ee Jabbaanka, fikir-garafeed, ‘‘sicir-dhimis’‘
🈚	Jabbaanka, badhanka ‘‘waa bilaash’‘ ee Jabbaanka, fikir-garafeed, ‘‘waa bilaash’‘
🈲	Jabbaanka, badhanka ‘‘mamnuuc’‘ ee Jabbaanka, badhanka ‘‘waa bilaash’‘ ee Jabbaanka, fikir-garafeed, ‘‘waa bilaash’‘
🉑	Jabbaanka, badhanka ‘‘la aqbali karo’‘ ee Jabbaanka, fikir-garafeed, ‘‘la aqbali karo’‘
🈸	Jabbaanka, badhanka ‘‘codsiga’‘ ee Jabbaanka, fikir-garafeed, ‘‘codsiga’‘
🈴	Jabbaanka, badhanka ‘‘darajada baasitaanka’‘ ee Jabbaanka, fikir-garafeed, ‘‘darajada baasitaanka’‘
🈳	Jabbaanka, badhanka ‘‘bannaan’‘ ee Jabbaanka, fikir-garafeed, ‘‘bannaan’‘
㊗️	Jabbaanka, badhanka ‘‘hambalyo’‘ ee Jabbaanka, fikir-garafeed, ‘‘hambalyo’‘
㊙️	Jabbaanka, badhanka ‘‘sir’‘ ee Jabbaanka, fikir-garafeed, ‘‘sir’‘
🈺	Jabbaanka, badhanka ‘‘u furan ganacsi’‘ ee Jabbaanka, fikir-garafeed, ‘‘u furan ganacsi’‘
🈵	Jabbaanka, badhanka ‘‘ma bannaana’‘ ee Jabbaanka, fikir-garafeed, ‘‘ma bannaana’‘
🔴	cas, goobada cas, goobo, joometriyeed
🟠	goobada oranjiga ah, goobo, oranji
🟡	goobada jaallaha ah, goobo, jaalle
🟢	caggaar, goobada caggaarka ah, goobo
🔵	buluug, goobada buluugga, goobo, joometriyeed
🟣	buluug-guduud, goobada buluug-guduudka ah, goobo
🟤	bunni, goobada bunniga ah, goobo
⚫️	goobo, goobo madow, joometriyeed
⚪️	goobo, goobo cad, joometriyeed
🟥	afar gees, afar geeska casaanka ah, casaan
🟧	afar geeska, afar geeska oranjiga ah, oranjiga
🟨	afar gees, afar geeska jaalaha, jaalle
🟩	afar gees, afar geeska caggaarka ah, caggaar
🟦	afar gees, afar geeska buluugga ah, buluug
🟪	afar gees, afar geeska buluug-guduudka ah, buluug-guduud
🟫	afar gees, afar geeska bunniga ah, bunni
⬛️	afar gees, afar gees weyn oo madow, joometriyeed
⬜️	afar gees, afar gees weyn oo cad, joometriyeed
◼️	afar gees, afar gees dhexdhexaad oo madow, joometriyeed
◻️	afar gees, afar gees dhexdhexaad oo cad, joometriyeed
◾️	afar gees, afar gees dhexdhexaad oo madow, afar gees dhexdhexaad yar oo madow, joometriyeed
◽️	afar gees, afar gees dhexdhexaad yar oo cad, joometriyeed
▪️	afar gees, afar gees yar oo madow, joometriyeed
▫️	afar gees, afar gees yar oo cad, joometriyeed
🔶	dheeman, dheeman weyn oo oranji ah, joometriyeed, oranji
🔷	buluug, dheeman, dheeman weyn oo buluug ah, joometriyeed
🔸	dheeman, dheeman yar oo oranji ah, joometriyeed, oranji
🔹	buluug, dheeman, dheeman yar oo buluug ah, joometriyeed
🔺	cas, joometriyeed, saddex xaggale cas oo kor tilmaamaya
🔻	cas, hoos, joometriyeed, saddex xaggale cas oo hoos tilmaamaya
💠	dheeman, dheeman aan lahayn dhibic, dheeman leh dhibic, gudaha, joometriyeed, majaajilo
🔘	badhan, badhan raadiye, joometriyeed, raadiye
🔳	afar gees, badhan, badhan afar gees ah oo cad, badhan afar gees oo cad, joometriyeed, sharaxan
🔲	afar gees, badhan, badhan afar gees ah oo madow, joometriyeed
🏁	calanka la saxay, hubin, la saxay, tartanka
🚩	boostada, calanka saddex-geesoodka
🎌	Japanese, calanka ka gudba, dabaal dag, gudub, ka gudbay
🏴	calanka madoow, luxanaaya
🏳️	calanka cad, luxanaaya
🏳‍🌈	calanka qaanso roobeed, qaanso roobeed
🏴‍☠	Jolly Roger, burcad badeed, calanka burcad badeedda, dhaca, khasnadda
🇦🇨	calan, calan: Jasiiradda Asensiyoon
🇦🇩	calan, calan: Andora
🇦🇪	calan, calan: Imaaraadka Carabta ee Midoobay
🇦🇫	calan, calan: Afgaanistaan
🇦🇬	calan, calan: Antigua & Barbuuda
🇦🇮	calan, calan: Anguula
🇦🇱	calan, calan: Albaaniya
🇦🇲	calan, calan: Armeeniya
🇦🇴	calan, calan: Angoola
🇦🇶	calan, calan: Antaarktika
🇦🇷	calan, calan: Arjentiina
🇦🇸	calan, calan: Samowa Ameerika
🇦🇹	calan, calan: Awsteriya
🇦🇺	calan, calan: Awstaraaliya
🇦🇼	calan, calan: Aruba
🇦🇽	calan, calan: Jasiiradda Aland
🇦🇿	calan, calan: Asarbajan
🇧🇦	calan, calan: Boosniya & Harsegofina
🇧🇧	calan, calan: Baarbadoos
🇧🇩	calan, calan: Bangladesh
🇧🇪	calan, calan: Biljam
🇧🇫	calan, calan: Burkiina Faaso
🇧🇬	calan, calan: Bulgaariya
🇧🇭	calan, calan: Baxreyn
🇧🇮	calan, calan: Burundi
🇧🇯	calan, calan: Biniin
🇧🇱	calan, calan: St. Baathelemiy
🇧🇲	calan, calan: Barmuuda
🇧🇳	calan, calan: Buruneeya
🇧🇴	calan, calan: Boliifiya
🇧🇶	calan, calan: Karibiyaan Nadarlands
🇧🇷	calan, calan: Baraasiil
🇧🇸	calan, calan: Bahaamas
🇧🇹	calan, calan: Buutan
🇧🇻	calan, calan: Buufet Island
🇧🇼	calan, calan: Botuswaana
🇧🇾	calan, calan: Belarus
🇧🇿	calan, calan: Beliis
🇨🇦	calan, calan: Kanada
🇨🇨	calan, calan: Jasiiradda Kookoos
🇨🇩	calan, calan: Jamhuuriyadda Dimuquraadiga Kongo
🇨🇫	calan, calan: Jamhuuriyadda Afrikada Dhexe
🇨🇬	calan, calan: Kongo
🇨🇭	calan, calan: Swiiserlaand
🇨🇮	calan, calan: Ayfori Koost
🇨🇰	calan, calan: Jasiiradda Kook
🇨🇱	calan, calan: Jili
🇨🇲	calan, calan: Kaameruun
🇨🇳	calan, calan: Shiinaha
🇨🇴	calan, calan: Kolombiya
🇨🇵	calan, calan: Jasiiradda Kilibarton
🇨🇷	calan, calan: Kosta Riika
🇨🇺	calan, calan: Kuuba
🇨🇻	calan, calan: Jasiiradda Kayb Faarde
🇨🇼	calan, calan: Kurakaaw
🇨🇽	calan, calan: Jasiiradda Kirismas
🇨🇾	calan, calan: Qubrus
🇨🇿	calan, calan: Jekiya
🇩🇪	calan, calan: Jarmal
🇩🇬	calan, calan: Diyeego Karsiya
🇩🇯	calan, calan: Jabuuti
🇩🇰	calan, calan: Denmark
🇩🇲	calan, calan: Dominika
🇩🇴	calan, calan: Jamhuuriyaddda Dominika
🇩🇿	calan, calan: Aljeeriya
🇪🇦	calan, calan: Seyuta & Meliila
🇪🇨	calan, calan: Ikuwadoor
🇪🇪	calan, calan: Estooniya
🇪🇬	calan, calan: Masar
🇪🇭	calan, calan: Saxaraha Galbeed
🇪🇷	calan, calan: Eritreeya
🇪🇸	calan, calan: Isbeyn
🇪🇹	calan, calan: Itoobiya
🇪🇺	calan, calan: Midowga Yurub
🇫🇮	calan, calan: Finland
🇫🇯	calan, calan: Fiji
🇫🇰	calan, calan: Jaziiradaha Fooklaan
🇫🇲	calan, calan: Mikroneesiya
🇫🇴	calan, calan: Jasiiradda Faroo
🇫🇷	calan, calan: Faransiis
🇬🇦	calan, calan: Gaaboon
🇬🇧	calan, calan: Boqortooyada Midowday
🇬🇩	calan, calan: Giriinaada
🇬🇪	calan, calan: Joorjiya
🇬🇫	calan, calan: Faransiis Gini
🇬🇬	calan, calan: Guurnsey
🇬🇭	calan, calan: Gaana
🇬🇮	calan, calan: Gibraltar
🇬🇱	calan, calan: Greenland
🇬🇲	calan, calan: Gambiya
🇬🇳	calan, calan: Gini
🇬🇵	calan, calan: Guadeluub
🇬🇶	calan, calan: Ekuwatooriyal Gini
🇬🇷	calan, calan: Giriig
🇬🇸	calan, calan: Jasiiradda Joorjiyada Koonfureed & Sandwij
🇬🇹	calan, calan: Guwaatamaala
🇬🇺	calan, calan: Guaam
🇬🇼	calan, calan: Gini-Bisaaw
🇬🇾	calan, calan: Guyana
🇭🇰	calan, calan: Hong Kong
🇭🇲	calan, calan: Jasiiradda Haad & MakDonald
🇭🇳	calan, calan: Honduras
🇭🇷	calan, calan: Korweeshiya
🇭🇹	calan, calan: Haiti
🇭🇺	calan, calan: Hangari
🇮🇨	calan, calan: Jasiiradda Kanari
🇮🇩	calan, calan: Indoneesiya
🇮🇪	calan, calan: Ayrlaand
🇮🇱	calan, calan: Israaʼiil
🇮🇲	calan, calan: Jasiiradda Isle of Man
🇮🇳	calan, calan: Hindiya
🇮🇴	calan, calan: Dhul xadeedka Badweynta Hindiya ee Biritishka
🇮🇶	calan, calan: Ciraaq
🇮🇷	calan, calan: Iiraan
🇮🇸	calan, calan: Ayslaand
🇮🇹	calan, calan: Talyaani
🇯🇪	calan, calan: Jaarsey
🇯🇲	calan, calan: Jamaaika
🇯🇴	calan, calan: Urdun
🇯🇵	calan, calan: Jabaan
🇰🇪	calan, calan: Kenya
🇰🇬	calan, calan: Kirgistaan
🇰🇭	calan, calan: Kamboodiya
🇰🇮	calan, calan: Kiribati
🇰🇲	calan, calan: Komooros
🇰🇳	calan, calan: St. Kitts & Nefis
🇰🇵	calan, calan: Kuuriyada Waqooyi
🇰🇷	calan, calan: Kuuriyada Koonfureed
🇰🇼	calan, calan: Kuwayt
🇰🇾	calan, calan: Cayman Islands
🇰🇿	calan, calan: Kasaakhistaan
🇱🇦	calan, calan: Laos
🇱🇧	calan, calan: Lubnaan
🇱🇨	calan, calan: St. Lusia
🇱🇮	calan, calan: Liyjtensteyn
🇱🇰	calan, calan: Sirilaanka
🇱🇷	calan, calan: Laybeeriya
🇱🇸	calan, calan: Losooto
🇱🇹	calan, calan: Lituweeniya
🇱🇺	calan, calan: Luksemboorg
🇱🇻	calan, calan: Latfiya
🇱🇾	calan, calan: Liibya
🇲🇦	calan, calan: Morooko
🇲🇨	calan, calan: Moonako
🇲🇩	calan, calan: Moldofa
🇲🇪	calan, calan: Moontenegro
🇲🇫	calan, calan: St. Maartin
🇲🇬	calan, calan: Madagaskar
🇲🇭	calan, calan: Jasiiradda Maarshal
🇲🇰	calan, calan: Masedooniya
🇲🇱	calan, calan: Maali
🇲🇲	calan, calan: Miyanmar
🇲🇳	calan, calan: Mongooliya
🇲🇴	calan, calan: Makaaw
🇲🇵	calan, calan: Jasiiradda Waqooyiga Mariaana
🇲🇶	calan, calan: Maartinik
🇲🇷	calan, calan: Muritaaniya
🇲🇸	calan, calan: Montserrat
🇲🇹	calan, calan: Maalta
🇲🇺	calan, calan: Mawrishiyaas
🇲🇻	calan, calan: Maaldiqeen
🇲🇼	calan, calan: Malaawi
🇲🇽	calan, calan: Meksiko
🇲🇾	calan, calan: Malaysia
🇲🇿	calan, calan: Musambiik
🇳🇦	calan, calan: Namiibiya
🇳🇨	calan, calan: Jasiiradda Niyuu Kaledooniya
🇳🇪	calan, calan: Nayjer
🇳🇫	calan, calan: Jasiiradda Noorfolk
🇳🇬	calan, calan: Nayjeeriya
🇳🇮	calan, calan: Nikaraaguwa
🇳🇱	calan, calan: Nederlaands
🇳🇴	calan, calan: Noorweey
🇳🇵	calan, calan: Nebaal
🇳🇷	calan, calan: Nauru
🇳🇺	calan, calan: Niue
🇳🇿	calan, calan: Niyuusiilaand
🇴🇲	calan, calan: Cumaan
🇵🇦	calan, calan: Baanama
🇵🇪	calan, calan: Beeru
🇵🇫	calan, calan: Booliyneesiya Faransiiska
🇵🇬	calan, calan: Babua Niyuu Gini
🇵🇭	calan, calan: Filibiin
🇵🇰	calan, calan: Bakistaan
🇵🇱	calan, calan: Booland
🇵🇲	calan, calan: Saint Pierre and Miquelon
🇵🇳	calan, calan: Bitkairn
🇵🇷	calan, calan: Bueerto Riiko
🇵🇸	calan, calan: Falastiin Daanka galbeed iyo Qasa
🇵🇹	calan, calan: Bortugaal
🇵🇼	calan, calan: Balaaw
🇵🇾	calan, calan: Baraguaay
🇶🇦	calan, calan: Qadar
🇷🇪	calan, calan: Riyuuniyon
🇷🇴	calan, calan: Rumaaniya
🇷🇸	calan, calan: Seerbiya
🇷🇺	calan, calan: Ruush
🇷🇼	calan, calan: Ruwanda
🇸🇦	calan, calan: Sacuudi Carabiya
🇸🇧	calan, calan: Jasiiradda Solomon
🇸🇨	calan, calan: Sishelis
🇸🇩	calan, calan: Suudaan
🇸🇪	calan, calan: Iswidhan
🇸🇬	calan, calan: Singaboor
🇸🇭	calan, calan: Saint Helena
🇸🇮	calan, calan: Islofeeniya
🇸🇯	calan, calan: Jasiiradda Sfaldbaad & Jaan Mayen
🇸🇰	calan, calan: Islofaakiya
🇸🇱	calan, calan: Siraaliyoon
🇸🇲	calan, calan: San Marino
🇸🇳	calan, calan: Sinigaal
🇸🇴	calan, calan: Soomaaliya
🇸🇷	calan, calan: Surineym
🇸🇸	calan, calan: Koonfur Suudaan
🇸🇹	calan, calan: Sao Tome & Birincibal
🇸🇻	calan, calan: El Salfadoor
🇸🇽	calan, calan: Siint Maarteen
🇸🇾	calan, calan: Suuriya
🇸🇿	calan, calan: Eswaatiini
🇹🇦	calan, calan: Tiristan da Kunha
🇹🇨	calan, calan: Turks & Kaikos Island
🇹🇩	calan, calan: Jaad
🇹🇫	calan, calan: Dhul xadeedka Koonfureed ee Faransiiska
🇹🇬	calan, calan: Toogo
🇹🇭	calan, calan: Taylaand
🇹🇯	calan, calan: Tajikistan
🇹🇰	calan, calan: Tokelaaw
🇹🇱	calan, calan: Timoor
🇹🇲	calan, calan: Turkmenistan
🇹🇳	calan, calan: Tuniisiya
🇹🇴	calan, calan: Tonga
🇹🇷	calan, calan: Turki
🇹🇹	calan, calan: Tirinidaad & Tobago
🇹🇻	calan, calan: Tufaalu
🇹🇼	calan, calan: Taywaan
🇹🇿	calan, calan: Tansaaniya
🇺🇦	calan, calan: Yukrayn
🇺🇬	calan, calan: Ugaanda
🇺🇲	calan, calan: Jasiiradaha ka baxsan Maraykanka
🇺🇳	calan, calan: Qaramada Midoobay
🇺🇸	calan, calan: Maraykanka
