😀	tirjaygan yuz, tirjayish, yuz
🏑	maydon, o‘yin, to‘p, xokkey, xokkey maydoni
🏒	muz, o‘yin, xokkey, xokkey tayog‘i va diski
🥍	gol, klyushka, koptok, lakross, raketka, to‘p, urish
🏓	o‘yin, stol tennisi, to‘p
🏸	badminton, o‘yin, qushcha, raketka
🥊	boks, boks qo‘lqopi, qo‘lqop, sport
🥋	dzyudo, jang san’ati, karate, sport, sport formasi, sport kimonosi, taekvondo
🥅	darvoza, gol, sport, sportga oid darvoza
⛳️	golf, teshik, teshikka o‘rnatilgan bayroq
⛸️	konki, muz
🎣	baliq, qarmoq
🤿	dayving, shoʻngʻish, shoʻngʻish niqobi, suvosti
🎽	futbolka, yugurish, yugurish futbolkasi
🎿	chang‘i, qor
🛷	chana
🥌	kyorling, muz, o‘yin, tosh
🎯	buqa, dart, ko‘z, mo‘ljal, mo‘ljalni urish, o‘yin, taget
🪀	oʻyinchoq, pirildoq, yo-yo
🪁	aylanish, uchish, varrak
🎱	8, 8 ta shar, billiard, o‘yin, sakkiz, shar
🔮	asbob, ertak, fantaziya, kristall, kristall shar, shar, taqdir
🧿	ko‘k, ko‘z, nazar, nazar tumori, talisman, tumor
🎮️	kontroller, o‘yin, video o‘yin
🕹️	joystik, o‘yin, video o‘yin
🎰	avtomat, o‘yin, o‘yin avtomati
🎲	o‘yin, shoshqol, shoshqol toshi, tosh
🧩	boshqotirma, mantiq, mozaika, parcha, pazl, pazl qismi, qism
🧸	ayiqcha, baxmal ayiqcha, baxmal o‘yinchoq, duxoba, o‘yinchoq, yumshoq o‘yinchoq
♠️	karta, o‘yin, qarg‘a, qarg‘a kartasi
♥️	karta, o‘yin, tappon kartasi, yurak, yuraklar
♦️	g‘ishtin kartasi, karta, o‘yin, qarta, q‘ishtin, romb
♣️	chillik, chillik kartasi, karta, o‘yin
♟️	dona, piyoda, shaxmat, shaxmat donasi, shaxmat toshlari, toshlar
🃏	karta, o‘yin, o‘yin kartasidagi joker, o‘ynash
🀄️	majong, majong toshidagi qizil ajdar, o‘yin, qizil
🎴	gul, gulli o‘yin kartalari, karta, o‘yin, o‘ynash, yapon
🎭️	niqob, san’at, teatr, teatr niqoblari
🖼️	hoshiya, muzey, ramka, ramkali surat, rasm, rassomlik, san’at
🎨	muzey, paletra, palitra, rassomlik, san’at
🧵	g‘altak, ip, ip g‘altagi, tikish
🧶	koptok, koptok iplar, o‘ram, o‘ram ip, to‘qish, yigirilgan ip
👓️	kiyim, ko‘z, ko‘zoynak
🕶️	ko‘z, ko‘zoynak, qorong‘u, quyoshdan himoyalaydigan ko‘zoynak
🥽	himoya ko‘zoynagi, ko‘zni himoyalash, ko‘zoynak, payvandlash, quyosh ko‘zoynagi, suzish ko‘zoynagi
🥼	doktor, laboratoriya, laboratoriya xalati, olim, oq xalat, tajriba, xalat
🦺	favqulodda holat, kamzul, qutqarish, qutqaruv kamzuli, xavfsizlik
👔	bo‘yinbog‘, kiyim
👕	futbolka, kiyim, ko‘ylak
👖	jinsi shim, kiyim, shim
🧣	sharf
🧤	qo‘lqop
🧥	palto
🧦	paypoq
👗	kiyim, libos
👘	kimono, kiyim
🥻	kiyim, koʻylak, sari
🩱	choʻmilish kiyimi, yaxlit choʻmilish kiyimi
🩲	chomilish trusigi, choʻmilish kiyimi, ich kiyim, trusik, yaxlit
🩳	choʻmilish kiyimi, ich kiyimi, ishton, kalta ishton
👙	bikini, kiyim, suzish
👚	ayol, ayollar kiyimi, kiyim
👛	hamyon, kiyim, tanga
👜	ayollar qo‘l sumkasi, kiyim, sumka
👝	kichik sumka, kiyim, sumka
🛍️	mehmonxona, sumka, xarid, xarid sumkalari
🎒	jild, maktab, maktab sumkasi, sumka
👞	erkak, erkaklar tuflisi, kiyim, tufli
👟	atletika, kiyim, krossovka, tufli
🥾	oyoq kiyimi, sayohat poyafzali, tog‘ poyafzali, tog‘ sayri, trekking, trekking oyoq kiyimi
🥿	baletka, oyoq kiyim, poshnasiz, poshnasiz oyoq kiyim, poyafzal, tagliksiz, tekis taglikli poyafzal
👠	ayol, baland poshnali tufli, kiyim, poshna, tufli
👡	ayol, ayollar shippagi, kiyim, shippak, tufli
🩰	balet, balet poyafzali, raqs
👢	ayol, ayollar etigi, etik, kiyim, oyoq kiyim, tufli
👑	kiyim, qirol, qirolicha, toj
👒	ayol, ayollar shlyapasi, kiyim, shlyapa
🎩	bosh kiyim, kiyim, shlyapa, silindr shlyapa
🎓️	akademik bosh kiyim, bitiruv, bosh kiyim, kiyim, nishonlash, shlyapa
🧢	beysbolka
⛑️	bosh kiyim, dubulg‘a, oq xochli dubulg‘a, xoch, yordam, yuz
📿	din, ibodat, kiyim, marjon, tasbeh
💄	grim, kosmetika, lab bo‘yog‘i
💍	olmos, romantika, uzuk
💎	marvarid, olmos, qimmatbaho tosh, romantika, tosh
🔇	karnay, ovoz balandligi, ovozsiz, sassis, shovqinsiz, tinch
🔈️	karnay, ovoz balandligi
🔉	karnay, ovoz balandligi, ovozli, past, to‘lqin
🔊	3, baland, baland ovoz, karnay, ovoz balandligi, uch, yuqori
📢	baland, e’lon qiluvchi karnay, ommaviy
📣	megafon, olqish
📯	pochta, pochtampt, shox, shoxsimon nay
🔔	qo‘ng‘iroq, qo‘ng‘iroqcha
🔕	man etilgan, mumkin emas, ovozsiz, qo‘ng‘iroqcha, shovqinsiz, taqiqlangan, taqiqlovchi chizig‘i bor qo‘ng‘iroq, tinch, yo‘q
🎼	kalit, musiqa, musiqa kaliti
🎵	musiqa, musiqiy nota, nota
🎶	musiqa, musiqiy notalar, nota, notalar
🎙️	mikrofon, musiqa, studiya, studiya mikrofoni
🎚️	daraja, daraja slayderi, musiqa, slayder
🎛️	boshqarish, burama, musiqa, ovoz boshqarish paneli, panel
🎤	karaoke, mikrofon
🎧️	quloqlik, quloqqa tiqiladigan
📻️	radio, video
🎷	asbob, musiqa, saksafon, saksofon
🎸	asbob, gitara, musiqa
🎹	asbob, klaviatura, musiqa, musiqiy klaviatura, pianino
🎺	asbob, musiqa, truba
🎻	asbob, musiqa, skripka
🪕	banjo, musiqa, tor, torli musiqa asbobi
🥁	baraban, musiqa, tayoqchalar
📱	aloqa, mobil, mobil telefon, telefon, uyali
📲	aloqa, chiziq, mobil, mobil telefon va strelka, qabul qilish, qo‘ng‘iroq, telefon, uyali
☎️	telefon
📞	qabul qiluvchi, telefon, telefon go‘shagi
📟️	peyjer
📠	faks, faks apparati
🔋	batareya
🔌	elektr, elektr energiyasi, elektr kabel sanchqisi, sanchqi
💻️	kompyuter, noutbuk, shaxsiy
🖥️	ish stoli kompyuteri, kompyuter
🖨️	kompyuter, printer
⌨️	klaviatura, kompyuter
🖱️	3, kompyuter, kompyuter sichqonchasi, sichqoncha, tugma, uch
🖲️	kompyuter, trekbol
💽	disk, kompyuter, mini-disk, optikali
💾	disk, disketa, kompyuter
💿️	blu-ray, cd, disk, dvd, kompyuter, optik, optik disk
📀	blu-ray, cd, disk, dvd, kompyuter, optik
🧮	cho‘t, cho‘tga tashlash, hisoblash, qo‘shish
🎥	film, kamera, kino, kinokamera
🎞️	film, film kadri, kadrlar, kino
📽️	film, film proyektori, kino, proyektor, video
🎬️	film, kino, klaper, klaper taxtasi
📺️	televizor, tv, video
📷️	kamera, video
📸	chaqmoqli kamera, kamera, video
📹️	kamera, video, videokamera
📼	vhs, videokasseta, videol videokasseta
🔍	asbob, chapga qaragan lupa, kattalashtirish, qidirish, shisha
🔎	asbob, kattalashtirish, o‘ngga qaragan lupa, qidirish, shisha
🕯️	sham, yorug‘lik
💡	elektr, elektr lampa, elektr lampasi, fikr, latifa, yorug‘lik
🔦	asbob, chiroq, elektr, fonar, mash’al
🏮	bar, lampa, qizil, qizil qog‘ozli lampa, yapon, yorug‘lik
🪔	chiroq, diya, moy, moychiroq
📔	bezak, bezakli muqovali daftar, daftar, kitob, muqova
📕	kitob, yopiq, yopiq kitob
📖	kitob, ochiq, ochiq kitob
📗	kitob, yashil, yashil kitob
📘	havorang, kitob, ko‘k, ko‘k kitob
📙	kitob, to‘q sariq, to‘q sariq kitob
📚️	kitob, kitoblar
📓	noutbook
📒	daftar, ro‘yxatga olish kitobi
📃	gajakli, gajakli sahifa, hujjat, sahifa
📜	o‘ralgan xat, qog‘oz
📄	hujjat, oldiga qarab turgan sahifa, sahifa
📰	gazeta, qog‘oz, yangiliklar
🗞	gazeta, o‘ralgan, o‘ralgan gazeta, qog‘oz, yangiliklar
📑	belgi, marker, sahifalar, sahifalardagi xatcho‘p, xatcho‘p
🔖	belgi, xatcho‘p
🏷️	yorliq
💰️	dollar, pul, pul xalta, xalta
💴	bank, banknot, iyena banknotasi, pul, pul birligi, qog‘oz pul, valyuta, yen
💵	bank, banknot, dollar, dollar banknotasi, pul, pul birligi, qog‘oz pul, valyuta
💶	bank, banknot, pul, pul birligi, qog‘oz pul, valyuta, yevro, yevro banknotasi
💷	bank, banknot, funt sterling, funt sterling banknotasi, pul, pul birligi, qog‘oz pul, valyuta
💸	bank, banknot, chek, pul, qanot, qanoti bor pul dastasi, qanotlar, qog‘oz pul
💳️	bank, kartochka, kredit, kredit karta, pul
🧾	buxgalteriya, chek, cho‘t, hisob, hisobchilik
💹	bank, bozor, diagramma, grafa, ko‘tarilish, o‘sayotgan iyena diagrammasi, o‘sish, pul, tepaga, trend, valyuta, yen
💱	almashtirish, bank, pul, pul birligini almashtirish, valyuta
💲	dollar, katta dollar belgisi, pul, valyuta
✉️	e-pochta, elektron xat, konvert
📧	e-pochta, xat
📨	e-pochta, kiruvchi, kiruvchi konvert, konvert, pochta, qabul qilish, xat
📩	chiquvchi, chiziq, e-pochta, konvert, pastga, pochta, strelkali konvert, xabar, xat, yuborilgan, yuboriluvchi
📤️	chiquvchi xat qutisi, pochta, quti, xat, xat qutisi, yuborilgan
📥️	kiruvchi, kiruvchi xat qutisi, pochta, qabul qilish, quti, xat
📦️	qadoq, quti
📫️	bayroqchasi ko‘tarilgan yopiq pochta qutisi, pochta, pochta qutisi, yopiq
📪️	pastga qaragan, pastga qaragan bayroqli yopiq pochta qutisi, pochta, pochta qutisi, yopiq
📬️	ochiq, pochta, pochta qutisi, yuqoriga ko‘tarilgan bayroqli ochiq pochta qutisi
📭️	ochiq, pastga qaragan bayroqli ochiq pochta qutisi, pochta, pochta qutisi
📮	pochta, pochta qutisi
🗳️	quti, quti va saylov byulleteni, saylov qutisi
✏️	qalam
✒️	pero, qora pero, ruchka
🖋️	pero, peroli ruchka, ruchka
🖊️	ruchka, sharikli ruchka
🖌️	mo‘yqalam, rassom
🖍️	rangli qalam
📝	qalam, qayd
💼	portfel, sumka
📁	fayl, fayl jildi, jild
📂	fayl, jild, ochiq, ochiq fayl jildi
🗂️	ajratuvchi, fayllarni ajratuvchi, indeks, karta
📅	sana, taqvim
📆	taqvim, yirtiladigan taqvim
🗒️	spiral, spiralli yon daftarcha, yon daftarcha
🗓️	ilma, ilma taqvim, spiral, taqvim
📇	indeks, karta, kartoteka
📈	diagramma, grafa, o‘sish, o‘sish trendi diagrammasi, trend, yuqoriga
📉	diagramma, grafa, pasayish trendi diagrammasi, pastga, trend
📊	diagramma, grafa, ustunli, ustunli diagramma
📋️	qisqichli doska
📌	bosma mix, bosma mixcha
📍	bosma mixcha, yumaloq bosma mix
📎	qistirgich, qog‘oz qistirgich
🖇️	bog‘langan, qog‘oz qistirgich, ulangan qistirgichlar
📏	burchak, chizg‘ich, qirra, to‘g‘ri
📐	chizg‘ich, to‘plam, uchburchak, uchburchak chizg‘ich
✂️	asbob, qaychi
🗃️	fayl, fayl qutisi, karta, quti
🗄️	fayl, fayllar javoni, javon
🗑️	qog‘oz chiqitdoni
🔒️	qulflangan, yopiq
🔓️	ochiq, ochiq qulf, qulf, qulflanmagan
🔏	bo‘yoq, maxfiylik, pero, qulf, qulf va ruchka, ruchka
🔐	kalit, qulf, qulf va kalit, xavfsiz, yopiq
🔑	kalit, parol, qulf
🗝️	eski, kalit, qadimiy, qadimiy kalit, qulf
🔨	asbob, bolg‘a
🪓	bolta, boltacha, chopish, oʻtin, yogʻoch, yorish
⛏️	asbob, kon, uchli bolg‘a
⚒️	asbob, bolg‘a, bolg‘a va uchli bolg‘a
🛠️	asbob, bolg‘a, bolg‘a va gayka kaliti, gayka kaliti
🗡️	pichoq, qurol, xanjar
⚔️	kesishgan, kesishgan qilichlar, qilichlar, qurol
🔫	asbob, qurol, revolver, to‘pponcha
🏹	burj, kamon, kamon va o‘q, o‘q, o‘qchi, o‘qotar, qurol
🛡️	qalqon, qurol
🔧	asbob, gayka kaliti
🔩	asbob, gayka, gayka va murvat, murvat
⚙️	asbob, tishli g‘ildirak
🗜️	asbob, kompressor
⚖️	adolat, asbob, balans, burj, og‘irlik, palla, tarozi
🦯	hassa, koʻr, nogironlik
🔗	havol, havola
⛓️	zanjir, zanjirlar
🧰	asbob, asbob-uskuna, asbob-uskuna qutisi, jamlanma, quti, uskuna, usta
🧲	itarish, magnit, taqa, taqasimon magnit, tortish
⚗️	asbob, haydash kimyoviy shishasi, kimyo
🧪	fan, kimyo, kimyogar, laboratoriya, probirka, tajriba
🧫	bakteriya, biologiya, laboratoriya, petri idishi, tajriba
🧬	biologiya, dnk, evolyutsiya, gen, genetika, genlar, hayot
🔬	asbob, mikroskop
🔭	asbob, teleskop
📡	antenna, sun’iy yo‘ldosh, sun’iy yo‘ldoshli antenna, tarelka
💉	asbob, emlash, igna, kasal, shifokor, shprits, tibbiyot, ukol
🩸	hayz, menstruatsiya, qon tomchisi, qon topshirish, tibbiyot
💊	bemor, doktor, hapdori, kasal, shifokor, tibbiyot
🩹	bandaj, plastir
🩺	doktor, shifokor, stetoskop, tibbiyot, yurak
🚪	eshik
🛏️	karavot, mehmonxona, uxlash, uyqu
🛋️	chiroq, divan, divan va lampa, lampa, mehmonxona
🪑	kursi, oʻtirish, stul
🚽	hojatxona, tualet
🚿	dush, suv
🛁	vanna
🪒	oʻtkir, soqol olish, tigʻ, ustara
🧴	balzam, dush geli, konditsioner, losyon, losyon shishasi, namlagich, shampun
🧷	igna-tugma, ildirish, qadash, to‘g‘nag‘ich
🧹	supurgi, supurish, tozalash, yalmog‘iz
🧺	kir, meva, rezavor, savat, sayr, yuvish
🧻	hojatxona qog‘ozi, o‘ram, qog‘oz, qog‘oz o‘rami, qog‘oz sochiq
🧼	ko‘pik, sovun, sovun bo‘lagi, sovun ko‘pigi, yuvinish, yuvish
🧽	gubka, idish, shimish, tozalash, yuvgich, yuvish
🧯	olov, o‘to‘chirgich, yong‘in, yong‘inni o‘chirish
🛒	aravacha, xarid, xarid savatchasi
🚬	chekish
⚰️	o‘lim, tobut
⚱️	dafn, dafn ko‘zasi, ko‘za, o‘lim
🗿	haykal, moai, moyai, yuz
🏧	atm, bank, bankomat
🚮	axlat, axlat qutisi, axlatni o‘z joyiga tashlash
🚰	ichimlik suvi, ichish, ichishga yaroqli, suv
♿️	maxsus imkoniyat, nogironlar aravachasi
🚹️	erkak, erkaklar xonasi, hojatxona
🚺️	ayol, ayollar xonasi, hojatxona
🚻	hojatxona, pardoz-andoz xonasi
🚼️	chaqaloq, chaqaloq belgisi
🚾	hojatxona, suv
🛂	nazorat, pasport, pasport nazorati
🛃	bojxona
🛄	da’vo, yuk, yuklarni olish joyi
🛅	bagaj, saqlash xonasi, saqlash xonasida qoldirilgan yuk, yuk
⚠️	ogohlantirish
🚸	bolalar, bolalar o‘tish joyi, o‘tish joyi, tirbandlik, yo‘l
⛔️	kirish, kirish mumkin emas, man qilingan, mumkin emas, taqiqlangan, yo‘l, yo‘q
🚫	kirish, man qilingan, mumkin emas, taqiqlangan, to‘xtab turish taqiqlanadi, yo‘l, yo‘q
🚳	mumkin emas, taqiqlangan, transport, velosiped, velosipedlar harakatlanishi taqiqlanadi
🚭️	chekish, chekish taqiqlanadi, mumkin emas, taqiqlangan
🚯	axlat qutisi, axlat tashlash taqiqlanadi, mumkin emas, taqiqlangan
🚱	ichib bo‘lmaydigan suv, ichish, ichishga yaroqli, mumkin emas, suv, taqiqlangan, yo‘q
🚷	mumkin emas, piyodalar mumkin emas, taqiqlangan
📵	aloqa, man qilingan, mobil, mumkin emas, taqiqlangan, telefon, telefon mumkin emas, uyali, yo‘q
🔞	18, 18 yoshdan kichiklarga taqiqlangan, man, mumkin emas, o‘n sakkiz, taqiqlangan, yosh cheklovi, yo‘q
☢️	belgi, radioaktiv
☣️	belgi, biologik xavf
⬆️	chiziq, shimol, yo‘nalish, yuqoriga yo‘nalish
↗️	chiziq, o‘ng-yuqoriga yo‘nalish, shimoli sharq, yo‘nalish
➡️	chiziq, o‘ngga yo‘nalish, sharq, yo‘nalish
↘️	chiziq, janubi sharq, o‘ng-pastga yo‘nalish, yo‘nalish
⬇️	chiziq, janub, pastga, pastga yo‘nalish, yo‘nalish
↙️	chiziq, janubi g‘arb, past-chapga yo‘nalish, yo‘nalish
⬅️	chapga yo‘nalish, chiziq, g‘arb, yo‘nalish
↖️	chap yuqoriga yo‘nalish, chiziq, shimoli g‘arb, yo‘nalish
↕️	chiziq, tepa-pastga yo‘nalish
↔️	chapga-o‘ngga yo‘nalish, chiziq
↩️	chiziq, o‘ngdan chapga qayrilish
↪️	chapdan o‘ngga qayrilish, chiziq
⤴️	chiziq, o‘ngdan yuqoriga qayrilish
⤵️	chiziq, o‘ngdan pastga qayrilish, pastga
🔃	chiziq, qayta yuklash, soat millari bo‘yicha
🔄	chiziq, soat millariga qarshi, soat millariga qarshi yo‘nalish
🔙	chiziq, orqaga, orqaga yo‘nalish
🔚	berk, berk chizig‘i, chiziq
🔛	belgi, chiziq, efirda, efirda chizig‘i
🔜	chiziq, tez orada chizig‘i, tezda
🔝	chiziq, tepaga, tepaga chizig‘i, yuqoriga
🛐	din, ibodatxona
⚛️	ateist, atom, atom belgisi
🕉️	din, hind, om
✡️	din, dovud, dovud yulduzi, ibroniy, yahudiy, yulduz
☸️	budda, buddist, dharma g‘ildiragi, din, g‘ildirak
☯️	din, tao, taoist, yang, yin, yin yang
✝️	din, lotin xoch, nasroniylik, xoch
☦️	din, nasroniylik, pravoslav xoch, xoch
☪️	din, islom, muslim, yulduz va yarim oy
☮️	tinchlik, tinchlik ramzi
🕎	din, yadaim
🔯	nuqtali olti qirrali yulduz, taqdir, yulduz
♈️	burj, qo‘y, qo‘y burji
♉️	burj, buzoq, buzoq burji
♊️	burj, egizaklar, egizaklar burji
♋️	burj, qisqichbaqa, qisqichbaqa burji
♌️	arslon burji, asrlon, burj
♍️	burj, parizod, parizod burji
♎️	adolat, burj, tarozi, tarozi burji
♏️	burj, chayon, chayon burji
♐️	burj, o‘qotar, o‘qotar burji
♑️	burj, echki, tog‘ echkisi burji
♒️	burj, qovg‘a, qovg‘a burji
♓️	baliq, baliq burji, burj
⛎	burj, ilon, ilon tashuvchi
🔀	chiziq, kesishgan, tasodifiy tartibda belgisi
🔁	chiziq, soat mili bo‘yicha, takror, takrorlash tugmasi
🔂	bir marta, bittasini takrorlash tugmasi, chiziq, soat mili bo‘yicha, takror
▶	chiziq, ijro, ijro tugmasi, o‘ng, uchburchak
⏩	chiziq, ikki marta, oldinga, oldinga o‘tkazish tugmasi, tez
⏭	chiziq, keyingi qo‘shiq, keyingi qo‘shiq tugmasi, keyingi sahna, uchburchak
⏯	chiziq, ijro, ijro yoki pauza tugmasi, o‘ng, pauza, uchburchak
◀	chap, chiziq, orqaga, orqaga o‘tkazish tugmasi, uchburchak
⏪	chiziq, ikkita, orqaga aylantirish, tez orqaga o‘tkazish tugmasi
⏮	chiziq, oldingi qo‘shiq, oldingi qo‘shiq tugmasi, oldingi sahna, uchburchak
🔼	chiziq, qizil, tugma, yuqoriga tugmasi
⏫	chiziq, ikkita, tez yuqoriga tugmasi
🔽	chiziq, pastga, pastga tugmasi, qizil, tugma
⏬	chiziq, ikkita, pastga, tez pastga tugmasi
⏸️	ikkita, pauza, pauza tugmasi, tik, ustun
⏹️	kvadrat, to‘xtatish, to‘xtatish tugmasi
⏺️	aylana, doira, ovoz yozish tugmasi, yozish
⏏️	chiqarish, chiqarish tugmasi
🎦	film, kamera, kino, kinoteatr
🔅	past, xira, xiralik tugmasi, yorqinlik
🔆	yorqinlik, yorqinlik tugmasi, yorug‘
📶	aloqa, antenna, antenna ko‘rsatkichlari, mobil, signal, telefon, ustun
📳	aloqa, mobil, rejim, tebranish, tebranish rejimi, telefon, uyali
📴	aloqa, mobil, o‘chiq, telefon, telefon o‘chiq beligisi
♀️	ayol, ayol belgisi
♂️	erkak, erkak belgisi
⚕️	eskulap, tibbiy ramz, tibbiyot, xodimlar
♾️	abadiy, cheksizilik, cheksizlik, cheksizlik belgisi, doimiy, muntazam
♻️	qayta ishlash, qayta ishlash belgisi
⚜	gulsapsar
🔱	asbob, emblema, kema, langar, uch shoxli nayza
📛	ism, ism yoziladigan nishon, nishon
🔰	asbob, barg, boshlovchi, boshlovchi darajasini bildiruvchi yaponcha belgi, sariq, yaponcha, yashil
⭕️	aylana, chambarak, ichi boʻsh qizil doira, katta, o, qizil
✅	belgi, belgilash, belgilash tugmasi belgisi, tugma, ✓
☑️	belgilangan belgilash maydonchasi, belgilash, maydoncha, ✓
✔️	belgi, belgilash, belgilash belgisi, ✓
✖️	bekor qilish, belgi, koʻpaytirish, koʻpaytirish belgisi, koʻpaytiruv, x, ×
❌	bekor qilish, belgi, koʻpaytirish, koʻpaytiruv, krest, krest belgisi, x, ×
❎	belgi, krest belgili tugma, toʻrtburchak, x, ×
➕	+, belgi, matematika, plus, plyus, qoʻshish belgisi
➖	-, ayirish belgisi, belgi, manfiy, matematika, minus, −
➗	belgi, boʻlish, boʻlish belgisi, matematika, ÷
➰	davr, jingalak, jingalak halqa, takror
➿	davr, ikki marta, jingalak, qo‘sh jingalak halqa, takror
〽️	belgi, ovoz almashinuvi belgisi, qism
✳️	*, sakkiz qirrali yulduz, sakkiz qirrali yulduzcha, yulduzcha
✴️	*, sakkiz burchakli yulduz, yulduz
❇️	*, uchqun
‼️	!, !!, belgi, juft undov belgisi, paq-puq, undov
⁉️	!, !?, ?, belgi, savol, tinish belgisi, undov, undov soʻroq belgisi
❓️	?, belgi, savol, soʻroq belgisi, tinish belgisi
❔	?, belgi, belgilangan, oq soʻroq belgisi, savol, tinish belgisi
❕	!, belgi, belgilangan, oq undov belgisi, tinish belgisi, undov
❗️	!, belgi, tinish belgisi, undov, undov belgisi
〰️	defis, tinish, to‘lqinli, to‘lqinli chiziq
©️	c, mualliflik huquqi
®️	qayd qilingan, r
™️	belgi, savdo belgisi, tm
#⃣	tugma qalpog‘i, tugma qalpog‘i: #
*⃣	tugma qalpog‘i, tugma qalpog‘i: *
0⃣	tugma qalpog‘i, tugma qalpog‘i: 0
1⃣	tugma qalpog‘i, tugma qalpog‘i: 1
2⃣	tugma qalpog‘i, tugma qalpog‘i: 2
3⃣	tugma qalpog‘i, tugma qalpog‘i: 3
4⃣	tugma qalpog‘i, tugma qalpog‘i: 4
5⃣	tugma qalpog‘i, tugma qalpog‘i: 5
6⃣	tugma qalpog‘i, tugma qalpog‘i: 6
7⃣	tugma qalpog‘i, tugma qalpog‘i: 7
8⃣	tugma qalpog‘i, tugma qalpog‘i: 8
9⃣	tugma qalpog‘i, tugma qalpog‘i: 9
🔟	tugma qalpog‘i, tugma qalpog‘i: 10
🔠	bosh, harflar, katta lotin harflarini kiritish, kiritish, lotin
🔡	abcd, harflar, kichik, kichik lotin harflarini kiritish, kiritish, lotin
🔢	1234, raqam kiritish, raqamlar, sonlar
🔣	belgi kiritish, kiritish
🔤	abc, alifbo, harflar, lotin, lotin harflarini kiritish, matn
🅰️	a, a tugmasi, qon
🆎	ab, ab tugmasi, qon
🅱️	b, b tugmasi, qon
🆑	cl, kvadrat ichidagi cl harflari
🆒	kvadrat ichidagi salqinlik, gap yo‘q so‘zi, salqinlik, zo‘r
🆓	bepul, kvadrat ichidagi bo‘sh, tekin so‘zi
ℹ️	axborot, axborot manbasi, ma’lumot
🆔	id, kvadrat ichidagi id harflari
Ⓜ️	aylana, aylana ichidagi m harfi, m
🆕	kvadrat ichidagi yangi so‘zi, yangi
🆖	kvadrat ichidagi ng harflari, ng
🅾️	o, o tugmasi, qon
🆗	kvadrat ichidagi ok tugmasi, ok
🅿️	avtoto‘xtash, p tugmasi
🆘	kvadrat ichidagi sos so‘zi, sos, yordam
🆙	belgi, tepaga, tepaga tugmasi
🆚	kvadrat ichidagi raqib sifatida so‘zi, qarshi, raqib
🈁	kvadrat ichidagi katakanadagi koko so‘zi, yaponcha
🈂️	kvadrat ichidagi katakana sa morasi, yaponcha
🈷	kvadrat ichidagi oy iyeroglifi, yaponcha
🈶	kvadrat ichidagi mavjudlik iyeroglifi, yaponcha
🈯	kvadrat ichidagi barmoq iyeroglifi, yaponcha
🉐	aylana ichidagi afzallik iyeroglifi, yaponcha
🈹	kvadrat ichidagi bo‘lish iyeroglifi, yaponcha
🈚	kvadrat ichidagi inkor iyeroglifi, yaponcha
🈲	kvadrat ichidagi taqiqlash iyeroglifi, yaponcha
🉑	aylana ichidagi qabul qilish iyeroglifi, xitoycha
🈸	kvadrat ichidagi tatbiq qilish iyeroglifi, xitoycha
🈴	kvadrat ichidagi birgalik iyeroglifi, xitoycha
🈳	kvadrat ichidagi bo‘shliq iyeroglifi, xitoycha
㊗️	aylana ichidagi bayram iyeroglifi, iyeroglif, qutlash, tabrik, tabriklash, xitoycha
㊙️	aylana ichida iyeroglif yozuvidagi maxfiy belgisi, iyeroglif, maxfiy, sir, xitoycha
