😀	arc, nevetés, nevető arc
🧰	barkácsolás, láda, szerszám, szerszámosláda
🧲	mágnes, mágneses, patkó, vonzódás
⚗️	eszköz, felszerelés, kémia, lombik
🧪	kémcső, kémia, kísérlet, labor, tudomány, vegyészet
🧫	Petri-csésze, baktérium, biológia, biológus, labor, tenyészet
🧬	DNS, biológia, fejlődés, genetika, gének, élet
🔬	eszköz, felszerelés, mikroszkóp
🔭	eszköz, felszerelés, távcső
📡	antenna, műhold, parabolaantenna, tányér
💉	eszköz, fecskendő, injekciós tű, orvos, vérvétel
🩸	gyógyszer, menstruáció, véradás, vércsepp
💊	betegség, doktor, gyógyszer, orvos, pirula, tabletta
🩹	kötszer, ragtapasz
🩺	gyógyszer, orvos, sztetoszkóp, szív
🚪	ajtó
🛏️	alvás, szálloda, ágy
🛋️	kanapé, kanapé és lámpa, lámpa, szálloda
🪑	szék, ül, ülés
🚽	mosdó, toalett, vécé
🚿	víz, vízsugár, zuhanyzó
🛁	fürdés, fürdőkád
🪒	borotva, borotvál, éles
🧴	hidratáló, krém, krémes flakon, napvédő krém, sampon
🧷	biztosítótű, pelenka, punk rock
🧹	boszorkány, seprés, seprű, tisztítás
🧺	gazdálkodás, kosár, piknik, szennyes
🧻	WC-papír, papírtekercs, papírtörölköző
🧼	darab, fürdés, szappan, szappanhab, szappantartó, tisztálkodás
🧽	nedvszívó, porózus, szivacs, tisztítás
🧯	elfojt, elolt, tűz, tűzoltó készülék
🛒	bevásárló, bevásárlókocsi, kocsi, shopping, vásárlás
🚬	cigaretta, dohányzás
⚰️	halál, koporsó
⚱️	halotti urna, halál, temetés, urna
🗿	arc, japán, moai, szobor
🏧	ATM-jel, atm, bankautomata
🚮	környezettudatosság, szemetes, szemét, szemét a kukában szimbólum
🚰	fogyasztható víz, iható, ivóvíz
♿️	akadálymentesség, kerekesszék
🚹️	WC, férfiak, férfimosdó, mosdó, vécé
🚺️	WC, mosdó, női mosdó, nők, vécé
🚻	mosdó, toalett, vécé
🚼️	baba szimbólum, kisbaba, pelenkázó
🚾	WC, mellékhelyiség, mosdó, toalett, vécé
🛂	ellenőrzés, útlevél, útlevél-ellenőrzés
🛃	ellenőrzés, vám
🛄	felvétel, poggyász, poggyászfelvétel
🛅	csomag, csomagmegőrző, megőrzés, poggyász
⚠️	figyelem, figyelmeztetés
🚸	gyalogosok, gyermekek, átkelő gyermekek
⛔️	behajtani tilos, behajtás, közlekedési tábla, nincs behajtás, tilos, tiltott
🚫	behajtás, nincs behajtás, tilos, tiltott
🚳	bicikli, kerékpár, kerékpározni tilos, tilos, tiltott
🚭️	cigaretta, dohányozni tilos, dohányzás, tilos, tiltott
🚯	szemetelni tilos, szemetelés, szemét, tilos, tiltott
🚱	ivás, ivóvíz, nem, nem ivóvíz, tilos, tiltott
🚷	gyalog, gyalogos, nem gyalogos zóna, tilos, tiltott
📵	mobil, mobiltelefon, mobiltelefon használata tilos, telefon, tilos, tiltott
🔞	18 év alatt tilos, 18-as karika, korhatár, tilos, tiltott, tiltás, tizennyolc
☢️	jel, nukleáris veszély, radioaktív
☣️	biológiai veszély, jel
⬆️	felfelé, felfelé mutató nyíl, irány, nyíl, észak
↗️	felfelé, irány, jobbra felfelé mutató nyíl, nyíl, északkelet
➡️	irány, jobbra, jobbra mutató nyíl, kelet, nyíl
↘️	délkelet, irány, jobbra lefelé mutató nyíl, nyíl
⬇️	dél, irány, lefelé, lefelé mutató nyíl, nyíl
↙️	balra lefelé mutató nyíl, délnyugat, irány, nyíl
⬅️	balra, balra mutató nyíl, irány, nyugat, nyíl
↖️	balra felfelé mutató nyíl, irány, nyíl, északnyugat
↕️	fel-le mutató nyíl, nyíl
↔️	balra-jobbra mutató nyíl, nyíl
↩️	balra görbülő jobb nyíl, nyíl
↪️	jobbra görbülő bal nyíl, nyíl
⤴️	felfelé görbülő jobb nyíl, nyíl
⤵️	lefelé, lefelé görbülő jobb nyíl, nyíl
🔃	nyíl, óramutató járásával megegyező, óramutató járásával megegyező irányú függőleges nyilak, újratöltés
🔄	nyíl, óramutató járásával ellentétes, óramutató járásával ellentétes irányú nyilak gombja
🔙	nyíl, vissza nyíl, visszafelé
🔚	nyíl, vége, vége nyíl
🔛	bekapcsolva, bekapcsolva nyíl, jelzés, nyíl
🔜	hamarosan, hamarosan nyíl, jön, nyíl
🔝	csúcsra nyíl, felfelé, nyíl, top
🛐	ima, imahely, vallás
⚛️	ateista, atom, atom szimbólum
🕉️	hindu, om, vallás
✡️	Dávid, Dávid-csillag, csillag, vallás, zsidó
☸️	buddha, buddhizmus, dharma-kerék, kerék, vallás
☯️	jang, jin, jin-jang, tao, taoizmus, vallás
✝️	kereszt, kereszténység, latin kereszt, vallás
☦️	kereszt, kereszténység, ortodox kereszt, vallás
☪️	csillag és félhold, iszlám, muszlim, vallás
☮️	béke, békejel
🕎	gyertyatartó, menóra, vallás
🔯	csillag, hatágú csillag ponttal, szerencse
♈️	horoszkóp, kos, kos csillagjegy
♉️	bika, bika csillagjegy, horoszkóp
♊️	horoszkóp, ikrek, ikrek csillagjegy
♋️	horoszkóp, rák, rák csillagjegy
♌️	horoszkóp, oroszlán, oroszlán csillagjegy
♍️	horoszkóp, szűz, szűz csillagjegy
♎️	horoszkóp, mérleg, mérleg csillagjegy
♏️	horoszkóp, skorpió, skorpió csillagjegy
♐️	horoszkóp, nyilas, nyilas csillagjegy
♑️	bak, bak csillagjegy, horoszkóp
♒️	horoszkóp, vízöntő, vízöntő csillagjegy
♓️	halak, halak csillagjegy, horoszkóp
⛎	csillagjegy, horoszkóp, kígyótartó
🔀	egymást keresztező nyilak, véletlenszerű lejátszás gomb
🔁	ismétlés, ismétlés gomb, nyilak
🔂	egy szám ismétlése gomb, ismétlés egyszer, nyilak
▶	jobbra nyíl, lejátszás, lejátszás gomb, nyíl
⏩	dupla nyíl, előre, előretekerés gomb, gyors tekerés
⏭	következő jelenet, következő szám, következő szám gomb
⏯	lejátszás, lejátszás vagy szünet gomb, szüneteltetés
◀	balra nyíl, vissza, visszajátszás gomb
⏪	dupla nyíl, gyors tekerés, vissza, visszatekerés gomb
⏮	előző jelenet, előző szám, legutóbbi szám gomb, nyíl
🔼	felfelé gomb, gomb, nyíl, piros
⏫	dupla, gomb, gyors felfelé gomb, nyíl
🔽	gomb, lefelé, lefelé gomb, nyíl, piros
⏬	gomb, gyors lefelé gomb, lefelé, nyíl, piros
⏸️	dupla vonal, függőleges, gomb, szünet, szüneteltetés gomb
⏹️	gomb, leállítás, leállítás gomb, négyzet
⏺️	felvétel, felvétel gomb, gomb, kör
⏏️	gomb, kiadás, lemez kiadása gomb
🎦	film, kamera, mozi
🔅	fényerő, sötétítés, sötétítés gomb
🔆	fényerő, világosítás, világosítás gomb
📶	antenna, antennasávok, mobil, mobiltelefon, térerő
📳	mobil, mobiltelefon, rezgés, rezgő mód, rádiótelefon, telefon, tiltott
📴	kikapcsolva, mobil, mobiltelefon, mobiltelefon kikapcsolva, rádiótelefon, telefon, tiltott
♀️	nem, női, női nem jelképe
♂️	férfi, férfi nem jelképe, nem
⚕️	Aszklépiosz, bot, orvos, orvosi szimbólum, orvoslás
♾️	korlátlan, univerzális, végtelen, örökké
♻️	újra, újrahasznosítás, újrahasznosítás szimbólum
⚜	Anjou, Anjou-liliom, liliom
🔱	embléma, hajó, háromágú szigony, jel, szigony, vasmacska
📛	jelvény, kitűző, név
🔰	a kezdő japán szimbóluma, japán, kezdő, levél, sárga
⭕️	kör, nagy, vastag kör, o
✅	jel, pipa, vastag fehér pipa
☑️	jelölőnégyzet pipával, négyzet, pipa, szavazás
✔️	jel, pipa, vastag pipa
✖️	jel, mégse, szorzás, vastag szorzásjel, x
❌	jel, mégse, szorzás, x, áthúzásjel
❎	jel, négyzet, áthúzásjel gomb
➕	matematika, plusz, vastag pluszjel
➖	matematika, mínusz, vastag mínuszjel
➗	matematika, osztás, vastag osztásjel
➰	hurok
➿	dupla, dupla hurok, hurok
〽️	jel, részelválasztó, választó
✳️	csillag, nyolcágú csillag
✴️	csillag, nyolcas csillag
❇️	szikra
‼️	dupla felkiáltójel, felkiáltás, központozás, írásjel
⁉️	felkiáltás, felkiáltójel kérdőjellel, kérdés, központozás, írásjel
❓️	kérdés, kérdőjel, központozás, írásjel
❔	fehér, fehér kérdőjel, kérdés, központozás, írásjel
❕	fehér, fehér felkiáltójel, felkiáltás, központozás, írásjel
❗️	felkiáltás, felkiáltójel, központozás, írásjel
〰️	gondolatjel, hullámos, hullámos gondolatjel, központozás
©️	copyright (szerzői jog által védett), szerzői jog, védett
®️	bejegyzett, registered (bejegyzett), védjegy
™️	tm, védjegy
#⃣	gombfej, gombfej: #
*⃣	gombfej, gombfej: *
0⃣	gombfej, gombfej: 0
1⃣	gombfej, gombfej: 1
2⃣	gombfej, gombfej: 2
3⃣	gombfej, gombfej: 3
4⃣	gombfej, gombfej: 4
5⃣	gombfej, gombfej: 5
6⃣	gombfej, gombfej: 6
7⃣	gombfej, gombfej: 7
8⃣	gombfej, gombfej: 8
9⃣	gombfej, gombfej: 9
🔟	gombfej, gombfej: 10
🔠	abcd, betűk, bevitel, latin, latin nagybetűs bevitel, nagybetűs
🔡	abcd, betűk, bevitel, kisbetűs, latin, latin kisbetűs bevitel
🔢	1234, bevitel, számbevitel, számok
🔣	bevitel, szimbólumok bevitele
🔤	abc, betűk, bevitel, latin, latin betűk bevitele
🅰️	A gomb (vércsoport), a, vércsoport
🆎	AB gomb (vércsoport), ab, vércsoport
🅱️	B gomb (vércsoport), b, vércsoport
🆑	CL gomb, cl
🆒	COOL gomb, cool
🆓	FREE gomb, free
ℹ️	i, információ, információforrás, tájékoztatás
🆔	ID gomb, id, identitás
Ⓜ️	bekarikázott M betű, kör, m
🆕	NEW gomb, new
🆖	NG gomb, ng
🅾️	0, 0 gomb (vércsoport), vércsoport
🆗	OK, OK gomb
🅿️	P gomb, parkolás
🆘	SOS gomb, segítség, sos
🆙	UP! gomb, jel, up
🆚	VS gomb, ellen, versus, vs
🈁	japán, japán „itt” gomb, katakana, „itt”, ココ
🈂️	japán, japán „szervizdíj” gomb, katakana, „szervizdíj”, サ
🈷	japán, japán „havi összeg” gomb, képírásjel, „havi összeg”, 月
🈶	japán, japán „nem ingyenes” gomb, képírásjel, „nem ingyenes”, 有
🈯	japán, japán „foglalt” gomb, képírásjel, „foglalt”, 指
🉐	japán, japán „alkalmi vétel” gomb, képírásjel, „alkalmi vétel”, 得
🈹	japán, japán „engedmény” gomb, képírásjel, „engedmény”, 割
🈚	japán, japán „ingyenes” gomb, képírásjel, „ingyenes”, 無
🈲	japán, japán „tiltott” gomb, képírásjel, „tiltott”, 禁
🉑	japán, japán „elfogadás” gomb, képírásjel, „elfogadás”, 可
🈸	japán, japán „alkalmazás” gomb, képírásjel, „alkalmazás”, 申
🈴	japán, japán „minimális pontszám” gomb, képírásjel, „minimális pontszám”, 合
🈳	japán, japán „megüresedés” gomb, képírásjel, „megüresedés”, 空
㊗️	japán, japán „gratuláció” gomb, képírásjel, „gratuláció”, 祝
㊙️	japán, japán „titok” gomb, képírásjel, „titok”, 秘
🈺	japán, japán „működik” gomb, képírásjel, „működik”, 営
🈵	japán, japán „megtelt” gomb, képírásjel, „megtelt”, 満
🔴	alakzat, kör, piros, piros kör
🟠	kör, narancssárga, narancssárga kör
🟡	kör, sárga, sárga kör
🟢	kör, zöld, zöld kör
🔵	alakzat, kék, kék kör, kör
🟣	kör, lila, lila kör
🟤	barna, barna kör, kör
⚫️	alakzat, fekete kör, kör
⚪️	alakzat, fehér kör, kör
🟥	négyzet, vörös, vörös négyzet
🟧	narancssárga, narancssárga négyzet, négyzet
🟨	négyzet, sárga, sárga négyzet
🟩	négyzet, zöld, zöld négyzet
🟦	kék, kék négyzet, négyzet
🟪	lila, lila négyzet, négyzet
🟫	barna, barna négyzet, négyzet
⬛️	geometria, nagy fekete négyzet, négyzet
⬜️	geometria, nagy fehér négyzet, négyzet
◼️	geometria, közepes fekete négyzet, négyzet
◻️	geometria, közepes fehér négyzet, négyzet
◾️	geometria, kis-közepes fekete négyzet, négyzet
◽️	geometria, kis-közepes fehér négyzet, négyzet
▪️	geometria, kis fekete négyzet, négyzet
▫️	geometria, kis fehér négyzet, négyzet
🔶	geometria, nagy narancssárga rombusz, narancs, rombusz
🔷	geometria, kék, nagy kék rombusz, rombusz
🔸	geometria, kis narancssárga rombusz, narancs, rombusz
🔹	geometria, kis kék rombusz, kék, rombusz
🔺	alakzat, felfelé, fölfelé mutató piros háromszög, piros
🔻	alakzat, lefelé, lefelé mutató piros háromszög, piros
💠	alakzat, képregény, rombusz, rombusz ponttal
🔘	gomb, rádiógomb, választó, választógomb
🔳	bekeretezett, fehér, négyzet alakú gomb, gomb, négyzet
🔲	fekete, négyzet alakú gomb, gomb, négyzet
🏁	autóverseny, kockás, kockás zászló, versenyzés
🚩	háromszög alakú zászló, posta
🎌	japán, keresztbe tett, keresztbe tett zászlók, zászlók, ünnep, ünnepi hangulat, ünneplés
🏴	lengő, lengő fekete zászló
🏳️	lengő, lengő fehér zászló
🏳‍🌈	szivárvány, szivárványszínű, szivárványszínű zászló, zászló
🏴‍☠	Jolly Roger, fosztogató, kalóz, kalózzászló, kincs
🇦🇨	zászló, zászló: Ascension-sziget
🇦🇩	zászló, zászló: Andorra
🇦🇪	zászló, zászló: Egyesült Arab Emírségek
🇦🇫	zászló, zászló: Afganisztán
🇦🇬	zászló, zászló: Antigua és Barbuda
🇦🇮	zászló, zászló: Anguilla
🇦🇱	zászló, zászló: Albánia
🇦🇲	zászló, zászló: Örményország
🇦🇴	zászló, zászló: Angola
🇦🇶	zászló, zászló: Antarktisz
🇦🇷	zászló, zászló: Argentína
🇦🇸	zászló, zászló: Amerikai Szamoa
🇦🇹	zászló, zászló: Ausztria
🇦🇺	zászló, zászló: Ausztrália
🇦🇼	zászló, zászló: Aruba
🇦🇽	zászló, zászló: Åland-szigetek
🇦🇿	zászló, zászló: Azerbajdzsán
🇧🇦	zászló, zászló: Bosznia-Hercegovina
🇧🇧	zászló, zászló: Barbados
🇧🇩	zászló, zászló: Banglades
🇧🇪	zászló, zászló: Belgium
🇧🇫	zászló, zászló: Burkina Faso
🇧🇬	zászló, zászló: Bulgária
🇧🇭	zászló, zászló: Bahrein
🇧🇮	zászló, zászló: Burundi
🇧🇯	zászló, zászló: Benin
🇧🇱	zászló, zászló: Saint-Barthélemy
🇧🇲	zászló, zászló: Bermuda
🇧🇳	zászló, zászló: Brunei
🇧🇴	zászló, zászló: Bolívia
🇧🇶	zászló, zászló: Holland Karib-térség
🇧🇷	zászló, zászló: Brazília
🇧🇸	zászló, zászló: Bahama-szigetek
🇧🇹	zászló, zászló: Bhután
🇧🇻	zászló, zászló: Bouvet-sziget
🇧🇼	zászló, zászló: Botswana
🇧🇾	zászló, zászló: Belarusz
🇧🇿	zászló, zászló: Belize
🇨🇦	zászló, zászló: Kanada
🇨🇨	zászló, zászló: Kókusz (Keeling)-szigetek
🇨🇩	zászló, zászló: Kongó - Kinshasa
🇨🇫	zászló, zászló: Közép-afrikai Köztársaság
🇨🇬	zászló, zászló: Kongó - Brazzaville
🇨🇭	zászló, zászló: Svájc
🇨🇮	zászló, zászló: Elefántcsontpart
🇨🇰	zászló, zászló: Cook-szigetek
🇨🇱	zászló, zászló: Chile
🇨🇲	zászló, zászló: Kamerun
🇨🇳	zászló, zászló: Kína
🇨🇴	zászló, zászló: Kolumbia
🇨🇵	zászló, zászló: Clipperton-sziget
🇨🇷	zászló, zászló: Costa Rica
🇨🇺	zászló, zászló: Kuba
🇨🇻	zászló, zászló: Zöld-foki Köztársaság
🇨🇼	zászló, zászló: Curaçao
🇨🇽	zászló, zászló: Karácsony-sziget
🇨🇾	zászló, zászló: Ciprus
🇨🇿	zászló, zászló: Csehország
🇩🇪	zászló, zászló: Németország
🇩🇬	zászló, zászló: Diego Garcia
🇩🇯	zászló, zászló: Dzsibuti
🇩🇰	zászló, zászló: Dánia
🇩🇲	zászló, zászló: Dominika
🇩🇴	zászló, zászló: Dominikai Köztársaság
🇩🇿	zászló, zászló: Algéria
🇪🇦	zászló, zászló: Ceuta és Melilla
🇪🇨	zászló, zászló: Ecuador
🇪🇪	zászló, zászló: Észtország
🇪🇬	zászló, zászló: Egyiptom
🇪🇭	zászló, zászló: Nyugat-Szahara
🇪🇷	zászló, zászló: Eritrea
🇪🇸	zászló, zászló: Spanyolország
🇪🇹	zászló, zászló: Etiópia
🇪🇺	zászló, zászló: Európai Unió
🇫🇮	zászló, zászló: Finnország
🇫🇯	zászló, zászló: Fidzsi
🇫🇰	zászló, zászló: Falkland-szigetek
🇫🇲	zászló, zászló: Mikronézia
🇫🇴	zászló, zászló: Feröer szigetek
🇫🇷	zászló, zászló: Franciaország
🇬🇦	zászló, zászló: Gabon
🇬🇧	zászló, zászló: Egyesült Királyság
🇬🇩	zászló, zászló: Grenada
🇬🇪	zászló, zászló: Grúzia
🇬🇫	zászló, zászló: Francia Guyana
🇬🇬	zászló, zászló: Guernsey
🇬🇭	zászló, zászló: Ghána
🇬🇮	zászló, zászló: Gibraltár
🇬🇱	zászló, zászló: Grönland
🇬🇲	zászló, zászló: Gambia
🇬🇳	zászló, zászló: Guinea
🇬🇵	zászló, zászló: Guadeloupe
🇬🇶	zászló, zászló: Egyenlítői-Guinea
🇬🇷	zászló, zászló: Görögország
🇬🇸	zászló, zászló: Déli-Georgia és Déli-Sandwich-szigetek
🇬🇹	zászló, zászló: Guatemala
🇬🇺	zászló, zászló: Guam
🇬🇼	zászló, zászló: Bissau-Guinea
🇬🇾	zászló, zászló: Guyana
🇭🇰	zászló, zászló: Hongkong KKT
🇭🇲	zászló, zászló: Heard-sziget és McDonald-szigetek
🇭🇳	zászló, zászló: Honduras
🇭🇷	zászló, zászló: Horvátország
🇭🇹	zászló, zászló: Haiti
🇭🇺	zászló, zászló: Magyarország
🇮🇨	zászló, zászló: Kanári-szigetek
🇮🇩	zászló, zászló: Indonézia
🇮🇪	zászló, zászló: Írország
🇮🇱	zászló, zászló: Izrael
🇮🇲	zászló, zászló: Man-sziget
🇮🇳	zászló, zászló: India
🇮🇴	zászló, zászló: Brit Indiai-óceáni Terület
🇮🇶	zászló, zászló: Irak
🇮🇷	zászló, zászló: Irán
🇮🇸	zászló, zászló: Izland
🇮🇹	zászló, zászló: Olaszország
🇯🇪	zászló, zászló: Jersey
🇯🇲	zászló, zászló: Jamaica
🇯🇴	zászló, zászló: Jordánia
🇯🇵	zászló, zászló: Japán
🇰🇪	zászló, zászló: Kenya
🇰🇬	zászló, zászló: Kirgizisztán
🇰🇭	zászló, zászló: Kambodzsa
🇰🇮	zászló, zászló: Kiribati
🇰🇲	zászló, zászló: Comore-szigetek
🇰🇳	zászló, zászló: Saint Kitts és Nevis
🇰🇵	zászló, zászló: Észak-Korea
