😀	išsišiepti, išsišiepęs veidas, veidas
💾	diskas, diskelis, kompiuteris
💿️	CD, diskas, kompaktinis diskas, kompiuteris, optinis, optinis diskas
📀	Blu-Ray, diskas, kompaktinis diskas, kompiuteris, optinis, skaitmeninis vaizdo diskas
🧮	skaitytuvai, skaičiavimas
🎥	filmas, filmavimo kamera, kamera, kinas
🎞️	filmas, filmo kadrai, juosta, kadrai, kinas
📽️	filmas, filmų projektorius, kinas, projektorius, vaizdo įrašas
🎬️	filmas, pliauškė, pranešimo lenta
📺️	TV, televizorius, vaizdo įrašas
📷️	fotoaparatas, vaizdo įrašas
📸	blykstė, fotoaparatas, fotoaparatas su blykste, vaizdo įrašas
📹️	fotoaparatas, vaizdo kamera, vaizdo įrašas
📼	VHS, juosta, vaizdo įrašas, vaizdo įrašų kasetė
🔍	didinimo, didinimo stiklas į kairę, paieška, stiklas, įrankis
🔎	didinimo, didinimo stiklas į dešinę, paieška, stiklas, įrankis
🕯️	šviesa, žvakė
💡	elektra, idėja, komiksas, lemputė, šviesa
🔦	deglas, elektra, įrankis, šviesa, žibintuvėlis
🏮	baras, raudonas, raudonas popierinis žibintas, šviesa, žibintas
🪔	lempa, žibalas, žibalinė lempa, žvakė
📔	dekoratyvinis, knyga, užrašų knygelė, užrašų knygelė su dekoratyviniu viršeliu, viršelis
📕	knyga, užversta knyga, užverta
📖	atversta, atversta knyga, knyga
📗	knyga, žalia, žalia knyga
📘	knyga, mėlyna, mėlyna knyga
📙	knyga, oranžinė, oranžinė knyga
📚️	knyga, knygos
📓	užrašinė
📒	sąskaitų knyga, užrašų knygelė
📃	dokumentas, puslapis, užsirietęs, užsirietęs puslapis
📜	popierius, susuktas lapas
📄	dokumentas, puslapis, puslapis viršutine puse
📰	laikraštis, naujienos, popierius
🗞	laikraštis, naujienos, popierius, susuktas, susuktas laikraštis
📑	skirtukai, žyma, žymeklis, žymių skirtukai, žymė
🔖	žyma, žymė
🏷️	etiketė
💰️	doleris, maišas, pinigai, pinigų maišas
💴	bankas, banknotas, jena, jenos banknotas, pinigai, valiuta
💵	bankas, banknotas, dolerio banknotas, doleris, pinigai, valiuta
💶	bankas, banknotas, euras, euro banknotas, pinigai, valiuta
💷	bankas, banknotas, pinigai, svaras sterlingų, svaro sterlingų banknotas, valiuta
💸	bankas, banknotas, doleris, pinigai, pinigai su sparnais
💳️	bankas, kortelė, kreditas, kredito kortelė, pinigai
🧾	apskaita, čekis, įrodymai
💹	augimas, diagrama, didėjimo diagrama su jenos simboliu, jena, tendencijos, valiuta
💱	bankas, keitimas, pinigai, valiuta, valiutos keitimas
💲	doleris, paryškintas dolerio ženklas, pinigai, valiuta
✉️	el. laiškas, el. paštas, vokas
📧	el. laiškas, laiškas, paštas
📨	el. laiškas, gaunamas vokas, gavimas, laiškas, paštas, vokas
📩	el. laiškas, el. paštas, rodyklė, vokas, vokas su rodykle
📤️	dėklas, išsiųsti, laiškas, paštas, siunčiami, siunčiamų laiškų dėklas
📥️	dėklas, gaunamų laiškų dėklas, gauti, laiškas, paštas
📦️	dėžė, paketas, siuntinys
📫️	paštas, pašto dėžutė, uždaryta, uždaryta pašto dėžutė su pakelta vėliava
📪️	nuleista, paštas, pašto dėžutė, uždaryta, uždaryta pašto dėžutė su nuleista vėliava
📬️	atidaryta, atidaryta pašto dėžutė su pakelta vėliava, paštas, pašto dėžutė
📭️	atidaryta, atidaryta pašto dėžutė su nuleista vėliava, nuleista, paštas, pašto dėžutė
📮	paštas, pašto dėžutė
🗳️	balsavimas, balsavimo dėžutė su balsavimo biuleteniu, dėžutė
✏️	pieštukas
✒️	juoda plunksna, rašiklis, smaigalys
🖋️	automatinis plunksnakotis, plunksnakotis, rašiklis
🖊️	rašiklis, tušinukas
🖌️	tapymas, teptukas
🖍️	kreidelė
📝	atmintinė, pieštukas
💼	portfelis
📁	aplankas, failas, failų aplankas
📂	aplankas, atidarytas, atidarytas failų aplankas, failas
🗂️	indeksas, kortelių laikiklio skirtukai, kortelė, skirtukai
📅	data, kalendorius
📆	kalendorius, nuplėšiamas kalendorius
🗒️	spiralė, užrašas, užrašinė, užrašinė su spirale
🗓️	kalendorius, kalendorius su spirale, spiralė, užrašinė
📇	dėklas, indeksas, kortelių dėklas, kortelė
📈	augimas, diagrama, didėjimo tendencijos diagrama, schema, tendencija
📉	diagrama, mažėjimo tendencijos diagrama, tendencija, į apačią
📊	diagrama, juosta, juostinė diagrama
📋️	segtuvas
📌	smeigtukas
📍	apvalus smeigtukas, smeigtukas
📎	sąvaržėlė
🖇️	sujungimas, sukabintos sąvaržėlės, sąvaržėlė
📏	liniuotė, tiesi, tiesi liniuotė
📐	liniuotė, trikampis, trikampė liniuotė
✂️	įrankis, žirklės
🗃️	dėžė, failas, kortelių saugojimo dėžė, kortelė
🗄️	bylų spintelė su stalčiais, failas, failų spintelė su stalčiais, spintelė
🗑️	šiukšliadėžė
🔒️	spyna, uždaryta
🔓️	atidaryta, atrakinta, atrakinta spyna, spyna
🔏	privatumas, rašalas, rašiklis, smaigalys, spyna, spyna ir rašiklis
🔐	raktas, saugu, spyna, uždaryta, užrakinta spyna su raktu
🔑	raktas, slaptažodis, spyna
🗝️	raktas, sena, senas raktas, spyna
🔨	plaktukas, įrankis
🪓	kapoti, kirvis, mediena
⛏️	kasimas, kirstuvas, įrankis
⚒️	kirstuvas, plaktukas, plaktuvas ir kirstuvas, įrankis
🛠️	plaktukas, plaktukas ir veržliaraktis, veržliaraktis, įrankis
🗡️	durklas, ginklas, peilis
⚔️	ginklai, kardai, sukryžiuoti, sukryžiuoti kardai
🔫	ginklas, pistoletas, revolveris, įrankis
🏹	ginklas, lankas, lankas ir strėlė, strėlė, zodiako, įrankis, šaulys
🛡️	ginklas, skydas
🔧	veržliaraktis, įrankis
🔩	varžtas, veržlė, veržlė ir varžtas, įrankis
⚙️	krumpliaratis, įrankis
🗜️	spaustuvai, suspaudimas, įrankis
⚖️	pusiausvyra, svarstyklės, svarstyklės su lėkštėmis, svoris, teisingumas, zodiakas, įrankis
🦯	aklas, neregio lazda, prieinamumas
🔗	jungtis
⛓️	grandinė, grandinės
🧰	dėžė, mechanikas, įrankis, įrankių rinkinys
🧲	magnetas, magnetinis, pasaga, trauka
⚗️	chemija, distiliavimo indas, įrankis
🧪	bandymas, chemija, chemikas, laboratorija, mokslas, mėgintuvėlis
🧫	bakterijos, bakterijų auginimas, biologas, biologija, petri lėkštelė
🧬	DNR, biologas, evoliucija, genas, genetika, gyvybė
🔬	mikroskopas, įrankis
🔭	teleskopas, įrankis
📡	antena, indas, palydovas, palydovinė antena
💉	adata, dūris, gydytojas, ligonis, medicina, įrankis, švirkštas
🩸	kraujo aukojimas, kraujo lašas, medicina, menstruacijos
💊	gydytojas, ligonis, medicina, piliulė
🩹	pleistras
🩺	gydytojas, medicina, stetoskopas, širdis
🚪	durys
🛏️	lova, miegoti, viešbutis
🛋️	lempa, sofa, sofa ir lempa, viešbutis
🪑	kėdė, sėdėti
🚽	tualetas
🚿	dušas, vanduo
🛁	vonia
🪒	aštrus, skusti, skustuvas
🧴	apsauga nuo saulės, drėkinamasis kremas, losjonas, losjono buteliukas, šampūnas
🧷	pankrokas, vystyklai, žiogelis
🧹	ragana, valymas, šlavimas, šluota
🧺	iškyla, pintinė, skalbiniai, ūkininkavimas
🧻	popieriaus ritinys, popieriniai rankšluosčiai, tualetinis popierius
🧼	maudytis, muilas, muilinti, muilinė, plytelė, praustis
🧽	akytas, kempinė, praustis, sugeriantis
🧯	gesinti, gesintuvas, ugnis
🛒	apsipirkimas, parduotuvė, pirkinių vežimėlis, vežimėlis
🚬	rūkymas
⚰️	karstas, mirtis
⚱️	laidojimo urna, laidotuvės, mirtis, urna
🗿	moai, statula, veidas
🏧	automatinis, bankas, bankomatas, bankomato ženklas, kasininkas
🚮	šiukšliadėžė, šiukšlių metimo į šiukšliadėžes ženklas, šiukšlė
🚰	geriamas, geriamasis vanduo, gerti, vanduo
♿️	neįgaliojo vežimėlio simbolis, pasiekiamumas
🚹️	tualetas, vyras, vyrų tualetas, wc
🚺️	moteris, moterų tualetas, tualetas, wc
🚻	moteris, tualetas, tualeto kambarys, wc
🚼️	kūdikio simbolis, kūdikis, vystyklų keitimas
🚾	tualetas, tualeto patalpa, vanduo, wc
🛂	kontrolė, pasas, pasų kontrolė
🛃	muitinė
🛄	atsiimti, bagažas, bagažo skyrius
🛅	bagažas, lagaminas, paliktas bagažas, spintelė
⚠️	įspėjimas
🚸	eismas, perėja, pėstysis, vaikas, vaikų perėja
⛔️	draudžiama, eismas, ne, uždrausta, įėjimas, įėjimo nėra
🚫	draudžiama, ne, uždrausta, įėjimas
🚳	draudžiama, dviratis, dviračiai draudžiami, ne, transporto priemonė, uždrausta
🚭️	draudžiama, ne, rūkymas, rūkyti draudžiama, uždrausta
🚯	draudžiama, ne, uždrausta, šiukšlinti draudžiama, šiukšlės
🚱	draudžiama, draudžiama gerti vandenį, geriamas, gėrimas, ne, uždrausta, vanduo
🚷	draudžiama, ne, pėstiesiems eiti draudžiama, pėstysis, uždrausta
📵	draudžiama, jokių mobiliųjų telefonų, mobilusis, ne, uždrausta
🔞	18, amžiaus apribojimas, aštuoniolika, draudžiama, ne, nepilnametis, tik pilnamečiams, uždrausta
☢️	radioaktyvu, ženklas
☣️	biorizika, ženklas
⬆️	koordinatė, kryptis, rodyklė, rodyklė į viršų, šiaurė
↗️	kryptis, rodyklė, rodyklė į viršų ir į dešinę, šiaurės rytai
➡️	koordinatė, kryptis, rodyklė, rodyklė į dešinę, rytai
↘️	kryptis, pietryčiai, rodyklė, rodyklė į apačią ir į dešinę
⬇️	koordinatė, kryptis, pietūs, rodyklė, rodyklė į apačią, į apačią
↙️	kryptis, pietvakariai, rodyklė, rodyklė į apačią ir į kairę
⬅️	koordinatė, kryptis, rodyklė, rodyklė į kairę, vakarai
↖️	kryptis, rodyklė, rodyklė į viršų ir į kairę, šiaurės vakarai
↕️	rodyklė, rodyklė į viršų ir į apačią
↔️	rodyklė, rodyklė į kairę ir į dešinę
↩️	rodyklė, rodyklė į dešinę, užlenkta į kairę
↪️	rodyklė, rodyklė į kairę, užlenkta į dešinę
⤴️	rodyklė, rodyklė į dešinę, užlenkta į viršų
⤵️	rodyklė, rodyklė į dešinę, užlenkta į apačią, į apačią
🔃	pagal laikrodžio rodyklę, rodyklė, vertikalios laikrodžio rodyklės kryptimis nukreiptos rodyklės
🔄	prieš laikrodžio rodyklę, prieš laikrodžio rodyklę nukreiptų rodyklių mygtukas, rodyklė
🔙	atgal, rodyklė, rodyklė su užrašu „Back“
🔚	pabaiga, rodyklė, rodyklė su užrašu „End“
🔛	rodyklė, rodyklė su užrašu „On!“, žymė
🔜	greitai, rodyklė, rodyklė su užrašu „Soon“
🔝	rodyklė, rodyklė su užrašu „Top“, viršus, į viršų
🛐	garbinimo vieta, garbinti, religija
⚛️	ateistas, atomas, atomo simbolis
🕉️	Om, hindu, religija
✡️	Dovydas, Dovydo žvaigždė, religija, žvaigždė, žydas, žydų
☸️	Dharmos ratas, budistas, dharma, ratas, religija
☯️	In ir Jang, in, jang, religija, tao, taoizmas
✝️	Romos katalikų kryžius, krikščionis, kryžius, religija
☦️	krikščionis, kryžius, ortodoksų kryžius, religija
☪️	islamas, musulmonas, religija, žvaigždė ir pusmėnulis
☮️	taika, taikos simbolis
🕎	menora, religija, žvakidė, žvakės
🔯	sėkmė, šešiakampė žvaigždė su tašku, žvaigždė
♈️	avinas, zodiakas
♉️	bulius, tauras, zodiakas
♊️	dvyniai, zodiakas
♋️	krabas, vėžys, zodiakas
♌️	liūtas, zodiakas
♍️	mergelė, zodiakas
♎️	pusiausvyra, svarstyklės, teisingumas, zodiakas
♏️	skorpionas, zodiakas
♐️	zodiakas, šaulys
♑️	ožiaragis, ožys, zodiakas
♒️	vandenio ženklas, vanduo, zodiakas
♓️	zodiakas, žuvis, žuvys
⛎	gyvatnešis, gyvatė, nešėjas, zodiakas
🔀	maišyti takelius, rodyklė, sukryžiuota
🔁	kartoti, pagal laikrodžio rodyklę, rodyklė
🔂	kartoti vieną, pagal laikrodžio rodyklę, rodyklė, vieną kartą
▶	dešinė, paleisti, rodyklė, trikampis
⏩	du kartus, greitai, rodyklė, sukti, sukti pirmyn
⏭	kitas takelis, kitas vaizdas, rodyklė, trikampis
⏯	dešinė, paleisti, paleisti arba pristabdyti, pristabdyti, rodyklė, trikampis
◀	atvirkštinė, atvirkštinė tvarka, kairė, rodyklė, trikampis
⏪	atsukti atgal, du kartus, rodyklė, sukti atgal
⏮	ankstesnis takelis, ankstesnis vaizdas, paskutinis takelis, rodyklė, trikampis
🔼	mygtukas, raudonas, rodyklė, į viršų
⏫	dviguba, greitai į viršų, rodyklė
🔽	mygtukas, raudona, rodyklė, į apačią
⏬	dviguba, greitai į apačią, rodyklė, į apačią
⏸️	dviguba, juosta, pauzė, pristabdyti, vertikali
⏹️	kvadratas, stabdyti, sustabdymo mygtukas
⏺️	ratas, įrašas, įrašymo mygtukas
⏏️	išmesti, išmetimo mygtukas
🎦	filmas, kamera, kinas
🔅	blankus, mažas, ryškumas, užtemdymo mygtukas
🔆	ryškumas, ryškumo mygtukas, ryškus
📶	antena, antenos juostos, juosta, mobilusis, signalas, telefonas
📳	mobilusis, režimas, telefonas, vibravimas, vibravimo režimas
📴	išjungti, išjungti mobilųjį telefoną, mobilusis, telefonas
♀️	moteris, moteriškos lyties ženklas
♂️	vyras, vyriškos lyties ženklas
⚕️	asklepijus, medicina, medicinos simbolis, personalas
♾️	amžinai, begalybė, neribotas, universalus
♻️	perdirbimo simbolis, perdirbti
⚜	lelija, lelijos simbolis
🔱	emblema, inkaras, laivas, trišakis, trišakė emblema, įrankis
📛	vardas, vardo ženklelis, ženklelis
🔰	geltonas, japoniškas pradedančiojo simbolis, japonų, lapas, pradedantysis, simbolis, įrankis, žalias
⭕️	o, ratas, ryškus didelis ratas
✅	balta paryškinta varnelė, varnelė, žymė
☑️	balsavimas, balsavimo laukelis su varnele, laukelis, varnelė
✔️	paryškinta varnelė, varnelė, žymė
✖️	atšaukti, dauginti, daugyba, paryškintas daugybos ženklas, x
❌	atšaukti, dauginti, daugyba, kryžiukas, x, žymė
❎	kryžiuko mygtukas, kvadratas, žymė
➕	matematika, paryškintas pliusas, pliusas
➖	matematika, minusas, paryškintas minusas
➗	dalyba, matematika, paryškintas dalybos ženklas
➰	kilpa, kilpelė, raityti
➿	dviguba, dviguba kilpelė, kilpa, raityti
〽️	dalis, dalių apkeitimo ženklas, žymė
✳️	aštuoniakampė žvaigždutė, žvaigždutė
✴️	aštuoniakampė žvaigždė, žvaigždė
❇️	kibirkštis, kibirkštėlė
‼️	du šauktukai, skyryba, šauktukas, žymė
⁉️	klausimas, skyryba, šauktukas, šauktukas ir klaustukas, žymė
❓️	klausimas, klaustukas, skyryba, žymė
❔	baltas klaustukas, klausimas, kontūras, skyryba, žymė
❕	baltas šauktukas, kontūras, skyryba, šauktukas, žymė
❗️	skyryba, šauktukas, žymė
〰️	brūkšnys, skyryba, vingiuotas, vingiuotas brūkšnys
©️	autorių teisės
®️	užregistruota
™️	prekės ženklas, žymė
#⃣	mygtukas, mygtukas: #
*⃣	mygtukas, mygtukas: *
0⃣	mygtukas, mygtukas: 0
1⃣	mygtukas, mygtukas: 1
2⃣	mygtukas, mygtukas: 2
3⃣	mygtukas, mygtukas: 3
4⃣	mygtukas, mygtukas: 4
5⃣	mygtukas, mygtukas: 5
6⃣	mygtukas, mygtukas: 6
7⃣	mygtukas, mygtukas: 7
8⃣	mygtukas, mygtukas: 8
9⃣	mygtukas, mygtukas: 9
🔟	mygtukas, mygtukas: 10
🔠	ABCD, didžiosios, lotyniškos, raidės, įvestis, įvestis didžiosios lotyniškos raidės
🔡	abcd, lotyniškos, mažosios, raidės, įvestis, įvestis mažosios lotyniškos raidės
🔢	1234, skaičiai, įvesties skaičiai, įvestis
🔣	įvesties simboliai, įvestis
🔤	abc, abėcėlė, lotyniškos, raidės, įvestis, įvestis lotyniškos raidės
🅰️	a, mygtukas „A“ (raudona), raudona
🆎	ab, mygtukas „AB“ (raudona), raudona
🅱️	b, mygtukas „B“ (raudona), raudona
🆑	cl, simbolis „CL“
🆒	simbolis „COOL“, vėsu
🆓	nemokama, simbolis „FREE“
ℹ️	i, informacija
🆔	ID, simbolis „ID“, tapatybė
Ⓜ️	apskritimas, m, raidė „M“
🆕	new, simbolis „NEW“
🆖	ng, simbolis „NG“
🅾️	o, raudona, simbolis „O“ (raudona)
🆗	ok, simbolis „OK“
🅿️	automobilių stovėjimas, simbolis „P“
🆘	pagalba, simbolis „SOS“, sos
🆙	mygtukas „Up!“, up, žymė
🆚	palyginti, simbolis „VS“
🈁	hieroglifas, japonų, čia, čia reiškiantis hieroglifas
🈂️	hieroglifas, japonų, paslaugos mokestis, paslaugos mokestį reiškiantis hieroglifas
🈷	hieroglifas, japonų, mėnesio suma, mėnesio sumą reiškiantis hieroglifas
🈶	hieroglifas, japonų, ne nemokamas, ne nemokamą reiškiantis hieroglifas
🈯	hieroglifas, japonų, rezervavimą reiškiantis hieroglifas, rezervuotas
🉐	hieroglifas, japonų, susitarimas, susitarimą reiškiantis hieroglifas
🈹	hieroglifas, japonų, nuolaida, nuolaidą reiškiantis hieroglifas
🈚	hieroglifas, japonų, nemokamai, nemokamumą reiškiantis hieroglifas
🈲	draudimas, draudimą reiškiantis hieroglifas, hieroglifas, japonų
🉑	hieroglifas, japonų, sutikimas, sutikimą reiškiantis hieroglifas
🈸	hieroglifas, japonų, taikymas, taikymą reiškiantis hieroglifas
🈴	bendrumas, bendrumą reiškiantis hieroglifas, hieroglifas, japonų
🈳	hieroglifas, japonų, tuštuma, tuštumą reiškiantis hieroglifas
㊗️	hieroglifas, japonų, pasveikinimą reiškiantis hieroglifas, sveikinimas
㊙️	hieroglifas, japonų, paslaptis, paslaptį reiškiantis hieroglifas
🈺	hieroglifas, japonų, veikimą reiškiantis hieroglifas, veikti
🈵	hieroglifas, japonų, pilnatvė, pilnatvę reiškiantis hieroglifas
🔴	geometrija, raudonas, raudonas rutulys, rutulys
🟠	apskritimas, oranžinis, oranžinis apskritimas
🟡	apskritimas, geltonas, geltonas apskritimas
🟢	apskritimas, žalias, žalias apskritimas
🔵	geometrija, mėlynas, mėlynas rutulys, rutulys
🟣	apskritimas, violetinis, violetinis apskritimas
🟤	apskritimas, rudas, rudas apskritimas
⚫️	geometrija, juodas rutulys, rutulys
⚪️	baltas rutulys, geometrija, rutulys
🟥	kvadratas, raudonas, raudonas kvadratas
🟧	kvadratas, oranžinis, oranžinis kvadratas
🟨	geltonas, geltonas kvadratas, kvadratas
🟩	kvadratas, žalias, žalias kvadratas
🟦	kvadratas, mėlynas, mėlynas kvadratas
🟪	kvadratas, violetinis, violetinis kvadratas
🟫	kvadratas, rudas, rudas kvadratas
⬛️	geometrija, juodas didelis kvadratas, kvadratas
⬜️	baltas didelis kvadratas, geometrija, kvadratas
◼️	geometrija, juodas vidutinis kvadratas, kvadratas
◻️	baltas vidutinis kvadratas, geometrija, kvadratas
◾️	geometrija, juodas vidutiniškai mažas kvadratas, kvadratas
◽️	baltas vidutiniškai mažas kvadratas, geometrija, kvadratas
▪️	geometrija, juodas mažas kvadratas, kvadratas
▫️	baltas mažas kvadratas, geometrija, kvadratas
🔶	deimantas, didelis oranžinis deimantas, geometrija, oranžinis
🔷	deimantas, didelis mėlynas deimantas, geometrija, mėlynas
🔸	deimantas, geometrija, mažas oranžinis deimantas, oranžinis
🔹	deimantas, geometrija, mažas mėlynas deimantas, mėlynas
🔺	geometrija, raudona, raudonas į viršų nukreiptas trikampis
🔻	geometrija, raudona, raudonas į apačią nukreiptas trikampis, į apačią
💠	deimantas, deimantas su tašku, geometrija, komiksas, viduje
🔘	akutė, geometrija, mygtukas
🔳	baltas kvadratinis mygtukas, geometrija, kontūras, kvadratas, mygtukas
🔲	geometrija, juodas kvadratinis mygtukas, kvadratas, mygtukas
🏁	langeliai, lenktynės, vėliava langeliais
🚩	postas, trikampė vėliava
🎌	japonų, kryžius, sukryžiuotos vėliavos, šventė
🏴	juoda vėliava, mojavimas
🏳️	balta vėliava, mojavimas
🏳‍🌈	vaivorykštinė vėliava, vaivorykštė
🏴‍☠	Linksmasis Rodžeris, lobis, piratas, piratų vėliava, plėšikauti
🇦🇨	vėliava, vėliava: Dangun Žengimo sala
🇦🇩	vėliava, vėliava: Andora
🇦🇪	vėliava, vėliava: Jungtiniai Arabų Emyratai
🇦🇫	vėliava, vėliava: Afganistanas
🇦🇬	vėliava, vėliava: Antigva ir Barbuda
🇦🇮	vėliava, vėliava: Angilija
