😀	syrtarma, syrtarýan ýüz, ýüz
📚️	kitap, kitaplar
📓	depderçe
📒	buhgalter kitaby, depderçe
📃	düýrlemek, düýrümli sahypa, resminama, sahypa
📜	düýrlem, kagyz
📄	açyk sahypa, resminama, sahypa
📰	gazet, habar, kagyz
🗞	düýrlenen gazet, düýrüm, gazet, habar, kagyz
📑	alamat, bellikçe tablary, marker, tablar, ýer belligi
🔖	belgi, bellikçe
🏷️	tagma
💰️	dollar, halta, pul, pul haltasy, pully halta
💴	bank, banknot, basma pul, kagyz pul, pul, pul birligi, ýen banknot, ýena
💵	bank, banknot, basma pul, dollar banknot, kagyz pul, pul, pul birligi
💶	bank, banknot, basma pul, kagyz pul, pul, pul birligi, ýewro, ýewro banknot
💷	bank, banknot, basma pul, funt sterlin banknot, funt sterling banknot, kagyz pul, pul, pul birligi, sterlin
💸	bank, banknot, basma pul, dollar, ganatlar, ganatly pul, kagyz pul, pul, uçmak
💳️	bank, karz, kredit karty, petek, pul
🧾	buhgalteriýa, delil, hasapçylyk, kwitansiýa, subutnama, töleg haty
💹	bank, bazar, grafik, göterilmek, pul, pul birligi, trend, çyzgy, ösüş, ýena, ýenli köpelýän grafik, ýokary
💱	alyş-çalyş, bank, pul, pul birligi, walýuta çalşygy
💲	dollar, goýy dollar belgisi, pul, pul birligi
✉️	bukja, e-poçta, hat, konwert
📧	e-poçta, hat, poçta
📨	almak, e-poçta, elektron poçta, gelen, gelýän konwert, hat, konwert, poçta
📩	aşak, e-poçta, elektron poçta, gidýän, hat, iberilen, konwert, ok, okly konwert, poçta
📤️	giden hatlar, gidýän mejime, guty, hat, iberilen, poçta, tekje
📥️	almak, gelen hatlar, gelýän mejime, guty, hat, poçta, tekje
📦️	guty, paket
📫️	galdyrylan baýdakly ýapyk poçta gutusy, poçta, poçta gutusy, poçta ýaşigi, ýapyk
📪️	poçta, poçta gutusy, poçta ýaşigi, ýapyk, ýatyrylan, ýatyrylan baýdakly ýapyk poçta gutusy
📬️	açyk, galdyrylan baýdakly açyk poçta gutusy, poçta, poçta gutusy, poçta ýaşigi
📭️	açyk, poçta, poçta gutusy, poçta ýaşigi, ýatyrylan, ýatyrylan baýdakly açyk poçta gutusy
📮	poçta, poçta gutusy
🗳️	býulleten, býulletenli ses beriş gutusy, guty
✏️	galam
✒️	gara uç, ruçka, uç
🖋️	doldurylýan ruçka, dolma, ruçka
🖊️	ruçka, şarik
🖌️	kist, surat çekmek
🖍️	flomaster
📝	galam, ýatlama
💼	portfel
📁	bukja, faýl, faýl bukjasy
📂	açyk, açyk faýl bukjasy, bukja, faýl
🗂️	bölüjiler, indeks, kart, kart indeksi bölüjileri
📅	sene, senenama
📆	senenama, ýyrtylýan senenama
🗒️	bellik, bloknot, spiral, spirally depderçe
🗓️	bloknot, senenama, spiral, spirally senenama
📇	indeks, kart, kart indeksi, rolodeks
📈	grafika, köpelýän grafik, trend, çyzgy, ösüş, ýokary
📉	azalýan grafik, aşak, grafika, trend, çyzgy
📊	grafika, setir diagramma, çybyk, çyzyk
📋️	bildiriş tagtasy
📌	düwme, iňňe
📍	iňňe, knopka, tokga iňňejik
📎	skrepka
🖇️	baglamak, baglanan skrepkalar, skrepka
📏	göni gyraly, göni çyzgyç, çyzgyç
📐	toplum, çyzgyç, üçburç, üçburç çyzgyç
✂️	gaýçy, gural, kesmek
🗃️	faýl, guty, kart, kart faýl gutusy
🗄️	faýl, faýl çekmesi, faýllamak, çekme
🗑️	zibil bedresi
🔒️	gulply, ýapyk
🔓️	açyk, gulp, gulpy açmak, gulpy açyk
🔏	gizlinlik, gulp, ruçka, ruçkaly gulply, syýa, uç
🔐	açar, açarly gulply, gaýym, gulp, ýapyk
🔑	açar, gulp, parol
🗝️	açar, gulp, köne, köne açar, ýelim
🔨	gural, çekiç
🪓	böl, kiçi palta, palta, tagta, çap
⛏️	gazyp alyş, gural, çüý goparýan
⚒️	gural, çekiç, çekiç we çüý goparýan, çüý goparýan
🛠️	gaýka açary, gural, nurbat açar, çekiç, çekiç we nurbat açar
🗡️	hanjar, pyçak, ýarag
⚔️	atanaklaýyn, atanaklaýyn gylyçlar, gylyçlar, ýarag
🔫	gural, nagan, rewolwer, sapança, ýarag
🏹	Keman, gural, ok, ok-ýaý, okçulyk, okçy, täleýnama, ýarag, ýaý
🛡️	galkan, ýarag
🔧	gaýka açary, gural, nurbat açar
🔩	bolt, bolt-nurbat, gaýka, gural
⚙️	dişli, gural
🗜️	gural, gysgyç, gysmak
⚖️	Terezi, adalat, agyrlyk, deňagramlylyk, deňagramlylyk terezisi, gural, täleýnama, ölçeg terezisi
🦯	elýeterlilik, kör, kör hasasy
🔗	bag
⛓️	zynjyr, zynjyrlar
🧰	gural, gural gutusy, mehanik, ýaşik
🧲	magnit, nal, çekiş
⚗️	gural, himiýa, suwuklyk gaby
🧪	barlaghana, himik, himiýa, probirka, tejribe, ylym
🧫	bakteriýa, barlaghana, biolog, biologiýa, kultura, petri çaşkasy
🧬	biolog, dnk, ewolýusiýa, gen, genetika, ýaşaýyş
🔬	gural, mikroskop, ylym
🔭	gural, teleskop, ylym
📡	anten, hemra, hemra antennasy, tarelka
💉	gural, hassa, iňňe, lukman, lukmançylyk, sanjym, şpris
🩸	gan damjasy, gan tabşyrmak, lukmançylyk, menstruasiýa
💊	gerdejik, hassa, lukman, lukmançylyk
🩹	sarag, ýelmeşiji plastyr
🩺	lukman, lukmançylyk, stetoskop, ýürek
🚪	gapy
🛏️	myhmanhana, uky, ýatalga
🛋️	diwan, diwan we çyra, myhmanhana, çyra
🪑	otur, oturgyç, oturylýan ýer
🚽	hajathana
🚿	duş, suw
🛁	duş, wanna
🪒	päki, sakal syr, ýiti
🧴	günden goraýjy, losýon, losýon çüýşesi, çyglandyryjy, şampun
🧷	arlyk, iňňebagjyk, pank-rok
🧹	arassalamak, jadygöý, syrmak, sübse
🧺	daýhançylyk, kir ýuwma, piknik, sebet
🧻	hajathana kagyzy, kagyz rulony, kagyz süpürgiç
🧼	arassalamak, bar, köpürjikletmek, sabyn, sabynlyk, ýuwunmak
🧽	arassalamak, deşikli, moçalka, sormak
🧯	gandyrmak, söndürmek, ýangyn, ýangyn söndüriji
🛒	araba, el arabasy, söwda etmek, söwda merkezi arabajygy
🚬	çilim, çilim çekmek
⚰️	tabyt, ölüm
⚱️	jynaza, jynaza gorküýzesi, kül, urna, ölüm
🗿	moai, moýai, statuýa, ýüz
🏧	atm, awtomatlaşdyrylan, bank, bankomat, bankomat belgisi
🚮	zibili bedrä taşla belgisi, zir-zibil, zir-zibil gutusy
🚰	agyz suwy, içilýän suw, içmek, suw
♿️	maýyp arabajygy simwoly, ýetmek
🚹️	dynç otagy, erkek, erkekler otagy, hajathana, tualet
🚺️	aýallar otagy, dynç otagy, hajathana, tualet, zenan
🚻	dynç otagy, hajathana, tualet
🚼️	arlygyny çalyşmak, bäbek, bäbek nyşany
🚾	dynç otagy, hajathana, suw, tualet, unitaz
🛂	barlag, pasport, pasport barlagy
🛃	gümrük nokady
🛄	almak, goş, goş almak
🛅	bagaž, galdyrylan goş, goş, saklanýan ýer
⚠️	duýduryş
🚸	kesip geçmek, pyýada, çaga, çagalar geçýär, ýol herekedi
⛔️	bolanok, däl, gadagan, giriş, girmek gadagan, ýok, ýol herekedi
🚫	bolanok, gadagan, giriş, ýok
🚳	bolanok, däl, gadagan, tigir, welosiped, welosiped gadagan, ýok
🚭️	bolanok, däl, gadagan, çilim çekmek, çilim çekmek gadagan, ýok
🚯	bolanok, däl, gadagan, zibil, zibil taşlamak gadagan, ýok
🚱	içilmeýän suw, içip bolmaýar, içmeli däl, suw
🚷	bolanok, däl, gadagan, pyýada, pyýadalar gadagan, ýok
📵	bolanok, däl, el telefony, gadagan, mobil, mobil telefonlar gadagan, telefon, öýjükli, ýok
🔞	18, bolanok, däl, gadagan, kämillik ýaşyna ýetmedik, on sekiz, on sekiz ýaşamadyklara gadagan, ýaş çäklendirmesi, ýok
☢️	belgi, radioaktiw
☣️	belgi, biologik howp
⬆️	demirgazyk, göni, ok, ugur, ýokary ok
↗️	demirgazyk-gündogar, gytak, ok, ugur, ýokary-saga ok
➡️	göni, gündogar, ok, saga ok, ugur
↘️	aşak-saga ok, gytak, günorta-gündogar, ok, ugur
⬇️	aşak, aşak ok, göni, gündogar, ok, ugur
↙️	aşak-çepe ok, gytak, günorta-günbatar, ok, ugur
⬅️	göni, günbatar, ok, ugur, çepe ok
↖️	demirgazyk-günbatar, gytak, ok, ugur, ýokary-çepe ok
↕️	ok, ýokary-aşak ok
↔️	ok, çepe-saga ok
↩️	ok, saga ok, çepe egrelýän
↪️	ok, çepe ok, saga egrelýän
⤴️	ok, saga ok, ýokary egrelýän
⤵️	aşak, ok, saga ok, aşak egrelýän
🔃	gaýtadan ýükle, ok, sagadyň ugruna, sagadyň ugruna dik oklar
🔄	ok, sagadyň garşysyna, sagadyň tersine, sagadyň tersine oklar düwmesi, yzygiderli oklar
🔙	BACK oky, ok, yza
🔚	END oky, ok, soňy
🔛	ON! oky, açyk, bellik, ok
🔜	SOON oky, bahym, ok
🔝	TOP oky, ok, üst, ýokary
🛐	din, ybadat, ybadat ýeri
⚛️	ateist, atom, atom nyşany
🕉️	Hindu, din, om
✡️	Dawudyň ýyldyzy, Dawut, din, ýewreý, ýewreý dini, ýyldyz
☸️	Buddist, darma, darmanyň çarhy, din, çarh
☯️	din, tao, taoist, ýang, ýin, ýin ýang
✝️	Hristian, din, haç, katolik haçy
☦️	Hristian, din, haç, prawoslaw haçy
☪️	din, musulman, yslam, ýyldyz we ýarymaý
☮️	parahatçylygyň nyşany, parahatçylyk
🕎	din, menora, şem, şemdan
🔯	nokatly altyburç ýyldyz, pal, ýyldyz
♈️	Guzy, goç, täleýnama
♉️	Sowur, täleýnama, öküz, öküzçe
♊️	Ekizler, ekizler, täleýnama
♋️	Seretan, leňňeç, täleýnama
♌️	täleýnama, ýolbars, Şir
♍️	Sünbüle, zodiak
♎️	Mizan, adalat, deňagramlylyk, terezi, täleýnama
♏️	Akrap, akrap, içýan, täleýnama
♐️	Kowus, okçy, täleýnama
♑️	Owlak, geçi, täleýnama
♒️	Gowa, göteriji, suw, täleýnama
♓️	Hut, balyk, täleýnama
⛎	göteriji, süýreniji, täleýnama, Ýylançy, ýylan
🔀	atanak, garyşyk düwmesi, ok
🔁	gaýtala, gaýtala düwmesi, ok, sagadyň ugruna
🔂	bir gezek, ok, sagadyň ugruna, ýeke gaýtala düwmesi
▶	aýtdyr, aýtdyr düwmesi, ok, saga, üçburçluk
⏩	goşa, ok, çalt, öňe, öňe sara düwmesi
⏭	indiki sahna, indiki ýodajyk, indiki ýodajyk düwmesi, ok, üçburçluk
⏯	aýtdyr, aýtdyr ýa-da sägindir düwmesi, ok, sag, sägindir, üçburçluk
◀	ok, ters, tersine düwmesi, çepe, üçburçluk
⏪	goşa, ok, yza sara, yza sara düwmesi
⏮	ok, soňky ýodajyk düwmesi, öňki sahna, öňki ýodajyk, üçburçluk
🔼	düwme, gyzyl, ok, ýokary düwmesi
⏫	goşa, ok, ýokary sara düwmesi
🔽	aşak, aşak düwmesi, düwme, gyzyl, ok
⏬	aşak, aşak sara düwmesi, goşa, ok
⏸️	dik, goşa, sägindir, sägindir düwmesi, taýak
⏹️	dur, inedördül, sakla düwmesi
⏺️	halka, ýazdyr, ýazdyr düwmesi
⏏️	çykar, çykar düwmesi
🎦	film, kamera, kino, kinoteatr
🔅	pes, solak, öçügsi düwmesi, ýagtylyk
🔆	ýagty, ýagty düwmesi, ýagtylyk
📶	anten, antenna zolaklary, el telefony, mobil, signal, taýak, telefon, öýjükli
📳	el telefony, mobil, reje, telefon, titreme, titreme tertibi, öýjükli
📴	el telefony, mobil, mobil telefon ýapyk, telefon, öçürilen, öýjükli
♀️	aýal-gyz nyşany, zenan
♂️	erkek, erkek nyşany
⚕️	daşy ýylanly hasa, hasa, lukmançylygyň nyşany, lukmançylyk
♾️	baky, tükeniksizlik, uniwersal, çäksiz
♻️	gaýtadan işlemek, gaýtadan işlemek nyşany
⚜	iris
🔱	emblema, gural, gämi, labyr, üç dişli, üçdiş emblemasy
📛	at, at tarketkasy, tarketka
🔰	gural, sary, öwrenje, öwrenjeler üçin ýaponça nyşany, ýapon, ýaprak, ýaşyl, şewron
⭕️	goýy uly halka, gyzyl, halka, o, uly
✅	ak goýy uly bellijek, barlag, bellik, düwme, ✓
☑️	barlag, barlag bellikli barlag gutusy, barlag bellikli býulleten gutusy, guty, ✓
✔️	barlag, bellik, goýy uly bellijek, ✓
✖️	alamat, bes et, goýy köpeltmek belgisi x, köpelt, köpeltmek, x, ×
❌	alamat, atanak, atanak alamaty, bes et, köpelt, köpeltmek, x, ×
❎	atanak düwmesi, bellik, inedördül, x, ×
➕	+, belgi, goýy goşmak belgisi, goşmak, matematika
➖	-, alamat, aýyrmak, goýy aýyrmak belgisi, matematika, −
➗	alamat, bölmek, goýy bölmek belgisi, matematika, ÷
➰	buýra, buýra halka, halka
➿	buýra, goşa, goşa buýra halka, halka
〽️	bellijek, bölek, bölek çalşyk belgisi
✳️	*, bellijek, sekiz uçly ýyldyz, ýyldyz
✴️	sekiz tikenli ýyldyzjyk, sekiz uçly ýyldyz, ýyldyz
❇️	uçgun
‼️	belgi, bum-bum, goşa ýüzlenme belgisi, ýüzlenme
⁉️	!, !?, ?, belgi, dyngy, sorag, ýüzlenme, ýüzlenme sorag belgisi
❓️	?, belgi, dyngy, sorag, sorag belgisi
❔	?, ak sorag belgisi, belgi, dyngy, sorag, çarçuwaly
❕	ak ýüzlenme belgisi, belgi, dyngy, çarçuwaly, ýüzlenme
❗️	!, belgi, dyngy, ýüzlenme, ýüzlenme belgisi
〰️	dyngy, kese çyzyk, tolkunly, tolkunly kese çyzyk
©️	awtorlyk hukugy
®️	bellige alnan
™️	belgi, söwda belgisi, tm
#⃣	klawiş gapagy, klawiş gapagy: #
*⃣	klawiş gapagy, klawiş gapagy: *
0⃣	klawiş gapagy, klawiş gapagy: 0
1⃣	klawiş gapagy, klawiş gapagy: 1
2⃣	klawiş gapagy, klawiş gapagy: 2
3⃣	klawiş gapagy, klawiş gapagy: 3
4⃣	klawiş gapagy, klawiş gapagy: 4
5⃣	klawiş gapagy, klawiş gapagy: 5
6⃣	klawiş gapagy, klawiş gapagy: 6
7⃣	klawiş gapagy, klawiş gapagy: 7
8⃣	klawiş gapagy, klawiş gapagy: 8
9⃣	klawiş gapagy, klawiş gapagy: 9
🔟	klawiş gapagy, klawiş gapagy: 10
🔠	ABÇD, baş harp, giriziş, harplar, latyn, latyn baş harp girizme
🔡	abçd, giriziş, harplar, latyn, latyn setir harp girizme, setir harp
🔢	1234, giriziş, san girizme, sanlar
🔣	giriziş, simwol girizme, 〒♪&%
🔤	abç, elipbiý, giriziş, harplar, latyn, latyn harp girizme
🅰️	A düwmesi (gan topary), a, gan topary
🆎	AB düwmesi (gan topary), ab, gan topary
🅱️	B düwmesi (gan topary), b, gan topary
🆑	CL düwmesi, COOL düwmesi
🆒	COOL düwmesi, bet
🆓	FREE düwmesi, erkin
ℹ️	i, maglumat
🆔	ID düwmesi, id, şahsyýet
Ⓜ️	halka, halkaly M, m
🆕	NEW düwmesi, täze
🆖	NG düwmesi, ng
🅾️	O düwmesi (gan topary), gan topary, o
🆗	OK düwmesi, bolýar
🅿️	P düwmesi, awtoduralga
🆘	SOS düwmesi, kömek, sos
🆙	UP! düwmesi, belgi, ýokary
🆚	VS düwmesi, bilen, vs
🈁	katakana, ýaponça, ýaponça "şu ýerde" düwmesi, “şu ýerde”, ココ
🈂️	katakana, ýaponça, ýaponça "hyzmat tölegi" düwmesi, “hyzmat tölegi”, サ
🈷	ideograf, ýaponça, ýaponça "aýlyk möçber" düwmesi, “aýlyk möçber”, 月
🈶	ideograf, ýaponça, ýaponça "mugt däl" düwmesi, “mugt däl”, 有
🈯	ideograf, ýaponça, ýaponça "bronlanan" düwmesi, “bronlanan”, 指
🉐	ideograf, ýaponça, ýaponça "alyş-çalyş" düwmesi, “alyş-çalyş”, 得
🈹	ideograf, ýaponça, ýaponça "arzanladyş" düwmesi, “arzanladyş”, 割
🈚	ideograf, ýaponça, ýaponça "mugt" düwmesi, “mugt”, 無
🈲	ideograf, ýaponça, ýaponça "gadagan" düwmesi, “gadagan”, 禁
🉑	ideograf, ýaponça, ýaponça "kabul ederlik" düwmesi, “kabul ederlik”, 可
🈸	ideograf, ýaponça, ýaponça "ýüz tutmak" düwmesi, “ýüz tutmak”, 申
🈴	ideograf, ýaponça, ýaponça "kanagatlanarly baha" düwmesi, “kanagatlanarly baha”, 合
🈳	ideograf, ýaponça, ýaponça "boş iş orny" düwmesi, “boş iş orny”, 空
㊗️	ideograf, ýaponça, ýaponça "gutlaglar" düwmesi, “gutlaglar”, 祝
㊙️	ideograf, ýaponça, ýaponça "gizlin" düwmesi, “gizlin”, 秘
🈺	ideograf, ýaponça, ýaponça "biznese açyk" düwmesi, “biznese açyk”, 営
🈵	ideograf, ýaponça, ýaponça "boş iş orny ýok" düwmesi, “boş iş orny ýok”, 満
🔴	geometrik, gyzyl, gyzyl halka, halka
🟠	narynç, narynç tegelek, tegelek
🟡	sary, sary tegelek, tegelek
🟢	tegelek, ýaşyl, ýaşyl tegelek
🔵	geometrik, gök, gök halka, halka
🟣	melewşe, melewşe tegelek, tegelek
🟤	goňur, goňur tegelek, tegelek
⚫️	gara halka, geometrik, halka
⚪️	ak halka, geometrik, halka
🟥	gyzyl, gyzyl inedördül, inedördül
🟧	inedördül, narynç, narynç inedördül
🟨	inedördül, sary, sary inedördül
🟩	inedördül, ýaşyl, ýaşyl inedördül
🟦	gök, gök inedördül, inedördül
🟪	inedördül, melewşe, melewşe inedördül
🟫	goňur, goňur inedördül, inedördül
⬛️	gara uly inedördül, geometrik, inedördül
⬜️	ak uly inedördül, geometrik, inedördül
◼️	gara ortaça inedördül, geometrik, inedördül
◻️	ak ortaça inedördül, geometrik, inedördül
◾️	gara orta-kiçi inedördül, geometrik, inedördül
◽️	ak orta-kiçi inedördül, geometrik, inedördül
▪️	gara kiçi inedördül, geometrik, inedördül
▫️	ak kiçi inedördül, geometrik, inedördül
🔶	almaz, geometrik, mämişi, uly mämişi pişme
🔷	almaz, geometrik, gök, uly gök pişme
🔸	almaz, geometrik, kiçi mämişi pişme, mämişi
🔹	almaz, geometrik, gök, kiçi gök pişme
🔺	geometrik, gyzyl, ýokaryk gyzyl üçburç
🔻	aşak, aşak gyzyl üçburç, geometrik, gyzyl
💠	almaz, geometrik, gülkünç, içi, nokatly pişme
🔘	düwme, geometrik, radio, radio düwmesi
🔳	ak inedördül düwme, düwme, geometrik, inedördül, çarçuwaly
🔲	düwme, gara inedördül düwme, geometrik, inedördül
🏁	ala, ala baýdak, ýaryş
🚩	taýajyk, üçburç baýdak
🎌	atanak, atanak baýdaklar, atanak çekilen, baýramçylyk, ýapon
🏴	galgatmak, gara baýdak
🏳️	ak baýdak, galgatmak
🏳‍🌈	älemgoşar, älemgoşar baýdak
🏴‍☠	garakçy, garakçy baýdagy, hazyna, talaň, şadyýan Rojer
🇦🇨	baýdak, baýdak: Beýgeliş adasy
🇦🇩	baýdak, baýdak: Andorra
🇦🇪	baýdak, baýdak: Birleşen Arap Emirlikleri
🇦🇫	baýdak, baýdak: Owganystan
🇦🇬	baýdak, baýdak: Antigua we Barbuda
🇦🇮	baýdak, baýdak: Angilýa
🇦🇱	baýdak, baýdak: Albaniýa
🇦🇲	baýdak, baýdak: Ermenistan
🇦🇴	baýdak, baýdak: Angola
🇦🇶	baýdak, baýdak: Antarktika
🇦🇷	baýdak, baýdak: Argentina
🇦🇸	baýdak, baýdak: Amerikan Samoasy
🇦🇹	baýdak, baýdak: Awstriýa
🇦🇺	baýdak, baýdak: Awstraliýa
🇦🇼	baýdak, baýdak: Aruba
🇦🇽	baýdak, baýdak: Aland adalary
🇦🇿	baýdak, baýdak: Azerbaýjan
🇧🇦	baýdak, baýdak: Bosniýa we Gersegowina
🇧🇧	baýdak, baýdak: Barbados
🇧🇩	baýdak, baýdak: Bangladeş
🇧🇪	baýdak, baýdak: Belgiýa
🇧🇫	baýdak, baýdak: Burkina-Faso
🇧🇬	baýdak, baýdak: Bolgariýa
🇧🇭	baýdak, baýdak: Bahreýn
🇧🇮	baýdak, baýdak: Burundi
🇧🇯	baýdak, baýdak: Benin
🇧🇱	baýdak, baýdak: Sen-Bartelemi
🇧🇲	baýdak, baýdak: Bermuda
🇧🇳	baýdak, baýdak: Bruneý
🇧🇴	baýdak, baýdak: Boliwiýa
🇧🇶	baýdak, baýdak: Karib Niderlandlary
🇧🇷	baýdak, baýdak: Braziliýa
🇧🇸	baýdak, baýdak: Bagama adalary
🇧🇹	baýdak, baýdak: Butan
🇧🇻	baýdak, baýdak: Buwe adasy
🇧🇼	baýdak, baýdak: Botswana
🇧🇾	baýdak, baýdak: Belarus
🇧🇿	baýdak, baýdak: Beliz
🇨🇦	baýdak, baýdak: Kanada
🇨🇨	baýdak, baýdak: Kokos (Kiling) adalary
🇨🇩	baýdak, baýdak: Kongo - Kinşasa
🇨🇫	baýdak, baýdak: Merkezi Afrika Respublikasy
🇨🇬	baýdak, baýdak: Kongo - Brazzawil
🇨🇭	baýdak, baýdak: Şweýsariýa
🇨🇮	baýdak, baýdak: Kot-d’Iwuar
🇨🇰	baýdak, baýdak: Kuk adalary
🇨🇱	baýdak, baýdak: Çili
🇨🇲	baýdak, baýdak: Kamerun
🇨🇳	baýdak, baýdak: Hytaý
🇨🇴	baýdak, baýdak: Kolumbiýa
🇨🇵	baýdak, baýdak: Klipperton adasy
🇨🇷	baýdak, baýdak: Kosta-Rika
🇨🇺	baýdak, baýdak: Kuba
🇨🇻	baýdak, baýdak: Kabo-Werde
🇨🇼	baýdak, baýdak: Kýurasao
🇨🇽	baýdak, baýdak: Roždestwo adasy
🇨🇾	baýdak, baýdak: Kipr
🇨🇿	baýdak, baýdak: Çehiýa
🇩🇪	baýdak, baýdak: Germaniýa
🇩🇬	baýdak, baýdak: Diýego-Garsiýa
🇩🇯	baýdak, baýdak: Jibuti
🇩🇰	baýdak, baýdak: Daniýa
🇩🇲	baýdak, baýdak: Dominika
🇩🇴	baýdak, baýdak: Dominikan Respublikasy
🇩🇿	baýdak, baýdak: Alžir
🇪🇦	baýdak, baýdak: Seuta we Melilýa
🇪🇨	baýdak, baýdak: Ekwador
🇪🇪	baýdak, baýdak: Estoniýa
🇪🇬	baýdak, baýdak: Müsür
🇪🇭	baýdak, baýdak: Günbatar Sahara
🇪🇷	baýdak, baýdak: Eritreýa
🇪🇸	baýdak, baýdak: Ispaniýa
🇪🇹	baýdak, baýdak: Efiopiýa
🇪🇺	baýdak, baýdak: Ýewropa Bileleşigi
🇫🇮	baýdak, baýdak: Finlýandiýa
🇫🇯	baýdak, baýdak: Fiji
🇫🇰	baýdak, baýdak: Folklend adalary
🇫🇲	baýdak, baýdak: Mikroneziýa
🇫🇴	baýdak, baýdak: Farer adalary
🇫🇷	baýdak, baýdak: Fransiýa
🇬🇦	baýdak, baýdak: Gabon
🇬🇧	baýdak, baýdak: Birleşen Patyşalyk
🇬🇩	baýdak, baýdak: Grenada
🇬🇪	baýdak, baýdak: Gruziýa
🇬🇫	baýdak, baýdak: Fransuz Gwianasy
🇬🇬	baýdak, baýdak: Gernsi
🇬🇭	baýdak, baýdak: Gana
🇬🇮	baýdak, baýdak: Gibraltar
🇬🇱	baýdak, baýdak: Grenlandiýa
🇬🇲	baýdak, baýdak: Gambiýa
🇬🇳	baýdak, baýdak: Gwineýa
🇬🇵	baýdak, baýdak: Gwadelupa
🇬🇶	baýdak, baýdak: Ekwatorial Gwineýa
🇬🇷	baýdak, baýdak: Gresiýa
🇬🇸	baýdak, baýdak: Günorta Georgiýa we Günorta Sendwiç adasy
🇬🇹	baýdak, baýdak: Gwatemala
🇬🇺	baýdak, baýdak: Guam
🇬🇼	baýdak, baýdak: Gwineýa-Bisau
🇬🇾	baýdak, baýdak: Gaýana
🇭🇰	baýdak, baýdak: Gonkong AAS Hytaý
🇭🇲	baýdak, baýdak: Herd we Makdonald adalary
🇭🇳	baýdak, baýdak: Gonduras
🇭🇷	baýdak, baýdak: Horwatiýa
🇭🇹	baýdak, baýdak: Gaiti
🇭🇺	baýdak, baýdak: Wengriýa
🇮🇨	baýdak, baýdak: Kanar adalary
🇮🇩	baýdak, baýdak: Indoneziýa
