😀	kenua, sura inayokenua, uso
🥿	kandambili, kiatu kisicho na kisigino, ndara, viatu vya bale
👠	kiatu, kiatu chenye kisigino kirefu, kisigino, mavazi, mwanamke
👡	kiatu, mavazi, mwanamke, ndara, ndara ya mwanamke
🩰	bale, densi, viatu vya bale
👢	buti, buti la mwanamke, kiatu, mavazi, mwanamke
👑	malkia, mavazi, mfalme, taji
👒	kofia, kofia ya mwanamke, mavazi, mwanamke
🎩	juu, kofia, kofia ya mwanamume, mavazi
🎓️	hitimu, kofia, kofia inayovaliwa kwenye sherehe za kuhitimu masomo, kusherehekea, mavazi
🧢	kofia iliyochorwa emoji, kofia ya besiboli
⛑️	helmeti, helmeti iliyo na msalaba mweupe, kofia, msaada, msalaba, uso
📿	dini, mavazi, mkufu, ombi, shanga, shanga za maombi
💄	rangi ya midomo, urembo, vipodozi
💍	almasi, mapenzi, pete
💎	almasi, kito, mapenzi
🔇	kimya, sauti, spika, spika imezimwa, zima
🔈️	sauti, spika
🔉	chini, sauti, spika, spika imewashwa, wingu
🔊	juu, sauti, spika, spika yenye sauti ya juu
📢	kipaza sauti, sauti
📣	kushangilia, megafoni
📯	honi, honi ya posta, posta
🔔	kengele
🔕	hapana, katazwa, kengele, kengele yenye alama ya mkato, kimya, marufuku, zima
🎼	karatasi ya muziki, muziki
🎵	muziki, noti, noti ya muziki
🎶	manoti, manoti ya muziki, muziki, noti
🎙️	maikrofoni, maikrofoni ya studio, muziki, studio
🎚️	kitelezi, kitelezi cha kurekebisha sauti, kiwango, muziki
🎛️	muziki, vidhibiti, vitufe, vitufe vya kudhibiti
🎤	karaoke, maikrofoni
🎧️	kifaa cha sauti cha masikioni, spika za masikioni
📻️	redio, video
🎷	ala, muziki, saksafoni
🎸	ala, gita, muziki
🎹	ala, kinanda, muziki, piano
🎺	ala, muziki, tarumbeta
🎻	ala, fidla, muziki
🪕	gambusi, muziki, nyuzi
🥁	muziki, ngoma, piga ngoma
📱	simu, simu ya mkononi, ya mkononi
📲	mshale, piga simu, pokea, simu, simu ya mkononi, simu ya mkononi yenye kishale, ya mkononi
☎️	simu
📞	mkono wa simu, simu
📟️	peja
📠	faksi, mashine ya faksi
🔋	betri
🔌	nguvu za umeme, plagi, plagi ya umeme, umeme
💻️	binafsi, kompyuta, kompyuta ndogo, pc
🖥️	kompyuta, kompyuta ya mezani
🖨️	kompyuta, printa
⌨️	kibodi, kompyuta
🖱️	3, kipanya, kipanya cha kompyuta, kitufe, kompyuta, tatu
🖲️	kitufe cha kompyuta kinachoendesha kishale, kompyuta
💽	diski, diski ndogo, kompyuta, ya macho
💾	diski, diski laini, kompyuta
💿️	blu-ray, cd, diski, dvd, kompyuta, ya macho
📀	blu-ray, cd, diski, diski dijitali, kompyuta, ya macho
🧮	abaki, kokotoa
🎥	filamu, kamera, kamera ya kurekodi filamu, sinema
🎞️	filamu, fremu, fremu za utepe wa filamu, sinema
📽️	filamu, projekta, projekta ya filamu, sinema, video
🎬️	filamu, ubao wa kuanzisha matukio wakati wa kutengeneza filamu
📺️	runinga, tv, video
📷️	kamera, video
📸	kamera, kamera yenye mmweko, mmweko, video
📹️	kamera, kamera ya kurekodi video, video
📼	kanda, kaseti ya video, vhs, video
🔍	glasi, kioo cha ukuzaji kinachoelekeza kushoto, kukuza, tafuta, zana
🔎	glasi, kioo cha ukuzaji kinachoelekeza kulia, kukuza, tafuta, zana
🕯️	mshumaa, mwanga
💡	kibonzo, mwanga, taa, umeme, wazo
🔦	kurunzi, mwanga, umeme, zana
🏮	baa, kijapani, mwanga, nyekundu, taa, taa nyekundu ya karatasi
🪔	diya, mafuta, taa, taa ya diya
📔	daftari, daftari lenye jalada lililopambwa, jalada, kitabu, lililopambwa
📕	kitabu, kitabu kilichofungwa, kufungwa
📖	kitabu, kitabu kilichofunguliwa, kufunguliwa
📗	kijani, kitabu, kitabu cha kijani
📘	kitabu, kitabu cha samawati, samawati
📙	kitabu, kitabu cha njano, manjano
📚️	kitabu, vitabu
📓	daftari
📒	daftari, leja
📃	hati, kukunja, ukurasa, ukurasa uliokunjwa
📜	hati ya kukunja kwa kuviringisha, karatasi
📄	hati, ukurasa, ukurasa unaotazama juu
📰	gazeti, habari, karatasi
🗞	gazeti, gazeti lililokunjwa, habari, karatasi, kukunjwa
📑	alama, alamisho, vichupo, vichupo vya alamisho, weka alama
🔖	alamisho, weka alama
🏷️	lebo
💰️	dola, mfuko, mfuko wa pesa, pesa
💴	benki, noti, noti ya yeni, pesa, sarafu, yeni
💵	benki, dola, noti, noti ya dola, pesa, sarafu
💶	benki, noti, noti ya yuro, pesa, sarafu, yuro
💷	benki, noti, noti ya pauni, pauni, pesa, sarafu
💸	benki, dola, mabawa, noti, pepea, pesa, pesa za noti zenye mabawa
💳️	benki, kadi, kadi ya mkopo, mkopo, pesa
🧾	rekodi, risiti, thibitisho, uhasibu, ushahidi
💹	benki, chati, chati inayopanda yenye yeni, chayi inayopanda yenye yeni, grafu, juu, kupanda, ongezeka, pesa, sarafu, soko, uelekeo, yeni
💱	benki, pesa, sarafu, sarafu mbalimbali, ubadilishaji wa pesa
💲	alama ya dola, dola, pesa, sarafu
✉️	bahasha, barua pepe
📧	barua, barua pepe
📨	bahasha, bahasha inayoingia, barua, barua pepe, inayoingia, pokea
📩	bahasha, bahasha na kishale, barua, barua pepe, chini, imetumwa, inayotoka, mshale
📤️	barua, imetumwa, sanduku, sanduku la kutuma, trei, trei ya majalada ya kutoka
📥️	barua, pokea, sanduku, sanduku la kupokea, trei, trei ya majalada ya kuingia
📦️	kifurushi, sanduku
📫️	barua, fungwa, sanduku la barua, sanduku la barua lililofungwa lenye bendera iliyoinuliwa, sanduku la posta
📪️	fungwa, kushushwa, sanduku, sanduku la barua, sanduku la barua lililofungwa lenye bendera iliyoshushwa, sanduku la posta
📬️	barua, funguliwa, sanduku la barua, sanduku la barua lililofunguliwa lenye bendera iliyoinuliwa, sanduku la posta
📭️	barua, funguliwa, kushushwa, sanduku la barua, sanduku la barua lililofunguliwa lenye bendera iliyoshushwa, sanduku la posta
📮	barua, sanduku la barua
🗳️	kura, sanduku, sanduku la kupiga kura na kura
✏️	penseli
✒️	kalamu, nibu, nibu nyeusi
🖋️	kalamu, kalamu ya wino
🖊️	kalamu
🖌️	brashi ya kupaka rangi, kuchora
🖍️	penseli laini
📝	hati, penseli
💼	mkoba
📁	faili, folda, folda ya faili
📂	faili, folda, folda ya faili iliyofunguliwa, funguliwa
🗂️	farahasa, kadi, vigawanishi, vigawanishi vya kadi
📅	kalenda, tarehe
📆	kalenda, kalenda unayoweza kuchana kurasa
🗒️	daftari, daftari lililobanwa kwa waya wa mzunguko, dokezo, mzunguko
🗓️	daftari, kalenda, kalenda iliyofungwa kwa waya wa mzunguko, mzunguko
📇	farahasa, kadi, mwongozo
📈	chati, chati inayopanda, grafu, juu, kukua, uelekeo
📉	chati, chati inayoshuka, chini, grafu, uelekeo
📊	chati, chati ya miraba, grafu, mraba
📋️	ubao wa kunakili
📌	pini
📍	pini, pini yenye kichwa cha mduara
📎	kishikizo
🖇️	klipu ya karatasi, klipu za karatasi zilizounganishwa, unganisha
📏	rula, ukingo ulionyooka
📐	pembe, rula, rula ya pembe, seti
✂️	makasi, zana
🗃️	faili, kadi, sanduku, sanduku la faili
🗄️	faili, kabati, kabati la hati
🗑️	ndoo la taka
🔒️	fungwa, kufuli
🔓️	funga, fungua, funguliwa, kufuli iliyofunguliwa
🔏	faragha, kalamu, kufuli, kufuli na kalamu, nibu, wino
🔐	fungwa, kufuli, kufuli iliyofungwa na ufunguo, salama, ufunguo
🔑	kufuli, nenosiri, ufunguo
🗝️	dalili, kufuli, nzee, ufunguo, ufunguo wa zamani
🔨	nyundo, zana
🪓	kishoka, kukata, kukatika, kuni, shoka
⛏️	kuchimba mgodi, sululu, zana
⚒️	nyundo, nyundo na sululu, sululu, zana
🛠️	nyundo na spana malaya, nyungo, spana malaya, zana
🗡️	kisu, silaha, sime
⚔️	kupishanishwa, panga zilizopishanishwa, silaha, sime
🔫	bastola, bunduki, silaha, zana
🏹	mpiga mishale, mshale, silaha, upinde, upinde na mshale, zana, zodiaki
🛡️	ngao, silaha
🔧	spana malaya, zana
🔩	bolti, nati, nati na bolti, zana
⚙️	gia, zana
🗜️	jiliwa ya seremala, kubana, zana
⚖️	haki, mizani, mzani, pima, uzito, zana, zodiaki
🦯	kipofu, mkongojo wa vipofu, ufikivu
🔗	pete, pete ya mnyororo
⛓️	minyororo, mnyororo
🧰	kifaa, kikasha, kisanduku cha vifaa, makanika, sanduku, zana
🧲	kiatu cha farasi, mvuto, sumaku
⚗️	alembiki, kemia, zana
🧪	kemia, maabara, majaribio, mwanakemia, neli ya majaribio, sayansi
🧫	bakteria, biolojia, chombo cha kupondea, maabara, mwanabiolojia
🧬	biologist, dna, jenetiki, jeni, mageuko, maisha
🔬	hadubini, zana
🔭	darubini, zana
📡	antena, antena ya setilaiti, setilaiti, ungo
💉	bomba la sindano, daktari, dawa, kuchoma sindano, mgonjwa, sindano, zana
🩸	dawa, hedhi, kuchangia damu, tone la damu
💊	daktari, dawa, kidonge, mgonjwa
🩹	bendeji, bendeji inayonata
🩺	daktari, dawa, moyo, stetoskopu
🚪	mlango
🛏️	hoteli, kitanda, lala
🛋️	hoteli, kochi, kochi na taa, taa
🪑	keti, kiti
🚽	choo, maliwato
🚿	bafu ya manyunyu, maji
🛁	bafu, hamamu
🪒	kali, kunyoa, wembe
🧴	chupa ya losheni, kisitiri jua, losheni, mafuta, shampuu
🧷	kikwasi, nepi
🧹	kufagia, kusafisha, mchawi, ufagio
🧺	kikapu, kufua nguo, kulima, mandari
🧻	karatasi, karatasi ya kuchambia
🧼	kisahani cha sabuni, kuoga, kupaka, kusafisha, sabuni
🧽	kufyonza, kunyonya, kusafisha, sifongo
🧯	kizima moto, moto, zima
🛒	mkokoteni, toroli, ununuzi
🚬	kuvuta sigara, sigara iliyowashwa
⚰️	jeneza, kifo
⚱️	chombo cha kutia majivu ya maiti aliyechomwa, kifo, msiba
🗿	kinyago, moyai, uso
🏧	alama ya ATM, atm, benki, mwenye kuhesabu, otomatiki
🚮	pipa la taka, taka, weka taka kwenye pipa
🚰	kunywa, maji, maji safi ya kunywa, safi kwa kunywa
♿️	kiti cha magurudumu, ufikiaji
🚹️	maliwato, maliwato ya wanaume, mwanamume
🚺️	maliwato, maliwato ya wanawake, mwanamke
🚻	choo, maliwato
🚼️	alama ya mtoto, kubadilisha nguo, mtoto
🚾	choo, maji, maliwato, msala
🛂	pasipoti, udhibiti, udhibiti wa pasipoti
🛃	eneo la kuingia, forodha
🛄	dai, madai ya mzigo, mzigo
🛅	hifadhi, mahali pa kuhifadhi mizigo, mzigo
⚠️	onyo
🚸	kuvuka, mtembea kwa miguu, mtoto, trafiki, watoto wanavuka barabara
⛔️	hakuna kuingia, hapana, katazwa, kuingia, marufuku, siyo, trafiki
🚫	hapana, imepigwa marufuku, katazwa, kuingia, siyo
🚳	baisikeli, baisikeli haziruhusiwi, gari, hapana, katazwa, marufuku, siyo
🚭️	hakuna kuvuta sigara, hapana, katazwa, kuvuta sigara, marufuku, siyo
🚯	hakuna kutupa taka, hapana, katazwa, kutupa taka, marufuku, siyo
🚱	hapana, katazwa, kunywa, maji, maji hayafai kwa matumizi ya kunywa, marufuku, safi kwa kunywa, siyo
🚷	hapana, katazwa, marufuku, mtembea kwa miguu, siyo, watembea kwa miguu hawaruhusiwi
📵	hapana, katazwa, marufuku, simu, simu za mkononi haziruhusiwi, siyo, somu ya mkononi, ya mkononi
🔞	18, chini ya umri unaokubaliwa, hapana, katazwa, kikwazo cha umri, kumi na nane, mafuruku, siyo, walio chini ya miaka kumi na nane hawaruhusiwi
☢️	ishara, mnururisho
☣️	tahadhari ya kibayalojia, tahadhari ya kibayolojia
⬆️	kaskazini, mshale, mshale unaoelekeza juu, sehemu kuu ya dira, uelekeo
↗️	kaskazini mashariki, kati ya sehemu kuu ya dira, mshale, mshale unaoelekeza juu kulia, uelekeo
➡️	mashariki, mshale, mshale unaoelekeza kulia, sehemu kuu ya dira, uelekeo
↘️	kaskazini kusini mashariki, kati ya sehemu kuu ya dira, mshale, mshale unaoelekeza chini kulia, uelekeo
⬇️	chini, kusini, mshale, mshale unaoelekea chini, sehemu kuu ya dira, uelekeo
↙️	kati ya sehemu kuu ya dira, kusini magharibi, mshale, mshale unaoelekeza chini kushoto, uelekeo
⬅️	magharibi, mshale, mshale unaoelekeza kushoto, sehemu kuu ya dira, uelekeo
↖️	kaskazini magharibi, kati ya sehemu kuu ya dira, mshale, mshale unaoelekeza juu kushoto, uelekeo
↕️	mshale, mshale unaoelekeza chini na juu
↔️	mshale, mshale unaoeleza kushoto na kulia
↩️	mshale, mshale wa kulia unaopinda kushoto
↪️	mshale, mshale wa kushoto unaopinda kulia
⤴️	mshale, mshale wa kulia unaopinda juu
⤵️	chini, mshale, mshale wa kulia unaopinda chini
🔃	mishale wima inayoelekeza kwa mzunguko wa akrabu, mshale, mzunguko wa akrabu, pakia upya
🔄	chakaa, kinyume saa, kitufe cha mishale ya kinyume saa, mshale
🔙	mshale, mshale wa nyuma, nyuma
🔚	mshale, mshale wa mwisho, mwisho
🔛	alama, hewani, mshale, mshale wa hewani!
🔜	hivi karibuni, mshale, mshale unaoashiria hivi karibuni
🔝	juu, mshale, mshale unaoelekea juu
🛐	abudu, dini, mahali pa kuabudu
⚛️	alama ya atomu, asiyemwamini Mungu, atomu
🕉️	dini, kihindi, omu
✡️	daudi, dini, myahudi, nyota, nyota ya daudi, uyahudi
☸️	dharma, dini, gurudumu, gurudumu la dharma, mfuasi wa budha
☯️	dini, mfuasi wa tao, tao, yang, yin, yin yang
✝️	dini, mkristo, msalaba, msalaba wa kilatini
☦️	dini, mkristo, msalaba
☪️	dini, muislamu, nyota na mwezi mwandamo, uislamu
☮️	alama ya amani, amani
🕎	dini, kinara cha mishumaa, kinara cha mishumaa mingi, menorah
🔯	bahati, nyota, nyota yenye pembe sita na kitone katikati
♈️	nyota ya kondoo, zodiaki
♉️	dume, fahali, zodiaki
♊️	mapacha, zodiaki
♋️	nyota ya kaa, zodiaki
♌️	simba, zodiaki
♍️	bikira, mashuke, mwali, zodiaki
♎️	haki, mizani, pima, zodiaki
♏️	nge, nyota ya ng’e, zodiaki
♐️	mpiga mishale, mshale, zodiaki
♑️	nyota ya mbuzi, zodiaki
♒️	hamali, maji, ndoo, zodiaki
♓️	nyota ya samaki, zodiaki
⛎	hamali, joka, nyoka, opichasi, zodiaki
🔀	kitufe cha kuchanganya, kupishanishwa, mshale
🔁	kitufe cha kurudia, mshale, mzunguko wa akrabu, rudia
🔂	kitufe cha kurudia wimbo mmoja, mara moja, mshale, mzunguko wa akrabu
▶	cheza, kitufe cha kucheza, kulia, mshale, pembetatu
⏩	kasi, kitufe cha kupeleka mbele kwa kasi, mbele, mbili, mshale
⏭	kitufe cha kwenda kwenye wimbo unaofuata, mshale, pembetatu, tukio linalofuata, wimbo unaofuata
⏯	cheza, kitufe cha kucheza au kusitisha, kulia, mshale, pembetatu, sitisha
◀	kitufe cha kurudisha nyuma, kurudi nyuma, kushoto, mshale, pembetatu
⏪	kitufe cha kurudisha nyuma kwa kasi, kurudisha nyuma, mbili, mshale
⏮	kitufe cha kurudia wimbo uliopita, mshale, pembetatu, tukio lililotangulia, wimbo uliotangulia
🔼	kitufe, kitufe cha juu, mshale, nyekundu
⏫	kitufe cha juu kwa kasi, mbili, mshale
🔽	chini, kitufe, kitufe cha chini, mshale, nyekundu
⏬	chini, kitufe cha chini kwa kasi, mbili, mshale
⏸️	kitufe cha kusitisha, mbili, sitisha, upau, wima
⏹️	kitufe cha kusimamisha, mraba, sitisha
⏺️	kitufe cha kurekodi, mduara, rekodi
⏏️	kitufe cha kutoa, ondoa
🎦	filamu, flamu, kamera, sinema
🔅	chini, fifia, kitufe cha kufifiza mwanga, kung’aa
🔆	kitufe cha kuongeza mwanga, kung’aa, mng’ao
📶	antena, ishara, pau, pau za antena, simu, simu ya mkononi, ya mkononi
📳	hali, hali ya mtetemo, mtetemo, simu, simu ya mkononi, ya mkononi
📴	imezimwa, simu, simu ya mkononi, ya mkononi, zima simu za mkononi
♀️	ishara, ishara ya jinsi ya kike, ishara ya jinsia ya kike, jinsia, mke
♂️	ishara, ishara ya jinsi ya kiume, ishara ya jinsia ya kiume, jinsia, mume
⚕️	dawa, ishara, ishara ya taaluma ya matibabu, tiba
♾️	bila kikomo, kote, milele
♻️	alama ya kutumia tena, tumia tena
⚜	ua la yungi, yungiyungi
🔱	meli, mkuki wa vyembe vitatu, nanga, nembo, nembo ya chusa chenye ncha tatu, nembo ya chusa chenye ncha tatu, mkuki wa vyembe vitatu, zana
📛	beji, beji ya jina, jina
🔰	alama ya kijapani ya anayeanza, anayeanza, kijani, kijapani, njano, tawi, tepe ya V, zana
⭕️	mduara, mduara mwekundu wenye shimo, mkubwa, mwekundu, o
✅	alama, alama nyeupe ya tiki, kitufe, tia tiki, ✓
☑️	sanduku, sanduku la kuteua lenye tiki, tia tiki, ✓
✔️	alama, alama ya tiki, tia tiki, ✓
✖️	alama, alama ya kuzidisha, alama ya x iliyokolea, ghairi, kuzidisha, x, zidisha, ×
❌	alama, alama ya X, ghairi, kuzidisha, x, zidisha, ×
❎	alama, kitufe cha alama ya kuzidisha, kitufe chenye alama ya X, mraba, x, ×
➕	+, alama ya kuongeza, alama ya kuongeza iliyokolea, hisabati, kuongeza
➖	-, alama, alama ya kutoa, hisabati, kutoa, −
➗	alama, alama ya kugawanya, hisabati, kugawanya, ÷
➰	kitanzi, kitanzi kilichopinda, pinda
➿	kitanzi, kitanzi kilichopinda mara mbili, mara mbili, pinda
〽️	alama, alama ya mbadala ya sehemu, sehemu
✳️	*, kinyota, kinyota chenye ncha nane
✴️	*, nyota, nyota yenye ncha nane
❇️	*, metameta
‼️	!, !!, alama, alama mbili za mshangao, mlio mkubwa, mshangao, uakifishaji
⁉️	!, !?, ?, alama ya mshangao na kuuliza, mshangao, swali, uakifishaji
❓️	?, alama, alama ya kuuliza, swali, uakifishaji
❔	?, alama, alama nyeupe ya kuuliza, iliyobainishwa, swali, uakifishaji
❕	!, alama, alama nyeupe ya mshangao, iliyobainishwa, mshangao, uakifishaji
❗️	!, alama, alama ya mshangao, mshangao, uakifishaji
〰️	dashi, dashi iliyopinda, kupinda, uakifishaji
©️	c, hakimiliki
®️	iliyosajiliwa, r
™️	alama, alama ya biashara, chapa ya biashara
#⃣	kitufe, kitufe: #
*⃣	kitufe, kitufe: *
0⃣	kitufe, kitufe: 0
1⃣	kitufe, kitufe: 1
2⃣	kitufe, kitufe: 2
3⃣	kitufe, kitufe: 3
4⃣	kitufe, kitufe: 4
5⃣	kitufe, kitufe: 5
6⃣	kitufe, kitufe: 6
7⃣	kitufe, kitufe: 7
8⃣	kitufe, kitufe: 8
9⃣	kitufe, kitufe: 9
🔟	kitufe, kitufe: 10
🔠	herufi, herufi kubwa, latini, weka, weka herufi kubwa za kilatini
🔡	abcd, herufi, herufi ndogo, latini, weka, weka hefuri ndogo za kilatini
🔢	1234, nambari, weka, weka nambari
🔣	weka, weka alama
🔤	abc, alfabeti, herufi, latini, weka, weka herufi za kilatini
🅰️	a, damu, kitufe chenye herufi A
🆎	ab, damu, kitufe chenye herufi AB
🅱️	b, damu, kitufe chenye herufi B
🆑	cl, kitufe chenye herufi CL
🆒	baridi, kitufe chenye neno ‘COOL’
🆓	huru, kitufe cheney neno ‘FREE’
ℹ️	i, kitufe cha maelezo, maelezo
🆔	herufi ID kwenye mraba, id, utambulisho
Ⓜ️	herufi M kwenye mduara, m, mduara
🆕	kitufe chenye neno ‘NEW’, mpya
🆖	kitufe chenye herufi NG, ng
🅾️	damu, kitufe cha O, o
🆗	kitufe chenye neno ‘OK’, sawa
🅿️	kitufe cha P, maegesho
🆘	kitufe chenye neno ‘SOS’, sos, usaidizi
🆙	alama, juu, kitufe cha UP!
🆚	dhidi ya, kitufe cha VS, vs
🈁	katakana koko kwenye mraba, kijapani
🈂️	katakana sa kwenye mraba, kijapani
🈷	idiografu ya mwezi kwenye mraba, kijapani
🈶	idiografu ya kuwepo kwenye mraba, kijapani
🈯	idiografu ya kidole kwenye mraba, kijapani
🉐	idiografu ya manufaa kwenye mduara, kijapani
🈹	idiografu ya kugawanya kwenye mraba, kijapani
🈚	idiografu ya kutoa kwenye mraba, kijapani
🈲	idiografu ya marufuku kwenye mraba, kijapani
🉑	idiografu ya kukubali kwenye mduara, kichina
🈸	idiografu ya kutumia kwenye mraba, kichina
🈴	idiografu ya pamoja kwenye mraba, kichina
🈳	idiografu tupu kwenye mraba, kichina
㊗️	hongera, idiografu, idiografu ya pongezi kwenye mduara, kichina, pongezi
㊙️	idiografu, idiografu ya siri kwenye mduara, kichina, siri
🈺	idiografu ya kuendesha kwenye mraba, kichina
🈵	idiografu ya kujaa kwenye mraba, kichina
🔴	jiometri, mduara, mduara mwekundu, nyekundu
🟠	chungwa, mduara, mduara wa chungwa
🟡	manjano, mduara, mduara wa manjano
🟢	kijani, mduara, mduara wa kijani
🔵	jiometri, mduara, mduara wa samawati, samawati
🟣	mduara, mduara wa zambarau, zambarau
🟤	hudhurungi, mduara, mduara wa hudhurungi
⚫️	jiometri, mduara, mduara mweusi
⚪️	jiometri, mduara, mduara mweupe
🟥	mraba, mraba mwekundu, nyekundu
🟧	chungwa, mraba, mraba wa chungwa
🟨	manjano, mraba, mraba wa manjano
🟩	kijani, mraba, mraba wa kijani
🟦	mraba, mraba wa samawati, samawati
🟪	mraba, mraba wa zambarau, zambarau
🟫	hudhurungi, mraba, mraba wa hudhurungi
⬛️	jiometri, mraba, mraba mkubwa mweusi
⬜️	jiometri, mraba, mraba mkubwa mweupe
◼️	jiometri, mraba, mraba wa wastani mweusi
◻️	jiometri, mraba, mraba wa wastani mweupe
◾️	jiometri, mraba, mraba wastani mdogo mweusi
◽️	jiometri, mraba, mraba wastani mdogo mweupe
▪️	jiometri, mraba, mraba mdogo mweusi
▫️	jiometri, mraba, mraba mdogo mweupe
🔶	almasi, almasi kubwa ya njano, jiometri, manjano
🔷	almasi, almasi kubwa ya samawati, jiometri, samawati
🔸	almasi, almasi ndogo ya njano, jiometri, manjano
🔹	almasi, almasi ndogo ya samawati, jiometri, samawati
🔺	jiometri, nyekundu, pembetatu inayoelekeza juu
🔻	chini, jiometri, nyekundu, pembetatu inayoelekeza chini
💠	almasi, almasi yenye kitone, jiometri, kibonzo, ndani
🔘	jiometri, kitufe
🔳	iliyobainishwa, jiometri, kitufe, kitufe cheupe cha mraba, mraba
🔲	jiometri, kitufe, kitufe cheusi cha mraba, mraba
🏁	bendera yenye mirabaraba, mashindano ya mbio, mirabamiraba
🚩	bendera yenye pembe, mlingoti
🎌	bendera mbili zilizopishana, iliyopishanishwa, kijapani, kusherehekea, pishanisha
🏴	kupeperusha, kupeperusha bendera nyeusi
🏳️	kupeperusha, kupeperusha bendera nyeupe
🏳‍🌈	bendera ya upinde wa mvua, upinde wa mvua
🏴‍☠	Jolly Roger, bendera ya maharamia, hazina, maharamia, pora
🇦🇨	bendera, bendera: Kisiwa cha Ascension
🇦🇩	bendera, bendera: Andorra
🇦🇪	bendera, bendera: Falme za Kiarabu
🇦🇫	bendera, bendera: Afghanistan
🇦🇬	bendera, bendera: Antigua na Barbuda
🇦🇮	bendera, bendera: Anguilla
🇦🇱	bendera, bendera: Albania
🇦🇲	bendera, bendera: Armenia
🇦🇴	bendera, bendera: Angola
🇦🇶	bendera, bendera: Antaktiki
🇦🇷	bendera, bendera: Ajentina
🇦🇸	bendera, bendera: Samoa ya Marekani
🇦🇹	bendera, bendera: Austria
🇦🇺	bendera, bendera: Australia
🇦🇼	bendera, bendera: Aruba
🇦🇽	bendera, bendera: Visiwa vya Aland
🇦🇿	bendera, bendera: Azerbaijani
🇧🇦	bendera, bendera: Bosnia na Hezegovina
🇧🇧	bendera, bendera: Babadosi
🇧🇩	bendera, bendera: Bangladeshi
🇧🇪	bendera, bendera: Ubelgiji
🇧🇫	bendera, bendera: Bukinafaso
🇧🇬	bendera, bendera: Bulgaria
🇧🇭	bendera, bendera: Bahareni
🇧🇮	bendera, bendera: Burundi
